gene,log2FC_KO_minus_WT,mean_log2_KO,mean_log2_WT,mean_norm_KO,mean_norm_WT,welch_t,welch_p,mwu_U,mwu_p,cohens_d,welch_fdr,mwu_fdr
4930412M03Rik,-0.06316870717846346,5.592317921525899,5.655486628704362,54.86453478386452,58.4155308121921,-0.10668943915139696,0.9176757981838739,12.0,1.0,-0.06747632600087125,0.9888566847315936,1.0
Golga4,-0.021542623661762406,10.678391022308176,10.699933645969939,1677.3295052996539,1685.7257837595857,-0.10679226748353533,0.9177601304266669,13.0,1.0,-0.06754136034838197,0.9888768636729681,1.0
4930453N24Rik,0.02386633503298441,9.007963781206026,8.984097446173042,526.4588700338193,518.9258147282922,0.10610432916265491,0.9181198306768772,14.0,0.8412698412698413,0.06710626995164319,0.988969740916395,0.9961866853217314
Cilp,-0.07221676081880446,8.14799143593983,8.220208196758634,335.15148624285155,379.17894484280606,-0.10624378648500261,0.9181319985415123,10.0,0.6904761904761905,-0.0671944705066446,0.988969740916395,0.980364319804787
B230216N24Rik,-0.057528229005685105,7.299871788054359,7.357400017060044,161.8636163353292,199.83360073651,-0.10794350488116719,0.9181507071644103,10.0,0.6904761904761905,-0.06826946680919828,0.988969740916395,0.980364319804787
Chlsn,-0.02440928096502315,7.5115654850735805,7.535974766038604,184.76569121714618,191.41115857071878,-0.10631651773096189,0.9182199247473031,14.0,0.8412698412698413,-0.06724046978550323,0.988969740916395,0.9961866853217314
Btk,0.02024171269134989,7.021552440977689,7.001310728286339,129.80522801780063,130.7687174616912,0.10714584668494494,0.9182430112620422,14.0,0.8412698412698413,0.06776498347032552,0.988969740916395,0.9961866853217314
Svip,0.05290067584149849,5.7627122171434735,5.709811541301975,55.2467338212176,63.94516083754642,0.10752847022299991,0.9182720743914766,15.0,0.6904761904761905,0.06800697584365469,0.988969740916395,0.980364319804787
Hdac7,-0.04292571180675786,9.031399286468536,9.074324998275294,553.1213214469822,596.1143492920688,-0.10610835407981539,0.9183056122779716,13.0,1.0,-0.06710881553276732,0.988969740916395,1.0
Abi3,-0.028451450584827676,6.404301570658312,6.43275302124314,85.34031413934207,89.53361687375082,-0.10626814688174775,0.9184871543750401,11.0,0.8412698412698413,-0.0672098773743286,0.9890405992808586,0.9961866853217314
Atp5pd,0.032762103616359894,10.082978455712702,10.050216352096342,1133.9044704037835,1113.669772071533,0.10559629819128112,0.9185026410623937,13.0,1.0,0.06678496295335339,0.9890405992808586,1.0
Lyl1,0.03189128365894156,6.7259217828351066,6.694030499176165,107.16658515392962,109.6863095638414,0.10634117600887577,0.9186057780893293,14.0,0.8412698412698413,0.0672560650497803,0.989049842630736,0.9961866853217314
Sgpl1,-0.012964247680770313,10.842302346028692,10.855266593709462,1840.05649477006,1872.078735682278,-0.10658571760387492,0.9186424598175748,9.0,0.5476190476190477,-0.06741072673434984,0.989049842630736,0.9667676159243273
Tnfrsf1a,-0.02367536702866957,10.059175741974412,10.082851109003082,1072.344429554549,1128.6668581049892,-0.10698385132848989,0.9188288936737499,13.0,1.0,-0.06766252861097176,0.9891456466037628,1.0
Rab15,-0.0747341841233835,4.855168762512172,4.929902946635556,34.06889326153598,37.700278687524936,-0.10528291014168688,0.9188995401623582,12.0,1.0,-0.06658675894771426,0.9891456466037628,1.0
Ncoa1,0.02141627787500333,8.757631003806761,8.736214725931758,442.5215187035412,431.54810411659236,0.10519472908747064,0.9190101136235904,14.0,0.8412698412698413,0.06653098835215464,0.9891456466037628,0.9961866853217314
Amotl2,-0.01953179814303141,9.175823184672367,9.195354982815399,583.7350054602306,599.7286777197418,-0.10528149698458145,0.9190817813559956,13.0,1.0,-0.0665858651886853,0.9891456466037628,1.0
Smim24,-0.029559593191861744,4.728961219631663,4.758520812823525,27.292069164644904,26.447455455627523,-0.10604979678466235,0.9191623786507771,11.0,0.8412698412698413,-0.06707178064750682,0.9891456466037628,0.9961866853217314
Yeats4,0.030050168392550702,8.634424192392535,8.604374023999984,411.7364533660252,405.0433779338576,0.10462772843175352,0.9192503761484029,13.0,1.0,0.06617238565077962,0.9891456466037628,1.0
Zfyve16,0.016241201982458264,9.494495733450442,9.478254531467984,722.8566684924936,726.1011222938666,0.10613907620664957,0.9192970908726085,14.0,0.8412698412698413,0.06712824591183943,0.9891456466037628,0.9961866853217314
Arih2,0.012357929384668509,9.7157127228588,9.703354793474132,846.6056522627038,837.636103396112,0.10451427823099002,0.9193753420129542,10.0,0.6904761904761905,0.06610063344369642,0.9891456466037628,0.980364319804787
Sybu,0.030443913290800317,3.9410386522999916,3.9105947390091913,15.498677773898876,14.13780695515372,0.10673069034431495,0.9193786421728553,13.0,1.0,0.06750241554603523,0.9891456466037628,1.0
Yipf3,0.024294684797002475,8.871937765759268,8.847643080962266,469.5753541666776,481.03083015086304,0.10664265614761388,0.9193876805492415,14.0,0.8412698412698413,0.06744673783132349,0.9891456466037628,0.9961866853217314
Ndst1,-0.026299520010901745,10.851243926952296,10.877543446963198,1884.2591447889397,1961.4016074610822,-0.10446020159386665,0.919627576536874,13.0,1.0,-0.06606643237539397,0.9893187814682775,1.0
Gm26397,-0.018397955355789364,6.584381377079725,6.602779332435515,96.14131045025466,97.75381372714278,-0.10393840513665817,0.9198161850044941,12.0,1.0,-0.0657364193194369,0.9893187814682775,1.0
Hnrnpr,-0.024889772513546404,11.007661778607751,11.032551551121298,2088.362677960802,2171.8994195267064,-0.10447221938052043,0.9199104935239178,12.0,1.0,-0.06607403309104595,0.9893187814682775,1.0
Gm8004,-0.059479733275149105,3.926732164624351,3.9862118978995,16.42289057393626,17.691335214069518,-0.10375816984493332,0.9200062314291039,12.0,1.0,-0.06562242851211782,0.9893187814682775,1.0
Trappc13,0.016151080404014806,9.503135653049203,9.486984572645188,734.5363255145886,723.4855771358674,0.1037085467972441,0.9200165032384526,15.0,0.6904761904761905,0.06559104414109038,0.9893187814682775,0.980364319804787
Rab39a,0.04104684644090195,4.4234617447798215,4.3824148983389195,22.012847436035763,21.354541809035304,0.10357105723427565,0.920062843968614,13.0,1.0,0.06550408810639409,0.9893187814682775,1.0
E2f8,0.035155723605276634,9.725336898569468,9.690181174964192,871.3852716853219,890.7245179760494,0.1040668885671476,0.9200659452375597,13.0,1.0,0.0658176793758246,0.9893187814682775,1.0
Gale,-0.018953599772719265,7.524026068293061,7.54297966806578,187.6765503717362,186.9461103912568,-0.10444501933569898,0.920073686633206,13.0,1.0,-0.06605683027222707,0.9893187814682775,1.0
Lyz1,-0.05817149031826574,7.07430467585304,7.132476166171306,140.8665194548924,181.9324138326985,-0.10466114996645304,0.9202165771164942,14.0,0.8412698412698413,-0.06619352328528941,0.9894018451299605,0.9961866853217314
Nup107,-0.015699219958102972,9.424762955446038,9.440462175404141,694.7691771557468,700.2228432113891,-0.10303399600582226,0.9205430973575304,14.0,0.8412698412698413,-0.06516442076141796,0.9895837457647265,0.9961866853217314
Col4a2,-0.05266717984562774,11.169411401865407,11.222078581711035,2492.653159141824,2768.5260714648807,-0.10311559828897031,0.9206127126041229,13.0,1.0,-0.06521603057682153,0.9895837457647265,1.0
Ptms,-0.040164692417352654,10.844705339416816,10.884870031834168,1926.729898299193,2063.7350056217065,-0.10302390022289812,0.920637260872781,12.0,1.0,-0.06515803562765737,0.9895837457647265,1.0
Wdr44,-0.010379665346405886,8.825074139111829,8.835453804458234,453.3694357647429,459.2934773835892,-0.10400850654196733,0.9206603786117299,10.0,0.6904761904761905,-0.06578075534102801,0.9895837457647265,0.980364319804787
E030003E18Rik,-0.13163306719641632,3.8622358481817924,3.9938689153782088,17.107241025074636,41.34120423141722,-0.10411895797690775,0.9208222831711734,12.0,1.0,-0.06585061096207713,0.9895837457647265,1.0
Tmem69,0.026600870241603403,7.083406072620879,7.056805202379276,138.2910747452041,137.16079558337063,0.10258266819753306,0.9208722290185802,14.0,0.8412698412698413,0.06487897599230481,0.9895837457647265,0.9961866853217314
Cdr2l,-0.027562451528364562,8.112593761539575,8.14015621306794,280.4931384788254,295.7299990966012,-0.10323996582256197,0.9209536547630928,12.0,1.0,-0.06529468751144694,0.9895837457647265,1.0
Gga3,0.029026619328805126,8.97377302450589,8.944746405177085,519.6001827487166,510.623987143411,0.10237600103562294,0.9209796616730144,11.0,0.8412698412698413,0.06474826820246506,0.9895837457647265,0.9961866853217314
Tmem50b,0.012644140650342806,8.510733903791074,8.498089763140731,365.3064456874338,364.21462071590474,0.10277677564155772,0.9210749569859684,12.0,1.0,0.06500174031908713,0.9895837457647265,1.0
Hnrnpu,0.027958853936846495,13.047240073759895,13.019281219823048,8614.3572513987,8759.890248629337,0.10302631169333093,0.9211072040581929,13.0,1.0,0.06515956077547294,0.9895837457647265,1.0
Tmem234,-0.031790376612990556,9.24590897323738,9.277699349850371,633.5106407259336,655.2428052392702,-0.10225298757115718,0.9211079382391768,10.0,0.6904761904761905,-0.06467046765634905,0.9895837457647265,0.980364319804787
Tmem186,0.014763641002274674,7.204384866581913,7.189621225579638,148.3166935267504,146.0721994099502,0.10222410589551766,0.9212445223410571,14.0,0.8412698412698413,0.06465220128081645,0.9896262545783637,0.9961866853217314
Naa40,-0.017585548366801262,8.652832829992395,8.670418378359196,405.2178079635578,414.2144840555212,-0.10228432044134313,0.9212788167082598,12.0,1.0,-0.06469028430343265,0.9896262545783637,1.0
