Table S1, Yamamoto and Webb et al.
Gene	Cytoband	Mean Log2 Expression in CLDN4 High 	Mean Log2 Expression in CLDN4 Low 	Mean Log2 Standard Deviation in CLDN4 High 	Mean Log2 Standard Deviation in CLDN4 Low 	Log2 of Ratio (unlogged CLDN4 High/CLDN4 Low) 	p-Value	q-Value	Higher expression in
RAB7A	3q21.3	13.01	12.87	0.39	0.41	0.14000000000000001	2.0140000000000002E-3	3.3700000000000001E-2	 CLDN4 High 
CRTC3	15q26.1	10.06	10.27	0.56000000000000005	0.64	-0.21	2.0149999999999999E-3	3.3700000000000001E-2	 CLDN4 Low
INTS6L	Xq26.3	7.25	7.51	0.73	0.73	-0.26	2.0170000000000001E-3	3.3700000000000001E-2	 CLDN4 Low
KIAA0754	1p34.2	8	8.4	1.1499999999999999	1.1100000000000001	-0.4	2.0219999999999999E-3	3.3799999999999997E-2	 CLDN4 Low
RAB8B	15q22.2	8.31	8.52	0.54	0.64	-0.21	2.0349999999999999E-3	3.4000000000000002E-2	 CLDN4 Low
BEND4	4p13	1.72	2.31	1.48	1.82	-0.59	2.0400000000000001E-3	3.4000000000000002E-2	 CLDN4 Low
CEP78	9q21.2	7.83	8.0399999999999991	0.62	0.54	-0.21	2.0569999999999998E-3	3.4200000000000001E-2	 CLDN4 Low
ZNF593	1p36.11	9.31	9.07	0.7	0.66	0.24	2.0569999999999998E-3	3.4200000000000001E-2	 CLDN4 High 
FAM110B	8q12.1	7.69	8.11	1.1100000000000001	1.22	-0.41	2.0590000000000001E-3	3.4200000000000001E-2	 CLDN4 Low
ADIPOR2	12p13.33	10.29	10.47	0.51	0.5	-0.18	2.062E-3	3.4299999999999997E-2	 CLDN4 Low
FAM216A	12q24.11	7.2	7.48	0.82	0.77	-0.28000000000000003	2.065E-3	3.4299999999999997E-2	 CLDN4 Low
FMNL3	12q13.12	10.32	10.56	0.71	0.67	-0.24	2.0669999999999998E-3	3.4299999999999997E-2	 CLDN4 Low
KMT2A	11q23.3	10.77	11.01	0.69	0.69	-0.25	2.0830000000000002E-3	3.4500000000000003E-2	 CLDN4 Low
LSM7	19p13.3	9.3699999999999992	9.1300000000000008	0.74	0.6	0.24	2.0830000000000002E-3	3.4500000000000003E-2	 CLDN4 High 
NOTCH2	1p12	12.38	12.63	0.71	0.69	-0.25	2.0960000000000002E-3	3.4700000000000002E-2	 CLDN4 Low
MUC1	1q22	13.6	13.12	1.17	1.51	0.48	2.098E-3	3.4700000000000002E-2	 CLDN4 High 
RAD51D	17q12	6.58	6.79	0.66	0.51	-0.21	2.104E-3	3.4700000000000002E-2	 CLDN4 Low
AGO3	1p34.3	7.74	8	0.79	0.66	-0.26	2.1059999999999998E-3	3.4700000000000002E-2	 CLDN4 Low
TFEB	6p21.1	8.58	8.27	0.79	0.93	0.3	2.1059999999999998E-3	3.4700000000000002E-2	 CLDN4 High 
LIMS1	2q12.3	9.19	9.42	0.72	0.62	-0.24	2.111E-3	3.4799999999999998E-2	 CLDN4 Low
SAMD4A	14q22.2	7.76	8.07	0.83	0.89	-0.3	2.1129999999999999E-3	3.4799999999999998E-2	 CLDN4 Low
WASHC2A	10q11.23	8.3000000000000007	8.6199999999999992	0.99	0.83	-0.32	2.1220000000000002E-3	3.49E-2	 CLDN4 Low
CD28	2q33.2	4.57	4.96	1.1299999999999999	1.02	-0.38	2.124E-3	3.49E-2	 CLDN4 Low
PHLDB2	3q13.2	7.12	7.6	1.35	1.4	-0.49	2.127E-3	3.49E-2	 CLDN4 Low
TWF2	3p21.2	10.46	10.28	0.54	0.51	0.18	2.1310000000000001E-3	3.5000000000000003E-2	 CLDN4 High 
GEMIN4	17p13.3	9.39	9.6199999999999992	0.61	0.69	-0.23	2.1350000000000002E-3	3.5000000000000003E-2	 CLDN4 Low
CD151	11p15.5	12.53	12.29	0.63	0.71	0.24	2.15E-3	3.5200000000000002E-2	 CLDN4 High 
MRPL55	1q42.13	9.5399999999999991	9.33	0.62	0.55000000000000004	0.21	2.1519999999999998E-3	3.5200000000000002E-2	 CLDN4 High 
ALG3	3q27.1	11.45	11.24	0.54	0.6	0.2	2.1549999999999998E-3	3.5299999999999998E-2	 CLDN4 High 
PIGW	17q12	7.34	7.53	0.56999999999999995	0.54	-0.2	2.166E-3	3.5400000000000001E-2	 CLDN4 Low
EMC1	1p36.13	10.119999999999999	10.31	0.56000000000000005	0.54	-0.19	2.1710000000000002E-3	3.5499999999999997E-2	 CLDN4 Low
LRG1	19p13.3	8.23	7.53	1.79	2.2000000000000002	0.71	2.1779999999999998E-3	3.5499999999999997E-2	 CLDN4 High 
RGPD4	2q12.3	5.86	6.05	0.51	0.55000000000000004	-0.19	2.1789999999999999E-3	3.5499999999999997E-2	 CLDN4 Low
NEUROD2	17q12	0.62	1.01	0.8	1.36	-0.39	2.1879999999999998E-3	3.5700000000000003E-2	 CLDN4 Low
ZNF624	17p11.2	5.98	6.16	0.51	0.52	-0.18	2.1940000000000002E-3	3.5700000000000003E-2	 CLDN4 Low
OSBPL8	12q21.2	9.7100000000000009	9.8800000000000008	0.51	0.44	-0.17	2.1979999999999999E-3	3.5700000000000003E-2	 CLDN4 Low
NPPB	1p36.22	0.4	0.8	0.77	1.37	-0.39	2.2000000000000001E-3	3.5700000000000003E-2	 CLDN4 Low
MLEC	12q24.31	12.24	12.44	0.61	0.53	-0.2	2.2000000000000001E-3	3.5700000000000003E-2	 CLDN4 Low
EXD2	14q24.1	9.2200000000000006	9.39	0.47	0.51	-0.17	2.202E-3	3.5700000000000003E-2	 CLDN4 Low
P2RY8	Xp22.33 and Yp11.3	5.04	5.48	1.1599999999999999	1.33	-0.44	2.2049999999999999E-3	3.5700000000000003E-2	 CLDN4 Low
CCBE1	18q21.32	2.91	3.48	1.44	1.78	-0.56999999999999995	2.209E-3	3.5799999999999998E-2	 CLDN4 Low
RNF112	17p11.2	2.56	2.97	1.0900000000000001	1.23	-0.41	2.2109999999999999E-3	3.5799999999999998E-2	 CLDN4 Low
NAA30	14q22.3	8.6999999999999993	8.86	0.45	0.47	-0.16	2.2109999999999999E-3	3.5799999999999998E-2	 CLDN4 Low
DCSTAMP	8q22.3	2.38	2.92	1.48	1.56	-0.54	2.2139999999999998E-3	3.5799999999999998E-2	 CLDN4 Low
LIG1	19q13.33	9.49	9.7100000000000009	0.62	0.62	-0.22	2.2139999999999998E-3	3.5799999999999998E-2	 CLDN4 Low
SYNCRIP	6q14.3	11.6	11.77	0.5	0.48	-0.17	2.222E-3	3.5799999999999998E-2	 CLDN4 Low
VCAM1	1p21.2	8.07	8.65	1.66	1.67	-0.59	2.2230000000000001E-3	3.5799999999999998E-2	 CLDN4 Low
VSTM1	19q13.42	1.36	1.99	1.63	1.95	-0.63	2.225E-3	3.5799999999999998E-2	 CLDN4 Low
CHST3	10q22.1	8.58	8.9600000000000009	1.1299999999999999	1.07	-0.39	2.2309999999999999E-3	3.5900000000000001E-2	 CLDN4 Low
YEATS2	3q27.1	10.71	10.91	0.56999999999999995	0.56000000000000005	-0.2	2.2309999999999999E-3	3.5900000000000001E-2	 CLDN4 Low
ANOS1	Xp22.31	7.6	8.14	1.44	1.65	-0.54	2.2360000000000001E-3	3.5900000000000001E-2	 CLDN4 Low
MYO19	17q12	9.23	9.43	0.55000000000000004	0.56999999999999995	-0.2	2.2390000000000001E-3	3.5900000000000001E-2	 CLDN4 Low
VILL	3p22.2	8	7.6	1.22	1.06	0.4	2.2390000000000001E-3	3.5900000000000001E-2	 CLDN4 High 
FADS2	11q12.2	10.54	11.04	1.44	1.39	-0.5	2.2539999999999999E-3	3.61E-2	 CLDN4 Low
AP2B1	17q12	11.78	11.94	0.45	0.46	-0.16	2.2539999999999999E-3	3.61E-2	 CLDN4 Low
PRR15	7p14.3	8.7799999999999994	8.32	1.3	1.33	0.46	2.264E-3	3.6200000000000003E-2	 CLDN4 High 
CRKL	22q11.21	10.67	10.85	0.54	0.48	-0.18	2.2680000000000001E-3	3.6200000000000003E-2	 CLDN4 Low
CCT2	12q15	11.57	11.78	0.54	0.64	-0.21	2.274E-3	3.6200000000000003E-2	 CLDN4 Low
SETD2	3p21.31	10.53	10.7	0.48	0.51	-0.17	2.2759999999999998E-3	3.6200000000000003E-2	 CLDN4 Low
BLVRB	19q13.2	9.85	9.5299999999999994	0.85	0.97	0.32	2.2759999999999998E-3	3.6200000000000003E-2	 CLDN4 High 
ZNF75D	Xq26.3	7.97	8.17	0.51	0.63	-0.2	2.2780000000000001E-3	3.6200000000000003E-2	 CLDN4 Low
SOCS7	17q12	5.83	6.13	0.97	0.73	-0.3	2.2790000000000002E-3	3.6200000000000003E-2	 CLDN4 Low
FAM71A	1q32.3	0.73	0.38	1.19	0.78	0.36	2.2790000000000002E-3	3.6200000000000003E-2	 CLDN4 High 
TARDBP	1p36.22	11.38	11.48	0.32	0.28000000000000003	-0.11	2.2799999999999999E-3	3.6200000000000003E-2	 CLDN4 Low
GPT	8q24.3	7.18	6.6	1.71	1.6	0.57999999999999996	2.2799999999999999E-3	3.6200000000000003E-2	 CLDN4 High 
HFM1	1p22.2	2.41	3	1.63	1.77	-0.6	2.2799999999999999E-3	3.6200000000000003E-2	 CLDN4 Low
TOP2B	3p24.2	11.24	11.44	0.55000000000000004	0.59	-0.2	2.2859999999999998E-3	3.6299999999999999E-2	 CLDN4 Low
CYP26B1	2p13.2	5.0999999999999996	5.73	1.76	1.84	-0.63	2.287E-3	3.6299999999999999E-2	 CLDN4 Low
MYO9A	15q23	8.14	8.3800000000000008	0.72	0.67	-0.24	2.2910000000000001E-3	3.6299999999999999E-2	 CLDN4 Low
SHROOM2	Xp22.2	8.4700000000000006	8.86	1.18	1.02	-0.39	2.3010000000000001E-3	3.6400000000000002E-2	 CLDN4 Low
DIPK1A	1p22.1	7.14	7.5	1.01	1.04	-0.36	2.3080000000000002E-3	3.6499999999999998E-2	 CLDN4 Low
TSPAN31	12q14.1	10.050000000000001	9.84	0.56999999999999995	0.59	0.2	2.3089999999999999E-3	3.6499999999999998E-2	 CLDN4 High 
ERMN	2q24.1	2.16	2.63	1.36	1.29	-0.47	2.31E-3	3.6499999999999998E-2	 CLDN4 Low
SV2C	5q13.3	1.83	2.4900000000000002	1.78	2	-0.66	2.3149999999999998E-3	3.6499999999999998E-2	 CLDN4 Low
BAD	11q13.1	10.210000000000001	10.01	0.57999999999999996	0.55000000000000004	0.2	2.3159999999999999E-3	3.6499999999999998E-2	 CLDN4 High 
ASPA	17p13.2	0.94	1.33	0.92	1.24	-0.38	2.3159999999999999E-3	3.6499999999999998E-2	 CLDN4 Low
LRRC37BP1	17q11.2	8.08	8.3000000000000007	0.62	0.65	-0.22	2.3189999999999999E-3	3.6499999999999998E-2	 CLDN4 Low
HTR3A	11q23.2	8.23	7.27	2.54	2.96	0.97	2.323E-3	3.6499999999999998E-2	 CLDN4 High 
FIGNL1	7p12.2	8.24	8.4499999999999993	0.59	0.57999999999999996	-0.21	2.3240000000000001E-3	3.6499999999999998E-2	 CLDN4 Low
MISP	19p13.3	9.89	9.44	1.25	1.32	0.45	2.3280000000000002E-3	3.6499999999999998E-2	 CLDN4 High 
MSH2	2p21-p16.3	9.9700000000000006	10.19	0.62	0.6	-0.21	2.333E-3	3.6600000000000001E-2	 CLDN4 Low
SLK	10q24.33-q25.1	9.33	9.5500000000000007	0.65	0.56000000000000005	-0.21	2.333E-3	3.6600000000000001E-2	 CLDN4 Low
CCDC18	1p22.1	5.69	6.01	0.96	0.9	-0.33	2.346E-3	3.6700000000000003E-2	 CLDN4 Low
SUGT1P1	9p13.3	1.52	1.94	1.17	1.23	-0.42	2.359E-3	3.6900000000000002E-2	 CLDN4 Low
SCN3B	11q24.1	5.46	6.02	1.71	1.46	-0.56000000000000005	2.3600000000000001E-3	3.6900000000000002E-2	 CLDN4 Low
BORCS7	10q24.32	8.42	8.6199999999999992	0.57999999999999996	0.55000000000000004	-0.2	2.362E-3	3.6900000000000002E-2	 CLDN4 Low
RIC8B	12q23.3	8.64	8.84	0.59	0.56000000000000005	-0.2	2.3649999999999999E-3	3.6900000000000002E-2	 CLDN4 Low
GLMP	1q22	10.85	10.63	0.67	0.57999999999999996	0.22	2.369E-3	3.6999999999999998E-2	 CLDN4 High 
WFDC3	20q13.12	3.37	2.89	1.32	1.39	0.48	2.3730000000000001E-3	3.6999999999999998E-2	 CLDN4 High 
MACROD1	11q13.1	8.6	8.26	0.93	1.05	0.35	2.3749999999999999E-3	3.6999999999999998E-2	 CLDN4 High 
H2AC7	6p22.2	2.35	1.88	1.41	1.27	0.47	2.3779999999999999E-3	3.6999999999999998E-2	 CLDN4 High 
HDHD3	9q32	9.59	9.35	0.71	0.69	0.24	2.385E-3	3.7100000000000001E-2	 CLDN4 High 
TCEAL5	Xq22.1	3.07	3.8	2.11	2.0499999999999998	-0.73	2.3860000000000001E-3	3.7100000000000001E-2	 CLDN4 Low
MCM4	8q11.21	10.75	11	0.66	0.74	-0.24	2.3909999999999999E-3	3.7100000000000001E-2	 CLDN4 Low
UBA52	19p13.1-p12	13.99	13.74	0.73	0.71	0.25	2.4099999999999998E-3	3.7400000000000003E-2	 CLDN4 High 
SCN2B	11q23.3	5.4	6.05	1.98	1.73	-0.65	2.4109999999999999E-3	3.7400000000000003E-2	 CLDN4 Low
PIGY	4q22.1	10.61	10.41	0.54	0.56000000000000005	0.19	2.418E-3	3.7499999999999999E-2	 CLDN4 High 
KLHL26	19p13.11	8.84	8.6300000000000008	0.63	0.56999999999999995	0.21	2.4220000000000001E-3	3.7499999999999999E-2	 CLDN4 High 
ARGFXP2	17q11.2	1.66	1.95	0.85	0.84	-0.3	2.4260000000000002E-3	3.7499999999999999E-2	 CLDN4 Low
HEATR6	17q23.1	8.67	8.8699999999999992	0.62	0.57999999999999996	-0.21	2.4290000000000002E-3	3.7499999999999999E-2	 CLDN4 Low
EOGT	3p14.1	7.38	7.61	0.7	0.65	-0.24	2.4320000000000001E-3	3.7499999999999999E-2	 CLDN4 Low
UTP20	12q23.2	8.84	9.06	0.65	0.61	-0.22	2.4320000000000001E-3	3.7499999999999999E-2	 CLDN4 Low
HOMER3	19p13.11	9.25	8.9499999999999993	0.83	0.89	0.3	2.4529999999999999E-3	3.78E-2	 CLDN4 High 
PCSK9	1p32.3	3.28	3.97	1.87	2.12	-0.7	2.454E-3	3.78E-2	 CLDN4 Low
MSANTD4	11q22.3	8.4600000000000009	8.6999999999999993	0.71	0.64	-0.24	2.454E-3	3.78E-2	 CLDN4 Low
GPR157	1p36.22	6.45	6.1	0.97	1.05	0.35	2.4629999999999999E-3	3.7900000000000003E-2	 CLDN4 High 
SPATA7	14q31.3	7.21	7.42	0.62	0.62	-0.22	2.4719999999999998E-3	3.7999999999999999E-2	 CLDN4 Low
TECTA	11q23.3	3.89	4.3600000000000003	1.31	1.4	-0.47	2.4759999999999999E-3	3.7999999999999999E-2	 CLDN4 Low
TUBA4A	2q35	10.17	9.7200000000000006	1.24	1.35	0.45	2.4789999999999999E-3	3.8100000000000002E-2	 CLDN4 High 
PLOD1	1p36.22	11.54	11.76	0.61	0.65	-0.22	2.483E-3	3.8100000000000002E-2	 CLDN4 Low
EVA1A	2p12	8.08	7.68	1.1200000000000001	1.1599999999999999	0.4	2.5049999999999998E-3	3.8399999999999997E-2	 CLDN4 High 
PPP1R12B	1q32.1	8.74	9.0299999999999994	0.77	0.85	-0.28000000000000003	2.5070000000000001E-3	3.8399999999999997E-2	 CLDN4 Low
ITGB1BP2	Xq13.1	2.19	2.58	1.1399999999999999	1.08	-0.39	2.5110000000000002E-3	3.8399999999999997E-2	 CLDN4 Low
EHBP1	2p15	9.33	9.49	0.48	0.48	-0.17	2.5149999999999999E-3	3.85E-2	 CLDN4 Low
PEX5L	3q26.33	1.1299999999999999	1.48	0.97	1.07	-0.35	2.5249999999999999E-3	3.8600000000000002E-2	 CLDN4 Low
SLC22A7	6p21.1	0.32	0.53	0.53	0.67	-0.21	2.5279999999999999E-3	3.8600000000000002E-2	 CLDN4 Low
POLR2A	17p13.1	12.04	12.26	0.64	0.62	-0.22	2.5279999999999999E-3	3.8600000000000002E-2	 CLDN4 Low
RFLNA	12q24.31	5.77	6.37	1.7	1.77	-0.6	2.5339999999999998E-3	3.8600000000000002E-2	 CLDN4 Low
PPFIBP2	11p15.4	9.5500000000000007	9.2899999999999991	0.69	0.84	0.27	2.5360000000000001E-3	3.8600000000000002E-2	 CLDN4 High 
FBXO21	12q24.22	11.45	11.78	0.96	0.95	-0.33	2.5569999999999998E-3	3.8899999999999997E-2	 CLDN4 Low
AFAP1L1	5q32	7.2	7.64	1.17	1.35	-0.44	2.5669999999999998E-3	3.9E-2	 CLDN4 Low
GPR173	Xp11.22	7	7.38	1.1299999999999999	1.02	-0.37	2.568E-3	3.9E-2	 CLDN4 Low
HASPIN	17p13.2	6.56	6.86	0.83	0.9	-0.3	2.568E-3	3.9E-2	 CLDN4 Low
ZMYM4	1p34.3	10.89	11.06	0.56000000000000005	0.42	-0.17	2.5820000000000001E-3	3.9199999999999999E-2	 CLDN4 Low
CEP83	12q22	7.11	7.35	0.75	0.63	-0.24	2.5860000000000002E-3	3.9199999999999999E-2	 CLDN4 Low
API5	11p12	11.13	11.27	0.4	0.44	-0.15	2.5890000000000002E-3	3.9199999999999999E-2	 CLDN4 Low
PAK6	15q15.1	8.66	8.3699999999999992	0.74	0.89	0.28000000000000003	2.591E-3	3.9199999999999999E-2	 CLDN4 High 
SSR2	1q22	12.81	12.61	0.62	0.53	0.2	2.594E-3	3.9199999999999999E-2	 CLDN4 High 
TATDN2	3p25.3	10.42	10.58	0.45	0.46	-0.16	2.598E-3	3.9300000000000002E-2	 CLDN4 Low
USP1	1p31.3	10.35	10.56	0.6	0.61	-0.21	2.6090000000000002E-3	3.9399999999999998E-2	 CLDN4 Low
BOLA1	1q21.2	8.32	8.0500000000000007	0.73	0.8	0.27	2.611E-3	3.9399999999999998E-2	 CLDN4 High 
ZMYM6	1p34.3	8.6	8.77	0.5	0.48	-0.17	2.6180000000000001E-3	3.95E-2	 CLDN4 Low
NDUFV3	21q22.3	9.93	9.74	0.53	0.6	0.2	2.6210000000000001E-3	3.95E-2	 CLDN4 High 
DNAJB2	2q35	10.06	9.83	0.69	0.65	0.23	2.6259999999999999E-3	3.9600000000000003E-2	 CLDN4 High 
ZFAND2B	2q35	8.89	8.7100000000000009	0.56000000000000005	0.48	0.18	2.6280000000000001E-3	3.9600000000000003E-2	 CLDN4 High 
SLC4A8	12q13.13	6.97	7.39	1.27	1.17	-0.42	2.6410000000000001E-3	3.9699999999999999E-2	 CLDN4 Low
GJA1	6q22.31	10.130000000000001	10.59	1.35	1.31	-0.46	2.6459999999999999E-3	3.9699999999999999E-2	 CLDN4 Low
F2R	5q13.3	9.01	9.3699999999999992	1.0900000000000001	0.99	-0.36	2.6480000000000002E-3	3.9699999999999999E-2	 CLDN4 Low
ATP6V0E1	5q35.1	11.74	11.51	0.7	0.61	0.23	2.65E-3	3.9699999999999999E-2	 CLDN4 High 
MAFK	7p22.3	9.2100000000000009	8.9600000000000009	0.71	0.73	0.25	2.65E-3	3.9699999999999999E-2	 CLDN4 High 
ZMYND15	17p13.2	6.93	6.55	1.05	1.17	0.38	2.6519999999999998E-3	3.9699999999999999E-2	 CLDN4 High 
NKRF	Xq24	8.3000000000000007	8.4600000000000009	0.47	0.46	-0.16	2.6540000000000001E-3	3.9699999999999999E-2	 CLDN4 Low
KRBA2	17p13.1	5.48	5.75	0.78	0.75	-0.27	2.6549999999999998E-3	3.9699999999999999E-2	 CLDN4 Low
KRT16	17q21.2	5.66	4.78	2.39	2.69	0.88	2.6549999999999998E-3	3.9699999999999999E-2	 CLDN4 High 
ZNF264	19q13.43	9.3699999999999992	9.59	0.7	0.56999999999999995	-0.22	2.6559999999999999E-3	3.9699999999999999E-2	 CLDN4 Low
ZNF845	19q13.42	7.09	7.29	0.61	0.56999999999999995	-0.2	2.6589999999999999E-3	3.9699999999999999E-2	 CLDN4 Low
METTL8	2q31.1	8.34	8.5299999999999994	0.54	0.56999999999999995	-0.19	2.6610000000000002E-3	3.9699999999999999E-2	 CLDN4 Low
CDH2	18q12.1	9.39	10.09	2.0699999999999998	1.98	-0.7	2.663E-3	3.9699999999999999E-2	 CLDN4 Low
CCDC185	1q41	2.15	1.74	1.25	1.1499999999999999	0.42	2.666E-3	3.9699999999999999E-2	 CLDN4 High 
ZNF84	12q24.33	8.92	9.17	0.76	0.71	-0.25	2.6879999999999999E-3	0.04	 CLDN4 Low
TES	7q31.2	10.78	10.54	0.68	0.74	0.24	2.6949999999999999E-3	4.0099999999999997E-2	 CLDN4 High 
TUBB2B	6p25.2	4.26	5.3	2.95	3.09	-1.04	2.6979999999999999E-3	4.0099999999999997E-2	 CLDN4 Low
FKBP15	9q32	9.5	9.67	0.51	0.45	-0.17	2.7109999999999999E-3	4.02E-2	 CLDN4 Low
HAL	12q23.1	3.8	3.05	2.2000000000000002	2.15	0.75	2.712E-3	4.02E-2	 CLDN4 High 
FAM168B	2q21.1	10.88	11.09	0.61	0.6	-0.21	2.722E-3	4.0399999999999998E-2	 CLDN4 Low
RRM1	11p15.4	9.8800000000000008	10.09	0.65	0.55000000000000004	-0.21	2.7230000000000002E-3	4.0399999999999998E-2	 CLDN4 Low
FGFBP2	4p15.32	1.52	1.9	1.02	1.19	-0.38	2.728E-3	4.0399999999999998E-2	 CLDN4 Low
TRIM39	6p22.1	8.08	8.27	0.54	0.5	-0.18	2.728E-3	4.0399999999999998E-2	 CLDN4 Low
LINC00242	6q27	2.81	3.17	1.06	1.04	-0.36	2.7420000000000001E-3	4.0500000000000001E-2	 CLDN4 Low
CHST10	2q11.2	8.51	8.7799999999999994	0.73	0.83	-0.27	2.7490000000000001E-3	4.0599999999999997E-2	 CLDN4 Low
H4C14	1q21.2	9.1999999999999993	8.7799999999999994	1.23	1.24	0.42	2.7529999999999998E-3	4.0599999999999997E-2	 CLDN4 High 
SAE1	19q13.32	10.44	10.65	0.63	0.63	-0.22	2.7560000000000002E-3	4.0599999999999997E-2	 CLDN4 Low
ZNF281	1q32.1	8.27	8.4600000000000009	0.57999999999999996	0.52	-0.19	2.7569999999999999E-3	4.0599999999999997E-2	 CLDN4 Low
ZNF227	19q13.31	7.66	7.88	0.7	0.62	-0.23	2.7599999999999999E-3	4.07E-2	 CLDN4 Low
CX3CL1	16q21	9.6	9.1999999999999993	1.21	1.0900000000000001	0.4	2.774E-3	4.0800000000000003E-2	 CLDN4 High 
SH3RF3	2q13	6.99	7.41	1.1499999999999999	1.26	-0.41	2.7759999999999998E-3	4.0800000000000003E-2	 CLDN4 Low
FOXN3	14q31.3-q32.11	9.9	10.119999999999999	0.66	0.65	-0.22	2.7880000000000001E-3	4.1000000000000002E-2	 CLDN4 Low
CCDC107	9p13.3	8.5	8.2899999999999991	0.63	0.61	0.21	2.7899999999999999E-3	4.1000000000000002E-2	 CLDN4 High 
CPE	4q32.3	10.08	10.48	1.1200000000000001	1.2	-0.4	2.7910000000000001E-3	4.1000000000000002E-2	 CLDN4 Low
CNFN	19q13.2	7.03	6.54	1.4	1.43	0.49	2.8E-3	4.1099999999999998E-2	 CLDN4 High 
NENF	1q32.3	10.16	9.8699999999999992	0.86	0.81	0.28999999999999998	2.8119999999999998E-3	4.1200000000000001E-2	 CLDN4 High 
CTDSPL2	15q15.3-q21.1	9.48	9.65	0.51	0.52	-0.18	2.8210000000000002E-3	4.1300000000000003E-2	 CLDN4 Low
SGSM2	17p13.3	9.61	9.8699999999999992	0.74	0.73	-0.25	2.8219999999999999E-3	4.1300000000000003E-2	 CLDN4 Low
C9ORF43	9q32	3.71	4.08	1.05	1.1200000000000001	-0.37	2.833E-3	4.1399999999999999E-2	 CLDN4 Low
TBC1D3	17q12	7.91	8.2200000000000006	0.93	0.89	-0.31	2.833E-3	4.1399999999999999E-2	 CLDN4 Low
ACKR2	3p22.1	7.56	6.87	2.0499999999999998	1.98	0.69	2.8389999999999999E-3	4.1399999999999999E-2	 CLDN4 High 
COX15	10q24.2	9.77	9.93	0.49	0.44	-0.16	2.8400000000000001E-3	4.1399999999999999E-2	 CLDN4 Low
MYH14	19q13.33	11.97	11.6	0.96	1.19	0.37	2.8479999999999998E-3	4.1500000000000002E-2	 CLDN4 High 
ALKBH7	19p13.3	10.46	10.16	0.92	0.81	0.3	2.8500000000000001E-3	4.1500000000000002E-2	 CLDN4 High 
SUPT20HL2	Xp22.11	0.35	0.63	0.59	0.99	-0.28000000000000003	2.8540000000000002E-3	4.1500000000000002E-2	 CLDN4 Low
PBRM1	3p21.1	10.01	10.199999999999999	0.54	0.54	-0.19	2.8630000000000001E-3	4.1700000000000001E-2	 CLDN4 Low
ARHGEF35	7q35	9.2200000000000006	8.9499999999999993	0.74	0.85	0.27	2.8809999999999999E-3	4.19E-2	 CLDN4 High 
TMEM26	10q21.2	5.26	5.65	1.01	1.21	-0.38	2.885E-3	4.19E-2	 CLDN4 Low
TRPM3	9q21.12-q21.13	1.41	1.79	1.05	1.17	-0.38	2.8999999999999998E-3	4.2099999999999999E-2	 CLDN4 Low
PPP4R3C	Xp21.3	0.08	0.4	0.33	1.27	-0.32	2.9020000000000001E-3	4.2099999999999999E-2	 CLDN4 Low
SLC31A1	9q32	9.66	9.86	0.59	0.57999999999999996	-0.2	2.9060000000000002E-3	4.2099999999999999E-2	 CLDN4 Low
TMEM254-AS1	10q22.3	5.31	5.68	1.1499999999999999	1	-0.37	2.908E-3	4.2099999999999999E-2	 CLDN4 Low
ITGA4	2q31.3	7.35	7.73	1.1000000000000001	1.1299999999999999	-0.38	2.9129999999999998E-3	4.2099999999999999E-2	 CLDN4 Low
PCDHGC4	5q31.3	3.17	3.67	1.41	1.5	-0.5	2.9129999999999998E-3	4.2099999999999999E-2	 CLDN4 Low
ZNF688	16p11.2	7.89	7.66	0.73	0.56999999999999995	0.23	2.9199999999999999E-3	4.2200000000000001E-2	 CLDN4 High 
SH2D2A	1q23.1	6.88	6.52	1.1100000000000001	0.97	0.36	2.931E-3	4.2299999999999997E-2	 CLDN4 High 
FADS1	11q12.2	9.3000000000000007	9.6999999999999993	1.2	1.1499999999999999	-0.4	2.9320000000000001E-3	4.2299999999999997E-2	 CLDN4 Low
NAA25	12q24.13	9.1199999999999992	9.3000000000000007	0.54	0.51	-0.18	2.9429999999999999E-3	4.24E-2	 CLDN4 Low
TNRC6A	16p12.1	10.08	10.26	0.55000000000000004	0.49	-0.18	2.9459999999999998E-3	4.2500000000000003E-2	 CLDN4 Low
SHANK1	19q13.33	6.53	7.31	2.44	2.0499999999999998	-0.77	2.9499999999999999E-3	4.2500000000000003E-2	 CLDN4 Low
TLCD1	17q11.2	7.95	7.65	0.87	0.9	0.3	2.954E-3	4.2500000000000003E-2	 CLDN4 High 
MPG	16p13.3	9.89	9.66	0.7	0.64	0.23	2.9550000000000002E-3	4.2500000000000003E-2	 CLDN4 High 
ZNF780A	19q13.2	7.44	7.72	0.85	0.79	-0.28000000000000003	2.9550000000000002E-3	4.2500000000000003E-2	 CLDN4 Low
HEG1	3q21.2	10.130000000000001	10.51	1.1200000000000001	1.08	-0.38	2.957E-3	4.2500000000000003E-2	 CLDN4 Low
CBX2	17q25.3	8.51	8.99	1.44	1.34	-0.48	2.9589999999999998E-3	4.2500000000000003E-2	 CLDN4 Low
RPUSD3	3p25.3	9.35	9.17	0.54	0.49	0.18	2.9619999999999998E-3	4.2500000000000003E-2	 CLDN4 High 
WDR36	5q22.1	9.19	9.36	0.52	0.48	-0.17	2.9650000000000002E-3	4.2500000000000003E-2	 CLDN4 Low
CAPN8	1q41	3.31	2.62	2.13	1.93	0.69	2.97E-3	4.2500000000000003E-2	 CLDN4 High 
