cohort_id	source	organism	material	n_nominated	n_runs_lung_rnaseq	single_cell_frac	median_spots	study_title	url	selected_runs
SRP049988	sra	human	cell_line	56	56	0.0	18821408	Ets homologous factor regulates pathways controlling response to injury in Calu-3 airway epithelial cells [RNA-seq]	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/88/SRP049988/sra.gene_sums.SRP049988.G026.gz	SRR1655002,SRR1655003,SRR1655004,SRR1655005,SRR1655006,SRR1655007,SRR1655008,SRR1655009,SRR1655010,SRR1655011,SRR1655012,SRR1655013,SRR1655014,SRR1655015,SRR1655016,SRR1655017,SRR1655018,SRR1655019,SRR1655020,SRR1655021,SRR1655022,SRR1655023,SRR1655024,SRR1655025,SRR1655026,SRR1655027,SRR1655028,SRR1655029,SRR1655030,SRR1655031,SRR1655032,SRR1655033,SRR1655034,SRR1655035,SRR1655036,SRR1655037,SRR1655038,SRR1655039,SRR1655040,SRR1655041,SRR1655042,SRR1655043,SRR1655044,SRR1655045,SRR1655046,SRR1655047,SRR1655048,SRR1655049,SRR1655050,SRR1655051,SRR1655052,SRR1655053,SRR1655054,SRR1655055,SRR1655056,SRR1655057
SRP050390	sra	human	tissue	14	14	0.0	23147310	Large-scale profiling of intracellular signalling pathway activation reveals major distinctions between airway smooth muscle cells of asthmatics and non-asthmatics.	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/90/SRP050390/sra.gene_sums.SRP050390.G026.gz	SRR1686768,SRR1686769,SRR1686770,SRR1686771,SRR1686772,SRR1686773,SRR1686774,SRR1686775,SRR1686776,SRR1686777,SRR1686778,SRR1686779,SRR1686780,SRR1686781
SRP051083	sra	human	cell_line	160	160	0.0	11053856	Transcriptome profiling of human lung cancer cell lines.	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/83/SRP051083/sra.gene_sums.SRP051083.G026.gz	SRR1706767,SRR1706768,SRR1706769,SRR1706770,SRR1706771,SRR1706772,SRR1706773,SRR1706774,SRR1706775,SRR1706776,SRR1706777,SRR1706778,SRR1706779,SRR1706780,SRR1706781,SRR1706782,SRR1706783,SRR1706784,SRR1706785,SRR1706786,SRR1706787,SRR1706788,SRR1706789,SRR1706790,SRR1706791,SRR1706792,SRR1706793,SRR1706794,SRR1706795,SRR1706796,SRR1706797,SRR1706798,SRR1706799,SRR1706800,SRR1706801,SRR1706802,SRR1706803,SRR1706804,SRR1706805,SRR1706806,SRR1706807,SRR1706808,SRR1706809,SRR1706810,SRR1706811,SRR1706812,SRR1706813,SRR1706814,SRR1706815,SRR1706816,SRR1706817,SRR1706818,SRR1706819,SRR1706820,SRR1706821,SRR1706822,SRR1706823,SRR1706824,SRR1706825,SRR1706826,SRR1706827,SRR1706828,SRR1706829,SRR1706830,SRR1706831,SRR1706832,SRR1706833,SRR1706834,SRR1706835,SRR1706836,SRR1706837,SRR1706838,SRR1706839,SRR1706840,SRR1706841,SRR1706842,SRR1706843,SRR1706844,SRR1706845,SRR1706846,SRR1706847,SRR1706848,SRR1706849,SRR1706850,SRR1706851,SRR1706852,SRR1706853,SRR1706854,SRR1706855,SRR1706856,SRR1706857,SRR1706858,SRR1706859,SRR1706860,SRR1706861,SRR1706862,SRR1706863,SRR1706864,SRR1706865,SRR1706866,SRR1706867,SRR1706868,SRR1706869,SRR1706870,SRR1706871,SRR1706872,SRR1706873,SRR1706874,SRR1706875,SRR1706876,SRR1706877,SRR1706878,SRR1706879,SRR1706880,SRR1706881,SRR1706882,SRR1706883,SRR1706884,SRR1706885,SRR1706886,SRR1706887,SRR1706888,SRR1706889,SRR1706890,SRR1706891,SRR1706892,SRR1706893,SRR1706894,SRR1706895,SRR1706896,SRR1706897,SRR1706898,SRR1706899,SRR1706900,SRR1706901,SRR1706902,SRR1706903,SRR1706904,SRR1706905,SRR1706906,SRR1706907,SRR1706908,SRR1706909,SRR1706910,SRR1706911,SRR1706912,SRR1706913,SRR1706914,SRR1706915,SRR1706916,SRR1706917,SRR1706918,SRR1706919,SRR1706920,SRR1706921,SRR1706922,SRR1706923,SRR1706924,SRR1706925,SRR1706926
SRP051182	sra	human	culture_or_organoid	21	21	0.0	52049262	Dual RNA-sequencing of nontypeable Haemophilus influenzae and host cell transcriptomes reveals new aspects of host-pathogen interface	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/82/SRP051182/sra.gene_sums.SRP051182.G026.gz	SRR1714481,SRR1714482,SRR1714483,SRR1714484,SRR1714485,SRR1714486,SRR1714487,SRR1714488,SRR1714489,SRR1714490,SRR1714491,SRR1714492,SRR1714493,SRR1714494,SRR1714495,SRR1714496,SRR1714497,SRR1714498,SRR1714499,SRR1714500,SRR1714501
SRP051359	sra	human	tissue	18	18	0.0	60047362	Homo sapiens Transcriptome or Gene expression	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/59/SRP051359/sra.gene_sums.SRP051359.G026.gz	SRR1725613,SRR1725614,SRR1725616,SRR1726088,SRR1726090,SRR1726198,SRR1745811,SRR1745813,SRR1745814,SRR1745815,SRR1745816,SRR1745817,SRR1745818,SRR1745819,SRR1745820,SRR1745821,SRR1745822,SRR1745824
SRP052896	sra	human	tissue	17	17	0.0	66070049	SMARCA4-Deficient Thoracic Sarcoma Study	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/96/SRP052896/sra.gene_sums.SRP052896.G026.gz	SRR1777846,SRR1777862,SRR1777864,SRR1777866,SRR1777869,SRR2046295,SRR2046423,SRR2046425,SRR2046426,SRR2046430,SRR2046431,SRR2046433,SRR2046435,SRR2046437,SRR2046443,SRR2046451,SRR2046452
SRP052950	sra	human	cell_line	32	32	0.0	33290209	Genetic and drug perturbation of components in the NFkB signaling pathway in 11-18 cells	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/50/SRP052950/sra.gene_sums.SRP052950.G026.gz	SRR1778285,SRR1778286,SRR1778287,SRR1778288,SRR1778289,SRR1778290,SRR1778291,SRR1778292,SRR1778293,SRR1778294,SRR1778295,SRR1778296,SRR1778297,SRR1778298,SRR1778299,SRR1778300,SRR1778301,SRR1778302,SRR1778303,SRR1778304,SRR1778305,SRR1778306,SRR1778307,SRR1778308,SRR1778309,SRR1778310,SRR1778311,SRR1778312,SRR1778313,SRR1778314,SRR1778315,SRR1778316
SRP055938	sra	human	culture_or_organoid	12	12	0.0	50157743	Transcriptome Profiling of Pneumolysin Intoxication of Airway Epithelial Cells	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/38/SRP055938/sra.gene_sums.SRP055938.G026.gz	SRR1910436,SRR1931654,SRR1931655,SRR1931656,SRR1931661,SRR1931665,SRR1931667,SRR1931669,SRR1931670,SRR1931671,SRR1931673,SRR1931674
SRP057579	sra	human	culture_or_organoid	33	33	0.0	22655848	Homo sapiens Transcriptome or Gene expression	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/79/SRP057579/sra.gene_sums.SRP057579.G026.gz	SRR1987398,SRR1987399,SRR1987400,SRR1987532,SRR1987599,SRR1987600,SRR1987677,SRR1987678,SRR1987679,SRR1994280,SRR1994281,SRR1994290,SRR1994397,SRR1994398,SRR1994403,SRR1994458,SRR1994460,SRR1994462,SRR2000044,SRR2000045,SRR2000046,SRR2000050,SRR2000052,SRR2000055,SRR2002816,SRR2002819,SRR2002820,SRR2003056,SRR2003057,SRR2003058,SRR2003060,SRR2003062,SRR2003064
SRP058237	sra	human	tissue	17	17	0.0	47465907	Reprogrammed myeloid cell transcriptomes in NSCLC	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/37/SRP058237/sra.gene_sums.SRP058237.G026.gz	SRR2016904,SRR2016905,SRR2016906,SRR2016907,SRR2016908,SRR2016909,SRR2016910,SRR2016911,SRR2016912,SRR2016913,SRR2016914,SRR2016915,SRR2016916,SRR2016917,SRR2016918,SRR2016919,SRR2016920
