Gene_Name	welch_t
HOXA7	0.9374551613468569
TMEM59L	0.9374467473436742
OR6B1	0.9372305011357356
CRISP1	0.936511817353666
OTOP3	0.9358052243887123
ARHGEF17	0.935275146393308
RAD21L1	0.9352730177846744
SCUBE2	0.9341391481632028
PER1	0.9336377924357312
TRAPPC11	0.9334905677131817
HLX	0.9332700924113163
APOA1	0.9331148919873731
GPR141	0.9330541010129226
TMEM178B	0.9318737691982516
TNS3	0.9314978257462525
AGPAT4	0.9310279617008043
KRT38	0.9297734679385302
SULT1C3	0.9297273504962247
FOCAD	0.9295933842920202
DAZ2	0.9295718383166238
CAPN11	0.9292800173902741
TSPAN2	0.9290898045047751
ZFP91-CNTF	0.92879041225335
RBM39	0.9282530467576778
TAF11L12	0.9280690427878786
SFMBT1	0.927839459036126
SPOCK1	0.9277507860588462
BICRA	0.9273886575476898
RBP3	0.9263710595360638
NLRP8	0.9263397233602729
CTSW	0.9261076355597554
AL355916.3	0.9259687402172656
MSH2	0.9256003831062738
KIF14	0.924813867006441
EPHX2	0.9246797550940432
MAN1A1	0.924192858764749
IKZF3	0.9239038153700894
LCE2D	0.923664084388714
MID1	0.9231255005442357
CFAP53	0.9230393077369865
OR1Q1	0.9222412581090975
TYW1B	0.9220939243203446
C2orf88	0.9217557109725476
BDKRB1	0.9204483913017909
OR51S1	0.9197749449097059
DEFB132	0.9195776034674739
UBE2L5	0.9193540779945573
PEX1	0.9193532238025506
SSX1	0.9183708765526108
SERPINA6	0.9182482153385952
ARHGEF40	0.9178902455346447
ARL5C	0.9177689925577835
RBFOX3	0.9172487066066768
RBM10	0.9170507502822463
SGCB	0.9162580558526914
NTN5	0.9162244377389734
AL031681.3	0.9152209411310457
MTMR2	0.9151278400525085
GABRA6	0.9143886898306048
TMEM239	0.914172646530807
SNRK	0.9141410690156103
LY6G6E	0.9130957687640348
GPR119	0.9126300321714226
ODF3	0.9126121833379487
CFAP65	0.9124342526747606
OR10A2	0.9123027827706214
B4GALT6	0.9109831187380929
SYT1	0.9109174717222912
CATSPERD	0.9106959149675309
ADORA3	0.9091194236825579
TUBA8	0.9087937730426741
AL603832.3	0.908629887019633
SKOR1	0.9079124253967574
SLITRK5	0.906123859650458
MCCC1	0.9057609158136842
DGKK	0.9049859324166574
DSC2	0.9049680695095947
IGFL1	0.9045735378517876
AQP12A	0.9035029614182458
KCNJ6	0.9031341382964839
FOXD4L6	0.9026036856744705
OR2A5	0.9019149341100909
DBX1	0.9017907983055199
GATM	0.9015416475051168
LINC02203	0.9013593634981001
OR4F6	0.9004669263573766
H4-16	0.8993151962295034
SPX	0.8989255918425736
AQP12B	0.8971280508415566
PTPRT	0.8967125916428168
PRRT1	0.8963792854042993
CIP2A	0.8962807087360929
HSF2BP	0.8961429818356467
AC092718.8	0.8957509656708175
AIF1	0.8952103914697647
ZNF226	0.894929312760306
RAB9B	0.8947731527366661
GRIP1	0.8945418855259151
ZFP69	0.8942690323595868
SCRT1	0.8941950745314022
G6PC2	0.894035632711928
GPR176	0.8938420545054712
TERB1	0.8931934945772086
GJC1	0.8930438879012341
LHCGR	0.8925520843780352
DDX25	0.8923017469784664
ANKUB1	0.8920991240900211
PAGE3	0.8904777519898676
DSCAML1	0.8900720612402879
CNOT1	0.8886174451490587
SEPTIN5	0.8870447021235829
CHSY3	0.8863522675900004
XAGE2	0.8859998749443353
ZNF322	0.8859680509016788
CHP2	0.8855656696963418
CFAP57	0.8851892779321276
OOSP1	0.88501388087159
TEX15	0.8843103733144283
UROC1	0.8836783707722667
CEMIP2	0.8835047353097696
LONRF1	0.8828459299581034
UCN2	0.8828341965995151
SCN4A	0.881629013968456
ANPEP	0.88146648687951
KRBOX1	0.8809664287769182
PMM2	0.8805699522183847
TLE7	0.8804912670052684
RHOXF2B	0.8801381007036212
S100A12	0.8800707466907939
ADAM2	0.8800669680633388
CCM2L	0.8794984874691959
MRGPRD	0.87928112645048
C3orf22	0.8787114308175084
PCDHGA6	0.8785418895509411
PPP1R36	0.8785054944033935
CHI3L2	0.878496786964767
GNG8	0.8782627580414596
OR51G2	0.8775005060919785
DNM2	0.8764574820403243
ITIH2	0.8757913790692277
NEUROD2	0.8752957855455451
GPR139	0.874307201381252
HERC3	0.874232699280484
ADPRM	0.8738733841334295
AOC2	0.8738231587121225
TRABD2B	0.8736169910233873
HMHB1	0.8732664701718693
CLDN16	0.8726287274715725
ASB10	0.872561373130219
AIPL1	0.8723460685305792
NRCAM	0.8710553876263292
SHBG	0.8694889056463421
TJP1	0.8686065573332578
CABYR	0.8681208837709398
ZBTB32	0.8675532606787658
OLFM2	0.8663143350023521
NKAIN2	0.8662349145428495
CYP2A6	0.8662168385959428
MMP12	0.865015593287863
OR5M1	0.8647003727736601
C1QA	0.8643184481698806
GCNT7	0.8638532275842932
AL022238.3	0.8636364721283832
NECAB2	0.8633221037019786
DCLK3	0.8631059130173041
ZBTB1	0.8626774675934326
YIPF7	0.8625752298286208
TAF1L	0.86147701214057
TTC19	0.8614717297448833
TAOK1	0.861270930487744
SLC7A9	0.8610487086309699
RRH	0.8608316564147589
AC235565.2	0.8608099706880689
RUBCN	0.8606415492849533
HERC4	0.8602239499162306
ADAM10	0.8591884366692562
ZNF415	0.8590293002085363
AL645922.1	0.8584990733293227
ZNF585A	0.8584976046714378
APBB3	0.8579839168209528
PCDHGB3	0.857906629261235
RABGAP1	0.8577495870159749
CRTAC1	0.857161411927305
CD33	0.8565482882113699
ZNF84	0.8558820343638992
CCDC179	0.855763283645829
ZNF560	0.8556260891815027
SCFD1	0.8554579920230898
TMOD2	0.8553994338365053
H2AB1	0.8551692739127836
RPL32	0.8543705233849337
PHF21B	0.8542069667948393
AMIGO3	0.8536108861309777
JAK1	0.8534672850410017
TBC1D12	0.8533659487950022
AC069503.2	0.8531665686885885
LCE2B	0.8531338899508758
MAGEE2	0.8526745941779036
SALL3	0.8521545577019617
MYO1G	0.851449451034537
KCNE4	0.851437505802374
STK32B	0.8511785894495048
