gene	distance	Z	FC	p.value	p.adj
ODC1	1.27528302762434e-07	0.676521407361538	0.000239464528846	0.987653515240923	0.99999999999513
ACTR2	1.2705349765973e-07	0.67498718196528	0.0002376847306456	0.987699479223303	0.99999999999513
AKAP9	1.24055037053957e-07	0.665174447335454	0.0002265983993302	0.987989749135016	0.99999999999513
MYH14	1.20337901186742e-07	0.652701613169117	0.0002132224344306	0.988349593550804	0.99999999999513
CARHSP1	1.20072980154538e-07	0.651799167392873	0.0002122846595592	0.988375239827129	0.99999999999513
FXYD5	1.18926013921993e-07	0.647870760825496	0.0002082484404207	0.988486274611019	0.99999999999513
TIAM1	1.17694257893125e-07	0.643612855920019	0.0002039569842864	0.988605517920337	0.99999999999513
PTP4A2	1.17179014825889e-07	0.64181957789375	0.0002021751234264	0.988655397425848	0.99999999999513
RHOB	1.1708742216771e-07	0.641500033398993	0.0002018591876793	0.988664264306712	0.99999999999513
TUBA4A	1.16549393818557e-07	0.639618317593209	0.0002000083238393	0.9887163496589	0.99999999999513
SMIM22	1.15311179844338e-07	0.635257146297761	0.0001957811448313	0.988836218638164	0.99999999999513
SQSTM1	1.12882347609005e-07	0.626575564955593	0.0001876204174096	0.989071349681855	0.99999999999513
PPA1	1.12842757283704e-07	0.626432632608855	0.0001874888352634	0.989075182360622	0.99999999999513
SRSF7	1.11884464942893e-07	0.622958745165869	0.0001843179412003	0.989167953251402	0.99999999999513
RNF213	1.1153549722883e-07	0.621686892403265	0.0001831699587347	0.9892017363458	0.99999999999513
LAGE3	1.10992831018719e-07	0.619701776391986	0.0001813918999388	0.989254271169162	0.99999999999513
RPS4Y1	1.08663464746178e-07	0.611077836592794	0.0001738581800173	0.989479774672128	0.99999999999513
FXYD3	1.08319525365551e-07	0.60979006605146	0.0001727593370661	0.989513071154065	0.99999999999513
CDC42	1.08199978091229e-07	0.609341576700617	0.0001723782144392	0.989524644429347	0.99999999999513
PDIA6	1.0769642618041e-07	0.607447440286661	0.0001707774858936	0.98957339290818	0.99999999999513
LCN2	1.06655294484887e-07	0.603505137701603	0.0001674915379859	0.989674184201763	0.99999999999513
NDUFC2	1.06565106950251e-07	0.603161969865489	0.0001672083966322	0.98968291520709	0.99999999999513
MSN	1.05703220483742e-07	0.59986887665648	0.000164514609392	0.989766354021202	0.99999999999513
BEX3	1.05028727533698e-07	0.597274463905259	0.0001624217703493	0.989831651437269	0.99999999999513
