gene,GSM5772210,GSM5772211,GSM5772212,GSM5772213,GSM5772214,GSM5772215,GSM5772216
ADAMTS12,0.048,0.0,0.0,0.0,0.0,0.026,0.0
ADAMTS13,0.0,0.185,0.0,0.144,0.144,0.131,0.0
ADAMTS14,0.181,0.027,0.0,0.0,0.0,1.514,0.0
ADAMTS15,0.438,0.253,0.519,0.587,0.043,0.0,0.066
ADAMTS16,0.0,0.029,0.031,0.0,0.049,0.0,0.0
ADAMTS17,0.112,0.0,0.0,0.066,0.019,0.079,0.0
ADAMTS18,0.0,0.0,0.026,0.0,0.0,0.0,0.0
ADAMTS19,0.0,0.0,0.0,0.0,0.024,0.0,0.037
ADAMTS19-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTS2,0.124,0.226,0.0,0.02,0.054,0.0,0.099
ADAMTS20,0.0,0.0,0.0,0.0,0.0,0.022,0.033
ADAMTS3,0.0,0.0,0.0,0.071,0.063,0.238,0.0
ADAMTS4,0.0,0.0,0.109,0.0,0.0,0.0,0.0
ADAMTS5,0.0,0.0,0.0,0.0,0.037,0.0,0.0
ADAMTS6,0.323,0.216,0.254,0.133,0.467,0.0,0.128
ADAMTS7,0.0,0.157,0.057,0.127,0.201,0.207,0.0
ADAMTS7P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTS8,0.033,0.0,0.0,0.0,0.0,0.598,0.0
ADAMTS9,0.032,0.039,0.0,0.169,0.0,0.0,0.025
ADAMTS9-AS1,0.131,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTS9-AS2,0.0,0.206,0.074,0.265,0.0,0.0,0.0
ADAMTSL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTSL2,0.0,0.079,0.043,0.228,0.033,0.0,0.154
ADAMTSL3,0.145,0.019,0.0,0.0,0.017,0.238,0.0
ADAMTSL4,16.837,15.948,28.2,23.625,25.899,6.862,28.488
ADAMTSL4-AS1,0.0,0.168,0.546,0.325,0.43,0.295,0.66
ADAMTSL5,0.129,0.105,0.0,0.101,0.045,0.0,0.0
ADAP1,16.215,9.369,7.828,17.381,17.845,10.368,16.117
ADAP2,33.156,36.503,32.169,29.987,36.02,33.97,31.509
ADAR,50.713,69.233,55.494,53.898,49.087,31.019,49.197
ADARB1,1.13,0.34,0.266,0.475,0.243,1.678,0.64
ADARB2,0.042,0.034,0.0,0.0,0.014,0.251,0.0
ADARB2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAT1,11.777,13.068,12.761,11.029,12.844,9.304,10.145
ADAT2,0.308,0.794,0.586,0.356,0.488,0.838,0.63
ADAT3,1.212,1.47,1.164,1.325,1.0,5.327,1.408
ADCK1,5.195,7.053,6.507,8.334,3.903,1.873,5.994
ADCK2,25.144,26.12,26.33,23.738,23.589,18.673,25.805
ADCK3,17.843,19.905,20.557,17.599,18.801,15.53,15.737
ADCK4,7.657,8.546,11.192,13.129,12.955,23.189,8.928
ADCK5,4.179,4.211,4.631,4.067,3.648,4.855,4.584
ADCY1,0.617,0.2,0.452,0.0,0.01,0.082,0.044
ADCY10,0.024,0.026,0.0,0.0,0.0,0.0,0.0
ADCY10P1,0.576,0.381,0.754,0.616,0.351,0.111,0.415
ADCY2,0.072,0.022,0.0,0.084,0.056,0.593,0.0
ADCY3,6.681,23.448,10.642,20.252,9.144,9.657,31.802
ADCY4,0.107,0.389,0.093,0.959,0.441,0.795,0.451
ADCY5,0.0,0.0,0.0,0.0,0.048,0.0,0.0
ADCY6,0.221,0.195,0.422,0.34,0.166,0.792,0.096
ADCY7,30.202,50.453,45.663,46.13,36.85,25.31,42.255
ADCY8,0.0,0.0,0.0,0.0,0.0,0.031,0.0
