gene	t
Mrpl14	-0.6599782097017463
Zfhx3	-0.6606258259254199
Plgrkt	-0.6608041767747311
2900042K21Rik	-0.6609623728780996
Calcrl	-0.6612814873329413
Phex	-0.6615501056106909
Pfdn4	-0.6617502764432265
Tektip1	-0.661879203411139
Ak2	-0.6621829092826903
Tipin	-0.6627311239056651
Gm7008	-0.6627317089969925
Herpud2	-0.6628461500334035
Bop1	-0.663125426877928
Inpp5b	-0.6631447863442017
Arl4c	-0.6635168094363268
Nupr1	-0.6635341660185541
Rfc3	-0.6637402249969564
Gm49322	-0.6645189204647264
Iba57	-0.6645651699570775
Gm37306	-0.6645854422769573
Gm4754	-0.6649046228874129
Cxcl5	-0.6650351758577498
Rnf151	-0.6656216620453828
Gm10709	-0.6656216620453828
9230112J17Rik	-0.6657085476884534
Gm23731	-0.6658580219522624
Snrpf	-0.665963914394912
Gm42551	-0.6661054362683646
Got2-ps1	-0.6662768099396892
Gm37786	-0.6665906692346434
Ska1	-0.6667560301679635
Clock	-0.6668223418091692
Gm42933	-0.6673336066924695
Scgb1a1	-0.6673356584989186
Gm47208	-0.6675312147437978
Snx1	-0.6676026254581906
Gm24492	-0.6681671123008525
Pcdhgb2	-0.6685477224122178
Gm49405	-0.668914210149563
Xpc	-0.6689997401539426
Sh3bgrl	-0.6692888051347605
Gm4366	-0.6696520867114956
Gna15	-0.6703529502835283
Tcaf1	-0.6704575569316092
9130017K11Rik	-0.6711556773257499
Tspan6	-0.6713448268305497
Gm19276	-0.671382862402053
Gm7867	-0.671633817439203
Coq6	-0.6718734698115597
Socs2	-0.6722556566406842
Syt1	-0.6728865022237865
Uba52	-0.6731579082222529
Gabpb1	-0.6731778286442047
Ncoa5	-0.6731823901378924
Nr2f1	-0.6734769320213818
C920021L13Rik	-0.6736098449805913
Dbp	-0.6737385022063712
Smad6	-0.6742810954937691
Adam17	-0.67461482784708
Rufy1	-0.6746622774917336
Dtna	-0.6747436353935917
Ralbp1	-0.6748616226000793
H2ac8	-0.6750353477109731
Iftap	-0.6756350928663506
Bicdl1	-0.6756445009750018
Car2	-0.6757703016436365
1700055D18Rik	-0.6761070066910843
Trmu	-0.6764373316781314
Thumpd1	-0.6767517298644801
C8g	-0.677031734986117
Naa20	-0.678090687783654
Dtnbp1	-0.6782491370941227
Cfap47	-0.6783120562362183
Nckap1	-0.678341657277008
Pitrm1	-0.6783460909688931
H2bc18	-0.6786466834316299
Gm48445	-0.6787520397314717
Csde1	-0.6790700120023718
Serpine2	-0.6792067122283789
Gm42798	-0.6792904178266143
Lifr	-0.6794050772786433
