pitch,min_tumor,min_fov_cells,min_bins,kernel,feature,target,r2_krt,r2_full,delta,median_delta,score,n_pos,n_sections,best_section,best_section_delta,n_bins
300,15,400,1,bin,mean_p80,nk_frac,0.07899177410587244,0.2257708960752759,0.14677912196940346,0.1352125586058679,0.1352125586058679,8,8,LUAD-5 R3,0.2625204392160112,2010
220,15,0,1,gauss80,mean_p90,nk_frac,0.11885662259145457,0.2618818451236409,0.1430252225321863,0.13479094052740792,0.13479094052740792,7,8,LUAD-5 R3,0.18771652639682657,2554
220,15,400,1,gauss80,mean_p90,nk_frac,0.11885662259145457,0.2618818451236409,0.1430252225321863,0.13479094052740792,0.13479094052740792,7,8,LUAD-5 R3,0.18771652639682657,2554
300,15,0,4,gauss80,mean_p90,nk_frac,0.1080539581545108,0.2755867249434919,0.1675327667889811,0.13462831807370024,0.13462831807370024,7,8,LUAD-5 R3,0.29633419803953753,2010
300,15,400,4,gauss80,mean_p90,nk_frac,0.1080539581545108,0.2755867249434919,0.1675327667889811,0.13462831807370024,0.13462831807370024,7,8,LUAD-5 R3,0.29633419803953753,2010
220,15,0,1,gauss80,mean_p75,nk_frac,0.11885662259145457,0.2609516820917497,0.1420950595002951,0.1345751053119869,0.1345751053119869,7,8,LUAD-5 R1,0.17600018025271624,2554
220,15,400,1,gauss80,mean_p75,nk_frac,0.11885662259145457,0.2609516820917497,0.1420950595002951,0.1345751053119869,0.1345751053119869,7,8,LUAD-5 R1,0.17600018025271624,2554
300,15,0,1,bin,mean_p90,nk_frac,0.07899177410587244,0.23211188833841767,0.15312011423254523,0.1342740979428202,0.1342740979428202,8,8,LUAD-5 R3,0.2888020752856575,2010
300,15,400,1,bin,mean_p90,nk_frac,0.07899177410587244,0.23211188833841767,0.15312011423254523,0.1342740979428202,0.1342740979428202,8,8,LUAD-5 R3,0.2888020752856575,2010
220,15,0,1,gauss80,mean_p75_q4,nk_frac,0.11885662259145457,0.26764488608860837,0.1487882634971538,0.13289612284159646,0.13289612284159646,7,8,LUAD-5 R3,0.19684228896458444,2554
220,15,400,1,gauss80,mean_p75_q4,nk_frac,0.11885662259145457,0.26764488608860837,0.1487882634971538,0.13289612284159646,0.13289612284159646,7,8,LUAD-5 R3,0.19684228896458444,2554
300,15,0,4,gauss80,mean_p80,nk_frac,0.1080539581545108,0.26200543262025644,0.15395147446574564,0.1264435695422853,0.1264435695422853,6,8,LUAD-5 R3,0.27335169855935804,2010
300,15,400,4,gauss80,mean_p80,nk_frac,0.1080539581545108,0.26200543262025644,0.15395147446574564,0.1264435695422853,0.1264435695422853,6,8,LUAD-5 R3,0.27335169855935804,2010
400,15,0,1,bin,mean_p80,nk_frac,0.11463913753940769,0.24997705313269192,0.13533791559328423,0.12624642032190658,0.12624642032190658,5,8,LUAD-5 R3,0.26599182736062,1410
