graph	nhood	n_cells	n_tnk	n_malig	frac_tnk	frac_malig	cldn4_all_mean	cldn4_malig_mean	dominant_lineage	n_samples_present	n_cells_da	cldn4_rho	cldn4_p	cldn4_testable	cldn4_BH_FDR	cldn4_SpatialFDR
GSE131907_tumor_no_brain	2352	31	0	0	0.0	0.0	0.0		Myeloid cells	5	31	0.49999999999999994	0.3910022189557703	True	0.8515227089114471	0.848075082201284
GSE131907_tumor_no_brain	2353	31	31	0	1.0	0.0	0.1795959621667862		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2354	31	31	0	1.0	0.0	0.0		T lymphocytes	3	31			False		
GSE131907_tumor_no_brain	2355	31	0	31	0.0	1.0	2.106597423553467	2.106597423553467	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2356	31	0	31	0.0	1.0	1.5230530500411987	1.5230530500411987	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2357	31	29	0	0.9354838709677419	0.0	0.09947953373193741		T lymphocytes	7	31	0.1785714285714286	0.7016579425162727	True	0.940135274213113	0.9363445121305675
GSE131907_tumor_no_brain	2358	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2359	31	0	0	0.0	0.0	0.1253241002559662		Myeloid cells	1	31			False		
GSE131907_tumor_no_brain	2360	31	31	0	1.0	0.0	0.0		T lymphocytes	4	31			False		
GSE131907_tumor_no_brain	2361	31	31	0	1.0	0.0	0.0		T lymphocytes	4	31			False		
GSE131907_tumor_no_brain	2362	31	31	0	1.0	0.0	0.0		T lymphocytes	3	31			False		
GSE131907_tumor_no_brain	2363	31	0	0	0.0	0.0	0.0		Myeloid cells	4	31			False		
GSE131907_tumor_no_brain	2364	31	0	31	0.0	1.0	1.7212960720062256	1.7212960720062256	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2365	31	0	0	0.0	0.0	0.05476228520274162		Myeloid cells	1	31			False		
GSE131907_tumor_no_brain	2366	31	0	31	0.0	1.0	1.0524535179138184	1.0524535179138184	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2367	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2368	31	0	31	0.0	1.0	1.6744111776351929	1.6744111776351929	Epithelial cells	2	31			False		
GSE131907_tumor_no_brain	2369	31	0	31	0.0	1.0	1.8663216829299927	1.8663216829299927	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2370	31	31	0	1.0	0.0	0.05595310404896736		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2371	31	0	0	0.0	0.0	0.0		B lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2372	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2373	31	0	31	0.0	1.0	1.470654845237732	1.470654845237732	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2374	31	0	31	0.0	1.0	1.9758776426315308	1.9758776426315308	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2375	31	0	0	0.0	0.0	0.0		B lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2376	31	0	31	0.0	1.0	1.4090461730957031	1.4090461730957031	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2377	31	31	0	1.0	0.0	0.08746310323476791		T lymphocytes	2	31			False		
GSE131907_tumor_no_brain	2378	31	0	0	0.0	0.0	0.10405763983726501		Myeloid cells	5	31	-0.09999999999999999	0.8728885715695384	True	0.940135274213113	0.9363445121305675
GSE131907_tumor_no_brain	2379	31	1	0	0.03225806451612903	0.0	0.0		B lymphocytes	6	31	0.2	0.7040000000000001	True	0.940135274213113	0.9363445121305675
GSE131907_tumor_no_brain	2380	31	0	0	0.0	0.0	0.044065073132514954		Myeloid cells	3	31			False		
GSE131907_tumor_no_brain	2381	31	0	0	0.0	0.0	0.0		B lymphocytes	1	31			False		
