Study_ID,GSM_ID,IN_VIVO,Cancer_type,Cell_Line,sub_clone,Condition,ICB,ICB_study,ICB_group,ICB_Baseline_TYPE,Baseline,Cell_treatment,Cell_genotype,Tumor,Mouse_genotype,Mouse_strain,Mouse_treatment,Timepoint,Implantation,Implantation_site,SRX_ID,SampleName
RU31562203,RU_moc1e1_1,in_vivo,Head and neck squamous cell carcinoma,MOC1,MOC1e1,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,NA,subcutaneous,flank,NA,moc1e1_1
RU31562203,RU_moc1e1_2,in_vivo,Head and neck squamous cell carcinoma,MOC1,MOC1e1,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,NA,subcutaneous,flank,NA,moc1e1_2
RU31562203,RU_moc1e1_3,in_vivo,Head and neck squamous cell carcinoma,MOC1,MOC1e1,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,NA,subcutaneous,flank,NA,moc1e1_3
RU31562203,RU_moc1e2_1,in_vivo,Head and neck squamous cell carcinoma,MOC1,MOC1e2,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,NA,subcutaneous,flank,NA,moc1e2_1
RU31562203,RU_moc1e2_2,in_vivo,Head and neck squamous cell carcinoma,MOC1,MOC1e2,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,NA,subcutaneous,flank,NA,moc1e2_2
RU31562203,RU_moc1e2_3,in_vivo,Head and neck squamous cell carcinoma,MOC1,MOC1e2,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,NA,subcutaneous,flank,NA,moc1e2_3
RU31562203,RU_moc1_3,in_vivo,Head and neck squamous cell carcinoma,MOC1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,NA,subcutaneous,flank,NA,moc1_3
RU31562203,RU_moc1_4,in_vivo,Head and neck squamous cell carcinoma,MOC1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,NA,subcutaneous,flank,NA,moc1_4
RU31562203,RU_moc1_5,in_vivo,Head and neck squamous cell carcinoma,MOC1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,NA,subcutaneous,flank,NA,moc1_5
RU31562203,RU_MOC2_in_vivo_d10_m5_L,in_vivo,Head and neck squamous cell carcinoma,MOC2,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,day10,subcutaneous,flank,NA,Ravi_MOC2_invivo_d10_m5_L
RU31562203,RU_MOC2_in_vivo_d10_m5_R,in_vivo,Head and neck squamous cell carcinoma,MOC2,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,day10,subcutaneous,flank,NA,Ravi_MOC2_invivo_d10_m5_R
RU31562203,RU_MOC2_in_vivo_d10m1R_2,in_vivo,Head and neck squamous cell carcinoma,MOC2,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,day10,subcutaneous,flank,NA,Ravi_MOC2_invivo_d10m1R_2
RU31562203,RU_MOC2_in_vivo_d14_m2_L,in_vivo,Head and neck squamous cell carcinoma,MOC2,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,day14,subcutaneous,flank,NA,Ravi_MOC2_invivo_d14_m2_L
RU31562203,RU_MOC2_in_vivo_d14_m4_L,in_vivo,Head and neck squamous cell carcinoma,MOC2,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,day14,subcutaneous,flank,NA,Ravi_MOC2_invivo_d14_m4_L
RU31562203,RU_MOC2_in_vivo_d14_m4_R,in_vivo,Head and neck squamous cell carcinoma,MOC2,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,day14,subcutaneous,flank,NA,Ravi_MOC2_invivo_d14_m4_R
RU31562203,RU_MOC22_in_vivo_C4_1,in_vivo,Head and neck squamous cell carcinoma,MOC22,parental,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,C57BL/6,isotype,day17,subcutaneous,flank,NA,Ravi_MOC22_invivo_C4_1
RU31562203,RU_MOC22_in_vivo_C4_4,in_vivo,Head and neck squamous cell carcinoma,MOC22,parental,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,C57BL/6,isotype,day17,subcutaneous,flank,NA,Ravi_MOC22_invivo_C4_4
RU31562203,RU_MOC22_in_vivo_C4_5,in_vivo,Head and neck squamous cell carcinoma,MOC22,parental,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,C57BL/6,isotype,day17,subcutaneous,flank,NA,Ravi_MOC22_invivo_C4_5
RU31562203,RU_MOC22_in_vivo_P3_2,in_vivo,Head and neck squamous cell carcinoma,MOC22,parental,NA,1,R,antiPD1,NA,0,NA,WT,primary,WT,C57BL/6,antiPD1,day17,subcutaneous,flank,NA,Ravi_MOC22_invivo_P3_2
RU31562203,RU_MOC22_in_vivo_P3_3,in_vivo,Head and neck squamous cell carcinoma,MOC22,parental,NA,1,R,antiPD1,NA,0,NA,WT,primary,WT,C57BL/6,antiPD1,day17,subcutaneous,flank,NA,Ravi_MOC22_invivo_P3_3
RU31562203,RU_MOC22_in_vivo_P3_5,in_vivo,Head and neck squamous cell carcinoma,MOC22,parental,NA,1,R,antiPD1,NA,0,NA,WT,primary,WT,C57BL/6,antiPD1,day17,subcutaneous,flank,NA,Ravi_MOC22_invivo_P3_5
XW33589424,XW_Mouse10_USR17006878L_HM2KTBBXX,in_vivo,Mammary carcinoma,4T1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,BALB/c,no_treatment,NA,subcutaneous,flank,NA,Mouse10_USR17006878L_HM2KTBBXX
XW33589424,XW_Mouse11_USR17006879L_HM2KTBBXX,in_vivo,Mammary carcinoma,4T1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,BALB/c,no_treatment,NA,subcutaneous,flank,NA,Mouse11_USR17006879L_HM2KTBBXX
XW33589424,XW_Mouse12_USR17006880L_HM2KTBBXX,in_vivo,Mammary carcinoma,EMT6,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,BALB/c,no_treatment,NA,subcutaneous,flank,NA,Mouse12_USR17006880L_HM2KTBBXX
XW33589424,XW_Mouse13_USR17006881L_HM2KTBBXX,in_vivo,Mammary carcinoma,EMT6,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,BALB/c,no_treatment,NA,subcutaneous,flank,NA,Mouse13_USR17006881L_HM2KTBBXX
XW33589424,XW_Mouse14_USR17006882L_HM2KTBBXX,in_vivo,Mammary carcinoma,EMT6,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,BALB/c,no_treatment,NA,subcutaneous,flank,NA,Mouse14_USR17006882L_HM2KTBBXX
XW33589424,XW_Mouse9_USR17006877L_HM2KTBBXX,in_vivo,Mammary carcinoma,4T1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,BALB/c,no_treatment,NA,subcutaneous,flank,NA,Mouse9_USR17006877L_HM2KTBBXX
GSE148947,GSM4486522,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p112,0,NA,NA,NA,1,NA,WT,primary,WT,BALB/c,vehicle,batch_p112,orthotopic,left liver lobe,SRX8142939,SRX8142939
GSE148947,GSM4486523,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p112,0,NA,NA,NA,1,NA,WT,primary,WT,BALB/c,vehicle,batch_p112,orthotopic,left liver lobe,SRX8142940,SRX8142940
GSE148947,GSM4486524,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p112,0,NA,NA,NA,1,NA,WT,primary,WT,BALB/c,vehicle,batch_p112,orthotopic,left liver lobe,SRX8142941,SRX8142941
GSE148947,GSM4486525,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p112,0,NA,NA,NA,1,NA,WT,primary,WT,BALB/c,vehicle,batch_p112,orthotopic,left liver lobe,SRX8142942,SRX8142942
GSE148947,GSM4486526,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p112,0,NA,NA,NA,0,NA,WT,primary,WT,BALB/c,regorafenib_5,batch_p112,orthotopic,left liver lobe,SRX8142943,SRX8142943
GSE148947,GSM4486527,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p112,0,NA,NA,NA,0,NA,WT,primary,WT,BALB/c,regorafenib_5,batch_p112,orthotopic,left liver lobe,SRX8142944,SRX8142944
GSE148947,GSM4486528,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p112,0,NA,NA,NA,0,NA,WT,primary,WT,BALB/c,regorafenib_5,batch_p112,orthotopic,left liver lobe,SRX8142945,SRX8142945
GSE148947,GSM4486529,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p112,0,NA,NA,NA,0,NA,WT,primary,WT,BALB/c,regorafenib_20,batch_p112,orthotopic,left liver lobe,SRX8142946,SRX8142946
GSE148947,GSM4486530,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p112,0,NA,NA,NA,0,NA,WT,primary,WT,BALB/c,regorafenib_20,batch_p112,orthotopic,left liver lobe,SRX8142947,SRX8142947
GSE148947,GSM4486531,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p112,0,NA,NA,NA,0,NA,WT,primary,WT,BALB/c,regorafenib_20,batch_p112,orthotopic,left liver lobe,SRX8142948,SRX8142948
GSE148947,GSM4486532,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p103,0,NA,NA,NA,1,NA,WT,primary,WT,BALB/c,vehicle,batch_p103,orthotopic,left liver lobe,SRX8142949,SRX8142949
GSE148947,GSM4486533,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p103,0,NA,NA,NA,1,NA,WT,primary,WT,BALB/c,vehicle,batch_p103,orthotopic,left liver lobe,SRX8142950,SRX8142950
GSE148947,GSM4486534,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p103,0,NA,NA,NA,1,NA,WT,primary,WT,BALB/c,vehicle,batch_p103,orthotopic,left liver lobe,SRX8142951,SRX8142951
GSE148947,GSM4486535,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p103,0,NA,NA,NA,1,NA,WT,primary,WT,BALB/c,vehicle,batch_p103,orthotopic,left liver lobe,SRX8142952,SRX8142952
GSE148947,GSM4486536,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p103,0,NA,NA,NA,0,NA,WT,primary,WT,BALB/c,regorafenib_5,batch_p103,orthotopic,left liver lobe,SRX8142953,SRX8142953
GSE148947,GSM4486537,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p103,0,NA,NA,NA,0,NA,WT,primary,WT,BALB/c,regorafenib_5,batch_p103,orthotopic,left liver lobe,SRX8142954,SRX8142954
GSE148947,GSM4486538,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p103,0,NA,NA,NA,0,NA,WT,primary,WT,BALB/c,regorafenib_5,batch_p103,orthotopic,left liver lobe,SRX8142955,SRX8142955
GSE148947,GSM4486539,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p103,0,NA,NA,NA,0,NA,WT,primary,WT,BALB/c,DC-101_800ug,batch_p103,orthotopic,left liver lobe,SRX8142956,SRX8142956
GSE148947,GSM4486540,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p103,0,NA,NA,NA,0,NA,WT,primary,WT,BALB/c,DC-101_800ug,batch_p103,orthotopic,left liver lobe,SRX8142957,SRX8142957
GSE148947,GSM4486541,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,batch_p103,0,NA,NA,NA,0,NA,WT,primary,WT,BALB/c,DC-101_800ug,batch_p103,orthotopic,left liver lobe,SRX8142958,SRX8142958
GSE148947,GSM4486542,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,NA,0,Baseline,NA,NR,1,NA,WT,primary,WT,BALB/c,vehicle,NA,orthotopic,left liver lobe,SRX8142959,SRX8142959
GSE148947,GSM4486543,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,NA,0,Baseline,NA,NR,1,NA,WT,primary,WT,BALB/c,vehicle,NA,orthotopic,left liver lobe,SRX8142960,SRX8142960
GSE148947,GSM4486544,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,NA,0,Baseline,NA,NR,1,NA,WT,primary,WT,BALB/c,vehicle,NA,orthotopic,left liver lobe,SRX8142961,SRX8142961
GSE148947,GSM4486545,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,regorafenib_5,0,Baseline,NA,R,0,NA,WT,primary,WT,BALB/c,regorafenib_5,NA,orthotopic,left liver lobe,SRX8142962,SRX8142962
GSE148947,GSM4486546,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,regorafenib_5,0,Baseline,NA,R,0,NA,WT,primary,WT,BALB/c,regorafenib_5,NA,orthotopic,left liver lobe,SRX8142963,SRX8142963
GSE148947,GSM4486547,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,regorafenib_5,0,Baseline,NA,R,0,NA,WT,primary,WT,BALB/c,regorafenib_5,NA,orthotopic,left liver lobe,SRX8142964,SRX8142964
GSE148947,GSM4486548,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,NA,1,NR,antiPD1,NA,0,NA,WT,primary,WT,BALB/c,antiPD1,NA,orthotopic,left liver lobe,SRX8142965,SRX8142965
GSE148947,GSM4486549,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,NA,1,NR,antiPD1,NA,0,NA,WT,primary,WT,BALB/c,antiPD1,NA,orthotopic,left liver lobe,SRX8142966,SRX8142966
GSE148947,GSM4486550,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,NA,1,NR,antiPD1,NA,0,NA,WT,primary,WT,BALB/c,antiPD1,NA,orthotopic,left liver lobe,SRX8142967,SRX8142967
GSE148947,GSM4486551,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,regorafenib_5,1,R,antiPD1,NA,0,NA,WT,primary,WT,BALB/c,antiPD1; regorafenib_5;,NA,orthotopic,left liver lobe,SRX8142968,SRX8142968
GSE148947,GSM4486552,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,regorafenib_5,1,R,antiPD1,NA,0,NA,WT,primary,WT,BALB/c,antiPD1; regorafenib_5;,NA,orthotopic,left liver lobe,SRX8142969,SRX8142969
GSE148947,GSM4486553,in_vivo,Hepatocellular carcinoma,BNL-MEA,parental,regorafenib_5,1,R,antiPD1,NA,0,NA,WT,primary,WT,BALB/c,antiPD1; regorafenib_5;,NA,orthotopic,left liver lobe,SRX8142970,SRX8142970
GSE159344,GSM4826931,in_vivo,Melanoma,D4M.3A.3,parental,NA,0,Baseline,NA,R; NR;,1,NA,WT,primary,WT,C57BL/6,isotype,NA,subcutaneous,flank,SRX9273251,SRX9273251
GSE159344,GSM4826932,in_vivo,Melanoma,D4M.3A.3,parental,NA,0,Baseline,NA,R; NR;,1,NA,WT,primary,WT,C57BL/6,isotype,NA,subcutaneous,flank,SRX9273252,SRX9273252
GSE159344,GSM4826933,in_vivo,Melanoma,D4M.3A.3,parental,NA,0,Baseline,NA,R; NR;,1,NA,WT,primary,WT,C57BL/6,isotype,NA,subcutaneous,flank,SRX9273253,SRX9273253
GSE159344,GSM4826934,in_vivo,Melanoma,D4M.3A.3,parental,NA,1,NR,antiPD1,NA,0,NA,WT,primary,WT,C57BL/6,antiPD1,NA,subcutaneous,flank,SRX9273254,SRX9273254
GSE159344,GSM4826935,in_vivo,Melanoma,D4M.3A.3,parental,NA,1,NR,antiPD1,NA,0,NA,WT,primary,WT,C57BL/6,antiPD1,NA,subcutaneous,flank,SRX9273255,SRX9273255
GSE159344,GSM4826936,in_vivo,Melanoma,D4M.3A.3,parental,NA,1,NR,antiPD1,NA,0,NA,WT,primary,WT,C57BL/6,antiPD1,NA,subcutaneous,flank,SRX9273256,SRX9273256
GSE159344,GSM4826937,in_vivo,Melanoma,D4M.3A.3,parental,aFP_imiquimod,1,R,antiPD1,NA,0,NA,WT,primary,WT,C57BL/6,antiPD1; aFP; imiquimod;,NA,subcutaneous,flank,SRX9273257,SRX9273257
GSE159344,GSM4826938,in_vivo,Melanoma,D4M.3A.3,parental,aFP_imiquimod,1,R,antiPD1,NA,0,NA,WT,primary,WT,C57BL/6,antiPD1; aFP; imiquimod;,NA,subcutaneous,flank,SRX9273258,SRX9273258
GSE159344,GSM4826939,in_vivo,Melanoma,D4M.3A.3,parental,aFP_imiquimod,1,R,antiPD1,NA,0,NA,WT,primary,WT,C57BL/6,antiPD1; aFP; imiquimod;,NA,subcutaneous,flank,SRX9273259,SRX9273259
GSE159344,GSM4826940,in_vivo,Melanoma,D3UV2,NA,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,C57BL/6,isotype,NA,subcutaneous,flank,SRX9273260,SRX9273260
GSE159344,GSM4826941,in_vivo,Melanoma,D3UV2,NA,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,C57BL/6,isotype,NA,subcutaneous,flank,SRX9273261,SRX9273261
GSE159344,GSM4826942,in_vivo,Melanoma,D3UV2,NA,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,C57BL/6,isotype,NA,subcutaneous,flank,SRX9273262,SRX9273262
GSE159344,GSM4826943,in_vivo,Melanoma,D3UV2,NA,NA,1,R,antiPD1,NA,0,NA,WT,primary,WT,C57BL/6,antiPD1,NA,subcutaneous,flank,SRX9273263,SRX9273263
GSE159344,GSM4826944,in_vivo,Melanoma,D3UV2,NA,NA,1,R,antiPD1,NA,0,NA,WT,primary,WT,C57BL/6,antiPD1,NA,subcutaneous,flank,SRX9273264,SRX9273264
GSE159344,GSM4826945,in_vivo,Melanoma,D3UV2,NA,NA,1,R,antiPD1,NA,0,NA,WT,primary,WT,C57BL/6,antiPD1,NA,subcutaneous,flank,SRX9273265,SRX9273265
GSE155972,GSM4718334,in_vivo,Lung carcinoma,LLC,parental,Setdb1_KO,1,R,antiCTLA4&antiPD1,NA,0,sgSetdb1,Setdb1_KO,primary,WT,C57BL/6J,antiPD1; antiCTL4;,NA,subcutaneous,flank,SRX8918387,SRX8918387
GSE155972,GSM4718335,in_vivo,Lung carcinoma,LLC,parental,Setdb1_KO,1,R,antiCTLA4&antiPD1,NA,0,sgSetdb1,Setdb1_KO,primary,WT,C57BL/6J,antiPD1; antiCTL4;,NA,subcutaneous,flank,SRX8918388,SRX8918388
GSE155972,GSM4718336,in_vivo,Lung carcinoma,LLC,parental,Setdb1_KO,1,R,antiCTLA4&antiPD1,NA,0,sgSetdb1,Setdb1_KO,primary,WT,C57BL/6J,antiPD1; antiCTL4;,NA,subcutaneous,flank,SRX8918389,SRX8918389
GSE155972,GSM4718337,in_vivo,Lung carcinoma,LLC,parental,Setdb1_KO,1,R,antiCTLA4&antiPD1,NA,0,sgSetdb1,Setdb1_KO,primary,WT,C57BL/6J,antiPD1; antiCTL4;,NA,subcutaneous,flank,SRX8918390,SRX8918390
GSE155972,GSM4718338,in_vivo,Lung carcinoma,LLC,parental,Setdb1_KO,1,R,antiCTLA4&antiPD1,NA,0,sgSetdb1,Setdb1_KO,primary,WT,C57BL/6J,antiPD1; antiCTL4;,NA,subcutaneous,flank,SRX8918391,SRX8918391
GSE155972,GSM4718339,in_vivo,Lung carcinoma,LLC,parental,Setdb1_KO,1,R,antiCTLA4&antiPD1,NA,0,sgSetdb1,Setdb1_KO,primary,WT,C57BL/6J,antiPD1; antiCTL4;,NA,subcutaneous,flank,SRX8918392,SRX8918392
GSE155972,GSM4718340,in_vivo,Lung carcinoma,LLC,parental,Setdb1_KO,1,R,antiCTLA4&antiPD1,NA,0,sgSetdb1,Setdb1_KO,primary,WT,C57BL/6J,antiPD1; antiCTL4;,NA,subcutaneous,flank,SRX8918393,SRX8918393
GSE155972,GSM4718341,in_vivo,Lung carcinoma,LLC,parental,Setdb1_KO,0,Baseline,NA,R,0,sgSetdb1,Setdb1_KO,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918394,SRX8918394
GSE155972,GSM4718342,in_vivo,Lung carcinoma,LLC,parental,Setdb1_KO,0,Baseline,NA,R,0,sgSetdb1,Setdb1_KO,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918395,SRX8918395
GSE155972,GSM4718343,in_vivo,Lung carcinoma,LLC,parental,Setdb1_KO,0,Baseline,NA,R,0,sgSetdb1,Setdb1_KO,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918396,SRX8918396
GSE155972,GSM4718344,in_vivo,Lung carcinoma,LLC,parental,Setdb1_KO,0,Baseline,NA,R,0,sgSetdb1,Setdb1_KO,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918397,SRX8918397
GSE155972,GSM4718345,in_vivo,Lung carcinoma,LLC,parental,Setdb1_KO,0,Baseline,NA,R,0,sgSetdb1,Setdb1_KO,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918398,SRX8918398
GSE155972,GSM4718346,in_vivo,Lung carcinoma,LLC,parental,Setdb1_KO,0,Baseline,NA,R,0,sgSetdb1,Setdb1_KO,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918399,SRX8918399
GSE155972,GSM4718347,in_vivo,Lung carcinoma,LLC,parental,Setdb1_KO,0,Baseline,NA,R,0,sgSetdb1,Setdb1_KO,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918400,SRX8918400
GSE155972,GSM4718348,in_vivo,Lung carcinoma,LLC,parental,Setdb1_KO,0,Baseline,NA,R,0,sgSetdb1,Setdb1_KO,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918401,SRX8918401
GSE155972,GSM4718349,in_vivo,Lung carcinoma,LLC,parental,Setdb1_KO,0,Baseline,NA,R,0,sgSetdb1,Setdb1_KO,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918402,SRX8918402
GSE155972,GSM4718350,in_vivo,Lung carcinoma,LLC,parental,Setdb1_KO,0,Baseline,NA,R,0,sgSetdb1,Setdb1_KO,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918403,SRX8918403
GSE155972,GSM4718351,in_vivo,Lung carcinoma,LLC,parental,NA,1,NR,antiCTLA4&antiPD1,NA,0,sg_control,WT,primary,WT,C57BL/6J,antiPD1; antiCTL4;,NA,subcutaneous,flank,SRX8918404,SRX8918404
GSE155972,GSM4718352,in_vivo,Lung carcinoma,LLC,parental,NA,1,NR,antiCTLA4&antiPD1,NA,0,sg_control,WT,primary,WT,C57BL/6J,antiPD1; antiCTL4;,NA,subcutaneous,flank,SRX8918405,SRX8918405
GSE155972,GSM4718353,in_vivo,Lung carcinoma,LLC,parental,NA,1,NR,antiCTLA4&antiPD1,NA,0,sg_control,WT,primary,WT,C57BL/6J,antiPD1; antiCTL4;,NA,subcutaneous,flank,SRX8918406,SRX8918406
GSE155972,GSM4718354,in_vivo,Lung carcinoma,LLC,parental,NA,1,NR,antiCTLA4&antiPD1,NA,0,sg_control,WT,primary,WT,C57BL/6J,antiPD1; antiCTL4;,NA,subcutaneous,flank,SRX8918407,SRX8918407
GSE155972,GSM4718355,in_vivo,Lung carcinoma,LLC,parental,NA,1,NR,antiCTLA4&antiPD1,NA,0,sg_control,WT,primary,WT,C57BL/6J,antiPD1; antiCTL4;,NA,subcutaneous,flank,SRX8918408,SRX8918408
GSE155972,GSM4718356,in_vivo,Lung carcinoma,LLC,parental,NA,1,NR,antiCTLA4&antiPD1,NA,0,sg_control,WT,primary,WT,C57BL/6J,antiPD1; antiCTL4;,NA,subcutaneous,flank,SRX8918409,SRX8918409
GSE155972,GSM4718357,in_vivo,Lung carcinoma,LLC,parental,NA,0,Baseline,NA,NR,1,sg_control,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918410,SRX8918410
GSE155972,GSM4718358,in_vivo,Lung carcinoma,LLC,parental,NA,0,Baseline,NA,NR,1,sg_control,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918411,SRX8918411
GSE155972,GSM4718359,in_vivo,Lung carcinoma,LLC,parental,NA,0,Baseline,NA,NR,1,sg_control,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918412,SRX8918412
GSE155972,GSM4718360,in_vivo,Lung carcinoma,LLC,parental,NA,0,Baseline,NA,NR,1,sg_control,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918413,SRX8918413
GSE155972,GSM4718361,in_vivo,Lung carcinoma,LLC,parental,NA,0,Baseline,NA,NR,1,sg_control,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918414,SRX8918414
GSE155972,GSM4718362,in_vivo,Lung carcinoma,LLC,parental,NA,0,Baseline,NA,NR,1,sg_control,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918415,SRX8918415
GSE155972,GSM4718363,in_vivo,Lung carcinoma,LLC,parental,NA,0,Baseline,NA,NR,1,sg_control,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918416,SRX8918416
GSE155972,GSM4718364,in_vivo,Lung carcinoma,LLC,parental,NA,0,Baseline,NA,NR,1,sg_control,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918417,SRX8918417
GSE155972,GSM4718365,in_vivo,Lung carcinoma,LLC,parental,NA,0,Baseline,NA,NR,1,sg_control,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918418,SRX8918418
GSE155972,GSM4718366,in_vivo,Lung carcinoma,LLC,parental,NA,0,Baseline,NA,NR,1,sg_control,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX8918419,SRX8918419
GSE174053,GSM5285275,in_vivo,Mammary adenocarcinoma,E0771,parental,high.fat.diet,0,Baseline,NA,NR,1,NA,luciferase,primary,WT,C57BL/6J,isotype; high.fat.diet;,NA,orthotopic,mammary gland,SRX10815534,SRX10815534
GSE174053,GSM5285276,in_vivo,Mammary adenocarcinoma,E0771,parental,high.fat.diet,1,NR,antiPD1,NA,0,NA,luciferase,primary,WT,C57BL/6J,antiPD1; high.fat.diet;,NA,orthotopic,mammary gland,SRX10815535,SRX10815535
GSE174053,GSM5285277,in_vivo,Mammary adenocarcinoma,E0771,parental,high.fat.diet,1,NR,antiPD1,NA,0,NA,luciferase,primary,WT,C57BL/6J,antiPD1; high.fat.diet;,NA,orthotopic,mammary gland,SRX10815536,SRX10815536
GSE174053,GSM5285278,in_vivo,Mammary adenocarcinoma,E0771,parental,high.fat.diet,1,NR,antiPD1,NA,0,NA,luciferase,primary,WT,C57BL/6J,antiPD1; high.fat.diet;,NA,orthotopic,mammary gland,SRX10815537,SRX10815537
GSE174053,GSM5285279,in_vivo,Mammary adenocarcinoma,E0771,parental,high.fat.diet,0,Baseline,NA,NR,1,NA,luciferase,primary,WT,C57BL/6J,isotype; high.fat.diet;,NA,orthotopic,mammary gland,SRX10815538,SRX10815538
GSE174053,GSM5285280,in_vivo,Mammary adenocarcinoma,E0771,parental,high.fat.diet,0,Baseline,NA,NR,1,NA,luciferase,primary,WT,C57BL/6J,isotype; high.fat.diet;,NA,orthotopic,mammary gland,SRX10815539,SRX10815539
GSE174053,GSM5285281,in_vivo,Mammary adenocarcinoma,E0771,parental,high.fat.diet,1,NR,antiPD1,NA,0,NA,luciferase,primary,WT,C57BL/6J,antiPD1; high.fat.diet;,NA,orthotopic,mammary gland,SRX10815540,SRX10815540
