dataset	contrast	gene_set	human_symbol	assayed_symbol	log2FC	pvalue	FDR	n	note
GSE207704	MCF-7 KO vs WT	MHC_APM	PSMB9	PSMB9	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	MHC_APM	PSME1	PSME1	-0.4146749874685607	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	MHC_APM	PSME2	PSME2	-0.08341752673708527	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	MHC_APM	TAP1	TAP1	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	MHC_APM	TAP2	TAP2	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	MHC_APM	TAPBP	TAPBP	NA	NA	NA	NA	not assayed or below expression filter
GSE22493	SKOV-3 KD	IFN_ISG	ADAR	ADAR	-0.01366666666666666	0.9303111002092587	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	BST2	BST2	-0.2317666666666667	0.7386073133907819	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	CMPK2	CMPK2	NA	NA	NA	NA	not assayed or below expression filter
GSE22493	SKOV-3 KD	IFN_ISG	CXCL10	CXCL10	3.0254000000000003	0.5443606928672836	0.9994726191160785	2.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	CXCL11	CXCL11	0.3254000000000001	0.8866066345138316	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	CXCL9	CXCL9	-0.1361	NA	NA	1.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	DDX58	DDX58	-1.4477	0.3226683632943625	0.9994726191160785	2.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	DHX58	DHX58	NA	NA	NA	NA	not assayed or below expression filter
GSE22493	SKOV-3 KD	IFN_ISG	EIF2AK2	EIF2AK2	NA	NA	NA	NA	not assayed or below expression filter
GSE22493	SKOV-3 KD	IFN_ISG	IFI27	IFI27	-0.7079333333333332	0.7289076553654441	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	IFI35	IFI35	-0.8766666666666666	0.2566021557426457	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	IFI44	IFI44	-1.6792500000000001	0.12015213973749184	0.9994726191160785	2.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	IFI44L	IFI44L	NA	NA	NA	NA	not assayed or below expression filter
GSE22493	SKOV-3 KD	IFN_ISG	IFI6	IFI6	NA	NA	NA	NA	not assayed or below expression filter
GSE22493	SKOV-3 KD	IFN_ISG	IFIH1	IFIH1	-0.9291333333333333	0.06066206343924877	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
