set	set_class	left_out	left_out_logFC	left_out_FDR	mean_without	delta_vs_full
HALLMARK_P53_PATHWAY	damage_signal	Ddb2	-0.290923803	0.519826358	0.013612984204678363	0.0017705627163062659
HALLMARK_P53_PATHWAY	damage_signal	Ddit3	0.137785144	1.0	0.011105914339181287	-0.0007365071491908098
HALLMARK_P53_PATHWAY	damage_signal	Ddit4	-0.02432705	1.0	0.012053938865497075	0.00021151737712497842
HALLMARK_P53_PATHWAY	damage_signal	Def6	0.388178589	0.440684797	0.009641625187134503	-0.0022007963012375936
HALLMARK_P53_PATHWAY	damage_signal	Dgka	-0.203485469	0.796754919	0.013101648918128655	0.0012592274297565584
HALLMARK_P53_PATHWAY	damage_signal	Dnttip2	-0.083592407	1.0	0.012400519900584795	0.0005580984122126979
HALLMARK_P53_PATHWAY	damage_signal	Dram1	0.097819955	1.0	0.011339628894736845	-0.0005027925936352522
HALLMARK_P53_PATHWAY	damage_signal	Ei24	0.110269748	1.0	0.011266823087719301	-0.0005755984006527957
HALLMARK_P53_PATHWAY	damage_signal	Epha2	0.176719185	0.864466962	0.010878229888888893	-0.0009641915994832041
HALLMARK_P53_PATHWAY	damage_signal	Ephx1	-0.143607691	0.957267854	0.012751486473684214	0.0009090649853121177
HALLMARK_P53_PATHWAY	damage_signal	Eps8l2	-0.234607837	0.699457586	0.013283651070175442	0.0014412295818033456
HALLMARK_P53_PATHWAY	damage_signal	Ercc5	-0.114097081	1.0	0.012578909807017546	0.000736488318645449
HALLMARK_P53_PATHWAY	damage_signal	F2r	-0.353508465	0.181885248	0.013978976380116963	0.002136554891744866
HALLMARK_P53_PATHWAY	damage_signal	Fam162a	0.221585229	0.858861862	0.010615855362573104	-0.0012265661257989929
HALLMARK_P53_PATHWAY	damage_signal	Fbxw7	0.07773975	1.0	0.011457056994152047	-0.00038536449422004945
HALLMARK_P53_PATHWAY	damage_signal	Fdxr	-0.192003167	1.0	0.013034500953216377	0.0011920794648442798
HALLMARK_P53_PATHWAY	damage_signal	Fgf13	1.176497655	0.276462553	0.005031572169590648	-0.006810849318781449
HALLMARK_P53_PATHWAY	damage_signal	Fos	-2.015025079	0.001212252	0.023695447807017548	0.011853026318645451
HALLMARK_P53_PATHWAY	damage_signal	Foxo3	0.552666885	0.013952911	0.008679705327485384	-0.003162716160886713
HALLMARK_P53_PATHWAY	damage_signal	Fuca1	-0.018023983	1.0	0.012017078824561407	0.0001746573361893107
HALLMARK_P53_PATHWAY	damage_signal	Gadd45a	0.0	1.0	0.011911675415204681	6.925392683258466e-05
HALLMARK_P53_PATHWAY	damage_signal	Gls2	0.697971463	0.95887765	0.007829970953216378	-0.004012450535155719
HALLMARK_P53_PATHWAY	damage_signal	Gm2a	-0.134459425	1.0	0.012697987842105265	0.0008555663537331681
HALLMARK_P53_PATHWAY	damage_signal	Gpx2	-0.215241262	0.928371891	0.013170396245614037	0.0013279747572419402
HALLMARK_P53_PATHWAY	damage_signal	Hbegf	-0.407261731	0.27049947	0.014293322964912283	0.002450901476540186
HALLMARK_P53_PATHWAY	damage_signal	Hdac3	-0.163612469	0.96216347	0.01286847347953217	0.0010260519911600725
HALLMARK_P53_PATHWAY	damage_signal	Hexim1	0.344205501	0.247202269	0.009898777748538016	-0.0019436437398340813
HALLMARK_P53_PATHWAY	damage_signal	Hint1	0.059146145	1.0	0.011565791526315792	-0.00027662996205630487
HALLMARK_P53_PATHWAY	damage_signal	Hmox1	0.347756096	0.298205218	0.009878014035087722	-0.001964407453284375
HALLMARK_P53_PATHWAY	damage_signal	Hspa4l	0.254605639	0.530028858	0.010422753549707606	-0.001419667938664491
HALLMARK_P53_PATHWAY	damage_signal	Ier3	-0.582417276	0.107862735	0.015317624397660821	0.0034752029092887243
HALLMARK_P53_PATHWAY	damage_signal	Ier5	0.460475057	0.044302158	0.009218838824561405	-0.0026235826638106915
HALLMARK_P53_PATHWAY	damage_signal	Il1a	0.08374467	1.0	0.011421940502923979	-0.00042048098544811806
HALLMARK_P53_PATHWAY	damage_signal	Inhbb	0.1385811	1.0	0.011101259625730995	-0.0007411618626411015
HALLMARK_P53_PATHWAY	damage_signal	Ip6k2	-0.17767965	0.861008345	0.012950737695906434	0.0011083162075343368
HALLMARK_P53_PATHWAY	damage_signal	Irak1	0.110899069	1.0	0.011263142847953218	-0.0005792786404188784
HALLMARK_P53_PATHWAY	damage_signal	Iscu	-0.026266659	1.0	0.012065281608187137	0.0002228601198150399
HALLMARK_P53_PATHWAY	damage_signal	Itgb4	-0.326974776	0.54919015	0.013823808608187136	0.0019813871198150392
HALLMARK_P53_PATHWAY	damage_signal	Jag2	0.276880851	0.601685428	0.010292489152046787	-0.00154993233632531
HALLMARK_P53_PATHWAY	damage_signal	Jun	-0.07441957	1.0	0.012346877578947374	0.0005044560905752768
HALLMARK_P53_PATHWAY	damage_signal	Kif13b	0.051746922	1.0	0.011609061836257314	-0.000233359652114783
HALLMARK_P53_PATHWAY	damage_signal	Klf4	0.015849737	1.0	0.011818986894736847	-2.3434593635249593e-05
HALLMARK_P53_PATHWAY	damage_signal	Klk8	0.256410684	0.961535074	0.010412197730994156	-0.0014302237573779412
HALLMARK_P53_PATHWAY	damage_signal	Ldhb	-0.182972916	0.834027039	0.01298169246783626	0.0011392709794641638
HALLMARK_P53_PATHWAY	damage_signal	Lif	-0.482107742	0.466024078	0.014731018935672519	0.002888597447300422
HALLMARK_P53_PATHWAY	damage_signal	Mapkapk3	0.019027813	1.0	0.011800401654970764	-4.20198334013331e-05
HALLMARK_P53_PATHWAY	damage_signal	Mdm2	-0.261637393	0.452300509	0.013441718649122811	0.0015992971607507143
HALLMARK_P53_PATHWAY	damage_signal	Mknk2	-0.010924388	1.0	0.011975560725146205	0.00013313923677410813
HALLMARK_P53_PATHWAY	damage_signal	Mxd1	0.262434657	0.469842565	0.01037696981871346	-0.0014654516696586371
HALLMARK_P53_PATHWAY	damage_signal	Mxd4	0.390782206	0.132717157	0.009626399356725154	-0.002216022131646943
HALLMARK_P53_PATHWAY	damage_signal	Ndrg1	-0.32352724	0.306906223	0.013803647578947377	0.00196122609057528
HALLMARK_P53_PATHWAY	damage_signal	Ninj1	0.046016766	1.0	0.011642571520467845	-0.00019984996790425175
HALLMARK_P53_PATHWAY	damage_signal	Nol8	-0.272096256	0.793156739	0.013502881590643286	0.0016604601022711888
HALLMARK_P53_PATHWAY	damage_signal	Notch1	0.320134813	0.311780199	0.010039542005847961	-0.0018028794825241355
HALLMARK_P53_PATHWAY	damage_signal	Nudt15	0.407657969	1.0	0.009527710684210532	-0.002314710804161565
HALLMARK_P53_PATHWAY	damage_signal	Nupr1	0.371490515	0.140357484	0.0097392162631579	-0.0021032052252141966
HALLMARK_P53_PATHWAY	damage_signal	Osgin1	-0.046438539	1.0	0.012183245818713457	0.00034082433034136016
HALLMARK_P53_PATHWAY	damage_signal	Pcna	0.126669718	1.0	0.011170916830409362	-0.0006715046579627345
HALLMARK_P53_PATHWAY	damage_signal	Pdgfa	-0.250416429	0.635082294	0.013376098976608193	0.0015336774882360963
HALLMARK_P53_PATHWAY	damage_signal	Perp	-0.083088967	1.0	0.012397575807017554	0.0005551543186454577
HALLMARK_P53_PATHWAY	damage_signal	Phlda3	0.655231207	0.067648971	0.008079913970760235	-0.0037625075176118614
