subset	eligible	method	alpha	size	purity	endpoint	meta_rho	meta_p	meta_i2	meta_model	meta_n	meta_k	meta_ci_low	meta_ci_high	geo_rho	geo_p	geo_i2	geo_model	geo_n	abs_meta	abs_geo
all	True	z-mean	0.25	17	none	ImmuneScore	-0.38779105257427143	0.0001469240824444155	0.7435972748533654	DL random	420	4	-0.5514509860635345	-0.19538609687061004	-0.2895085173134336	0.00016346379947516416	0.21759345768592128	DL random	251	0.38779105257427143	0.2895085173134336
all	True	z-mean	0.25	18	none	CD8A	-0.3569634386567486	1.9306811472795485e-05	0.6104515134164787	DL random	420	4	-0.4965262453271839	-0.1994099494689185	-0.26615531864484526	2.2099433736091076e-05	0.0	fixed	251	0.3569634386567486	0.26615531864484526
all	True	z-mean	0.25	18	none	ImmuneScore	-0.4003490289261637	0.00012036937380083058	0.755226651269692	DL random	420	4	-0.5650409670145835	-0.20497599223793034	-0.3263953540265642	0.0011377040637632861	0.495120711325288	DL random	251	0.4003490289261637	0.3263953540265642
all	True	z-mean	0.25	19	none	CD8A	-0.34667205273942125	2.0266640196879378e-05	0.5876418226685397	DL random	420	4	-0.48383053027073336	-0.19289173282219851	-0.2568649044483285	4.362078732428865e-05	0.0	fixed	251	0.34667205273942125	0.2568649044483285
all	True	z-mean	0.25	19	none	ImmuneScore	-0.39025628185688344	0.00017704116397215705	0.753515543437417	DL random	420	4	-0.5563334342152001	-0.19419923960574237	-0.31379915441769685	0.0013760678763130104	0.4720116825532384	DL random	251	0.39025628185688344	0.31379915441769685
all	True	z-mean	0.25	20	none	CD8A	-0.341052470106277	1.169779249070019e-05	0.5499605260388888	DL random	420	4	-0.47317325467170046	-0.19392751170265898	-0.2548826649375168	5.025939316506462e-05	0.0	fixed	251	0.341052470106277	0.2548826649375168
all	True	z-mean	0.25	20	none	ImmuneScore	-0.38560126989647653	0.00014276903872505788	0.7393020226947978	DL random	420	4	-0.5484538911326069	-0.19456551493290597	-0.31603943653855626	0.0017395895717794265	0.4984553258648051	DL random	251	0.38560126989647653	0.31603943653855626
all	True	z-mean	0.25	21	none	CD8A	-0.3531876262451634	4.120698265815231e-06	0.5402457262462405	DL random	420	4	-0.4824412050562919	-0.208880862305541	-0.2688018726941512	1.8118932494743828e-05	0.0	fixed	251	0.3531876262451634	0.2688018726941512
all	True	z-mean	0.25	21	none	ImmuneScore	-0.39822219592918334	6.791239881558219e-05	0.733818063692893	DL random	420	4	-0.5573209869402379	-0.2109160771079533	-0.3248996565210081	0.0006869251467781904	0.45164956634229037	DL random	251	0.39822219592918334	0.3248996565210081
all	True	z-mean	0.25	22	none	CD8A	-0.35152475759847995	2.9965041463414e-06	0.5232555013378326	DL random	420	4	-0.478665109568513	-0.20994486062488052	-0.26820956473991175	1.8946013349627347e-05	0.0	fixed	251	0.35152475759847995	0.26820956473991175
