gene	logFC	t	se	p	df	stat_low_vs_high
ZNF28	0.26399326377990157	1.3728020264678595	0.19230250151883954	0.18033754262025092	29	-1.3728020264678595
TOLLIP	0.24989302856845283	1.3729545193009374	0.18201114826126216	0.18029063477397303	29	-1.3729545193009374
DGCR9	0.4411229416843449	1.3730342273134934	0.32127599801168466	0.18026611983603272	29	-1.3730342273134934
KCNJ12	0.592247124934002	1.373072084857342	0.4313299581758919	0.18025447731036093	29	-1.373072084857342
ERAL1	0.23667231718453594	1.373457840025353	0.17231858910220874	0.18013587754343718	29	-1.373457840025353
CCDC137	0.21866342887007859	1.373474334780132	0.1592045976636925	0.18013080761971778	29	-1.373474334780132
POLE	0.29501758268912026	1.3737104014752097	0.21475966286074905	0.1800582610108769	29	-1.3737104014752097
BBS2	0.24377485036315272	1.3738328524000671	0.1774414186829798	0.1800206391222177	29	-1.3738328524000671
ZNHIT2	0.3507034777730997	1.3745985864632233	0.2551315571154798	0.17978551395365244	29	-1.3745985864632233
GNPTG	0.3012765549620925	1.3748905397708213	0.21912766598300393	0.1796959304694274	29	-1.3748905397708213
MROH8	0.5711077825049519	1.3751701630782855	0.4152997191464224	0.1796101630801489	29	-1.3751701630782855
CCNI	0.25488844309078923	1.3768107630408117	0.18512961253138735	0.1791075953755752	29	-1.3768107630408117
SETD9	0.39315136172569015	1.3768726874767447	0.2855393714332288	0.1790886475329817	29	-1.3768726874767447
ABHD14A	0.3698093494223273	1.3769416289466523	0.26857300385727173	0.17906755444057298	29	-1.3769416289466523
ZNF84	0.2918716702089087	1.3770559140620162	0.21195339072903044	0.1790325924467757	29	-1.3770559140620162
RIMS2	0.8021061523163274	1.3773345978624183	0.5823611441701761	0.17894736015923424	29	-1.3773345978624183
ZNF532	0.4512998223562692	1.3778035618208477	0.32755019282999254	0.17880400452536846	29	-1.3778035618208477
DIRAS3	0.5862280300820922	1.378001515340186	0.42541900248735987	0.17874351992719764	29	-1.378001515340186
BRD4	0.2391439767744682	1.3781795031332669	0.17352164665834788	0.17868914952185713	29	-1.3781795031332669
ZNF684	0.2565137310203771	1.3785921477436422	0.18606933997137304	0.17856314767431428	29	-1.3785921477436422
MEG8	0.4843035600179071	1.3787771254149148	0.3512558709386521	0.17850668696125163	29	-1.3787771254149148
HNRNPK	0.13369319566304064	1.3789760464058671	0.09695106453190079	0.17844598592879876	29	-1.3789760464058671
UGGT1	0.21140225871550417	1.3794195464783605	0.1532545042262242	0.17831070941585342	29	-1.3794195464783605
ZNF385A	0.5206339137314777	1.3795426425646267	0.3773960279789524	0.17827317685506888	29	-1.3795426425646267
IGLV2-23	0.5316341003806297	1.3795874914220188	0.38535729244155764	0.17825950377065564	29	-1.3795874914220188
ZNF595	0.43110101017058694	1.3798801244653285	0.31241917506249217	0.17817030880805157	29	-1.3798801244653285
CDK5R1	0.5295460707482463	1.3798994356043721	0.3837570022023484	0.1781644239753418	29	-1.3798994356043721
C2CD4B	0.8637670859586148	1.3802670582155427	0.6257970737020435	0.1780524245246151	29	-1.3802670582155427
PLEKHH2	0.5863132685181706	1.38091626558018	0.4245827811086258	0.1778547725000547	29	-1.38091626558018
EWSAT1	0.1804944660866489	1.3809188702460444	0.13070606099726148	0.17785397985246806	29	-1.3809188702460444
PEX1	0.2767676562093513	1.3812049456834186	0.2003813098659352	0.17776693869307664	29	-1.3812049456834186
