dataset,gene_a,gene_b,n,spearman_rho,p_value,fdr,bg_percentile,ci_low,ci_high
GTEx-lung,COL1A1,SCGB1A1,655,-0.19550872848363698,4.5868502327409185e-07,8.066529719647822e-07,15.602124084963398,-0.2723701236923274,-0.11616804951623808
GTEx-lung,PECAM1,SCGB1A1,655,-0.04907188113635516,0.20975045294728786,0.23771718000692624,34.51688067522701,-0.1297395459538863,0.032241094738594094
GTEx-lung,KRT5,SCGB3A2,655,0.197466746689252,3.499370037562989e-07,6.29886606761338e-07,73.4334373374935,0.11817673562652946,0.27425463467011574
GTEx-lung,SCGB3A2,TP63,655,0.36232157109652197,9.455935232681274e-22,3.1451262839135546e-21,89.65408616344654,0.2896572817837795,0.4308331843740297
GTEx-lung,FOXJ1,SCGB3A2,655,0.5276062012535851,3.238535552958751e-48,1.8351701466766259e-47,97.33389335573422,0.466399160759134,0.5837851916365178
GTEx-lung,MUC5B,SCGB3A2,655,0.36177962725443313,1.0974347551304568e-21,3.572500373084253e-21,89.61958478339133,0.2890858090850458,0.43032511845449084
GTEx-lung,PTPRC,SCGB3A2,655,,,,,,
GTEx-lung,COL1A1,SCGB3A2,655,-0.20203229581328416,1.8421880788613186e-07,3.437253366655875e-07,14.953098123924956,-0.27864649591780305,-0.12286294999648019
GTEx-lung,PECAM1,SCGB3A2,655,-0.10626094171101676,0.006487857737404813,0.00886287708770479,26.102544101764067,-0.18584225927442158,-0.02529462064929127
GTEx-lung,KRT5,TP63,655,0.501512572480078,5.162892618647886e-43,2.7238709332866436e-42,96.56386255450218,0.43816808231856963,0.5599007109798538
GTEx-lung,FOXJ1,KRT5,655,0.3835972332808179,2.1733381479008655e-24,8.31301841572081e-24,91.04564182567303,0.3121332046813384,0.4507446033059817
GTEx-lung,KRT5,MUC5B,655,0.4165566939726053,7.046790662254556e-29,2.9948860314581863e-28,92.96871874874995,0.34711073977406826,0.48145925544754176
GTEx-lung,KRT5,PTPRC,655,,,,,,
GTEx-lung,COL1A1,KRT5,655,0.03783253550952404,0.33367224918704463,0.3646561008972702,49.079463178527135,-0.043485558055659616,0.11865263512643692
GTEx-lung,KRT5,PECAM1,655,-0.13923927713121037,0.00035134799326706756,0.000559960864269389,21.780871234849393,-0.2179599724546094,-0.05871850423596309
GTEx-lung,FOXJ1,TP63,655,0.5941445297311241,9.501090350818154e-64,6.922222969881797e-63,98.70144805792232,0.5389567639751953,0.6442532816136439
GTEx-lung,MUC5B,TP63,655,0.4688838465654539,4.137225380600633e-37,2.109984944106323e-36,95.3688147525901,0.4030415410466771,0.5298972481105901
GTEx-lung,PTPRC,TP63,655,,,,,,
GTEx-lung,COL1A1,TP63,655,-0.08159056140595033,0.0368305310074492,0.04618910855852236,29.606684267370696,-0.1617039830668197,-0.0004087375415059527
GTEx-lung,PECAM1,TP63,655,-0.17026373653731705,1.1799453973964113e-05,1.962300497844032e-05,18.211228449137966,-0.2480199423277969,-0.0903277865093958
GTEx-lung,FOXJ1,MUC5B,655,0.6510429963537399,3.1113911624108676e-80,3.173618985659085e-79,99.37797511900476,0.6016589188928428,0.6954687887432679
GTEx-lung,FOXJ1,PTPRC,655,,,,,,
GTEx-lung,COL1A1,FOXJ1,655,-0.120535873182835,0.0019998656893807525,0.002970674276458788,24.166466658666348,-0.1997655688672541,-0.03974022576066362
GTEx-lung,FOXJ1,PECAM1,655,-0.1187143764856242,0.0023406285869655413,0.0034078203708767735,24.40097603904156,-0.19799071857481332,-0.0378950691874189
GTEx-lung,MUC5B,PTPRC,655,,,,,,
GTEx-lung,COL1A1,MUC5B,655,-0.004023156900386123,0.9181468880591258,0.9241873281121463,41.92417696707869,-0.08517986691104164,0.07718658493345897
GTEx-lung,MUC5B,PECAM1,655,-0.1967799542526973,3.848999215124044e-07,6.847638138534637e-07,15.481119244769792,-0.27359369269861983,-0.11747209707394593
GTEx-lung,COL1A1,PTPRC,655,,,,,,
GTEx-lung,PECAM1,PTPRC,655,,,,,,
GTEx-lung,COL1A1,PECAM1,655,-0.3655344598201123,3.888082221014302e-22,1.3519922268527004e-21,4.459678387135486,-0.4338443377056198,-0.29304629530158144
TCGA-LUAD,ELF3,GRHL1,601,0.28516083382623647,1.0430522708586982e-12,3.6269772145768372e-12,90.92463698547942,0.20537032571753697,0.3611855188731867
TCGA-LUAD,ELF3,KLF4,601,-0.04674595496984539,0.2525278690923537,0.2905019847453392,32.7043081723269,-0.1309810258622132,0.03815923388906717
TCGA-LUAD,ELF3,TFAP2A,601,0.22893466592224482,1.3766062963755645e-08,3.510346055757689e-08,85.29991199647986,0.14703357189752575,0.3077179795066885
TCGA-LUAD,ELF3,TACSTD2,601,0.37622931879868,1.205553592789866e-21,6.5874892748874824e-21,96.24684987399496,0.3010756964729239,0.44673820906805
TCGA-LUAD,CLDN4,ELF3,601,0.5672288710399612,1.816739553445266e-52,5.559223033542514e-51,99.63898555942238,0.5068412158461377,0.6220765947423317
TCGA-LUAD,ELF3,NKX2-1,601,0.20109816971713812,6.67512223868613e-07,1.4801358007521418e-06,81.74526981079244,0.11836150289730807,0.2810617930658336
TCGA-LUAD,ELF3,EPCAM,601,0.37752765324680354,8.538055573342747e-22,4.838231491560889e-21,96.29185167406696,0.3024511720694223,0.447948654278129
TCGA-LUAD,ELF3,SFTPC,601,-0.0650752077804325,0.11100175820770622,0.13920712299818894,29.02916116644666,-0.149007380307628,0.0197879358203535
