gene	cytoband	mean_log2_cldn4_high	mean_log2_cldn4_low	sd_log2_cldn4_high	sd_log2_cldn4_low	log2_ratio_high_over_low	p_value	q_value	higher_expression_in
WASH2P	2q14.1	8	8.04	0.74	0.71	-0.04	0.63	0.813	CLDN4 Low
FRMD8	11q13.1	10.19	10.22	0.6	0.62	-0.03	0.63	0.813	CLDN4 Low
LINC02381	12q13.13	8.87	8.79	1.48	1.6	0.08	0.63	0.813	CLDN4 High
CBLN2	18q22.3	1.5	1.6	1.72	1.9	-0.1	0.63	0.813	CLDN4 Low
GPSM2	1p13.3	9.01	9.05	0.79	0.75	-0.04	0.63	0.813	CLDN4 Low
XRRA1	11q13.4	8.72	8.76	0.72	0.72	-0.04	0.63	0.813	CLDN4 Low
C2ORF66	2q33.1	1.69	1.61	1.32	1.35	0.07	0.631	0.813	CLDN4 High
MAP3K5	6q23.3	7.85	7.89	0.83	0.87	-0.05	0.631	0.813	CLDN4 Low
SLC10A6	4q21.3	0.7	0.74	0.72	0.79	-0.04	0.631	0.813	CLDN4 Low
GK2	4q21.21	0.01	0.02	0.09	0.14	-0.01	0.631	0.813	CLDN4 Low
ULBP3	6q25.1	5.22	5.28	1.11	1.01	-0.06	0.631	0.813	CLDN4 Low
OTOAP1	16p12.2	1.47	1.52	0.87	0.95	-0.05	0.631	0.813	CLDN4 Low
COMMD8	4p12	8.22	8.26	0.7	0.63	-0.04	0.631	0.813	CLDN4 Low
OPTN	10p13	11.03	11.07	0.7	0.84	-0.04	0.631	0.813	CLDN4 Low
TMEM51	1p36.21	8.88	8.84	0.64	0.69	0.04	0.631	0.813	CLDN4 High
DOCK3	3p21.2	6.13	6.04	1.48	1.66	0.09	0.631	0.813	CLDN4 High
SLA2	20q11.23	4.56	4.64	1.45	1.49	-0.08	0.631	0.813	CLDN4 Low
STK26	Xq26.2	8.17	8.12	0.96	1.06	0.06	0.631	0.813	CLDN4 High
GINM1	6q25.1	9.07	9.09	0.49	0.53	-0.03	0.631	0.813	CLDN4 Low
SELENOP	5p12	12.52	12.58	1.02	1.1	-0.06	0.632	0.813	CLDN4 Low
RFNG	17q25.3	10.24	10.21	0.56	0.49	0.03	0.632	0.813	CLDN4 High
CAVIN3	11p15.4	9.1	9.04	1.07	1.05	0.06	0.632	0.813	CLDN4 High
SRSF3	6p21.31-p21.2	12.25	12.27	0.35	0.34	-0.02	0.632	0.813	CLDN4 Low
HIKESHI	11q14.2	9.29	9.26	0.71	0.59	0.04	0.632	0.813	CLDN4 High
SHANK2	11q13.3-q13.4	8.01	8.09	1.67	1.51	-0.09	0.632	0.813	CLDN4 Low
N6AMT1	21q21.3	7.69	7.72	0.65	0.61	-0.03	0.632	0.813	CLDN4 Low
RTCB	22q12.3	10.34	10.31	0.58	0.45	0.03	0.632	0.813	CLDN4 High
MFSD2B	2p23.3	2.05	2	0.82	0.84	0.05	0.632	0.813	CLDN4 High
PPP2CA	5q31.1	11.46	11.48	0.51	0.42	-0.03	0.632	0.813	CLDN4 Low
OR1F1	16p13.3	0.8	0.86	1.21	1.29	-0.07	0.632	0.814	CLDN4 Low
GMPR	6p22.3	9.95	9.88	1.18	1.36	0.07	0.632	0.814	CLDN4 High
EFCAB8	20q11.21	1.51	1.43	1.49	1.35	0.08	0.632	0.814	CLDN4 High
IKBKG	Xq28	8.71	8.68	0.54	0.52	0.03	0.632	0.814	CLDN4 High
RARA	17q21.2	10.41	10.45	0.58	0.61	-0.03	0.632	0.814	CLDN4 Low
AKIRIN2	6q15	10.34	10.37	0.5	0.64	-0.03	0.633	0.814	CLDN4 Low
GLI3	7p14.1	8.78	8.85	1.16	1.45	-0.07	0.633	0.814	CLDN4 Low
PMPCA	9q34.3	9.95	9.92	0.54	0.49	0.03	0.633	0.815	CLDN4 High
C20ORF96	20p13	9.07	9.02	0.93	0.9	0.05	0.633	0.815	CLDN4 High
NT5DC1	6q22.1	8.71	8.74	0.61	0.57	-0.03	0.633	0.815	CLDN4 Low
MSGN1	2p24.2	0.03	0.02	0.15	0.13	0.01	0.634	0.815	CLDN4 High
ZNF540	19q13.13	5.83	5.91	1.48	1.42	-0.08	0.634	0.815	CLDN4 Low
TAFA4	3p14.1	1.19	1.27	1.33	1.44	-0.08	0.634	0.815	CLDN4 Low
CCDC158	4q21.1	1.63	1.69	1.09	1.21	-0.06	0.634	0.815	CLDN4 Low
KCNIP3	2q11.1	7.89	7.82	1.41	1.28	0.07	0.634	0.815	CLDN4 High
SDS	12q24.13	7.46	7.39	1.29	1.27	0.07	0.634	0.815	CLDN4 High
TCEA1	8q11.23	10.24	10.26	0.49	0.5	-0.03	0.634	0.815	CLDN4 Low
RRP7BP	22q13.2	7.01	7.06	0.84	0.87	-0.05	0.634	0.815	CLDN4 Low
TMEM217	6p21.2	5	4.95	0.85	0.8	0.04	0.634	0.815	CLDN4 High
SNORA61	1p35.3	0.31	0.28	0.48	0.47	0.03	0.634	0.815	CLDN4 High
ANP32D	12q13.11	0.09	0.1	0.23	0.23	-0.01	0.634	0.815	CLDN4 Low
FBRSL1	12q24.33	10.76	10.79	0.75	0.61	-0.04	0.634	0.815	CLDN4 Low
SH3GLB1	1p22.3	10.7	10.73	0.43	0.45	-0.02	0.634	0.815	CLDN4 Low
KRT6C	12q13.13	2.28	2.18	1.62	2.02	0.1	0.634	0.815	CLDN4 High
CLN6	15q23	9.84	9.87	0.59	0.65	-0.03	0.634	0.815	CLDN4 Low
CCL5	17q12	8.45	8.35	1.75	1.82	0.1	0.635	0.815	CLDN4 High
ARL6IP1	16p12.3	12.51	12.55	0.61	0.6	-0.03	0.635	0.815	CLDN4 Low
SPX	12p12.1	2.85	2.97	2.21	2.1	-0.12	0.635	0.815	CLDN4 Low
SLC29A1	6p21.1	10.44	10.4	0.83	0.76	0.04	0.635	0.815	CLDN4 High
CES1	16q12.2	4.17	4.05	2.37	2.31	0.13	0.635	0.815	CLDN4 High
PELI2	14q22.3	9.18	9.12	1.05	1.15	0.06	0.635	0.815	CLDN4 High
RPH3AL	17p13.3	6.72	6.8	1.54	1.54	-0.08	0.635	0.815	CLDN4 Low
COX16	14q24.2	9.7	9.67	0.59	0.64	0.03	0.635	0.815	CLDN4 High
PLBD1	12p13.1	8.77	8.83	1.13	1.21	-0.06	0.635	0.815	CLDN4 Low
FABP3	1p35.2	7.56	7.48	1.41	1.5	0.08	0.635	0.815	CLDN4 High
TEX47	7q21.13	0.04	0.03	0.16	0.11	0.01	0.635	0.816	CLDN4 High
CFH	1q31.3	9.59	9.51	1.4	1.36	0.07	0.635	0.816	CLDN4 High
KCTD18	2q33.1	8.7	8.72	0.44	0.44	-0.02	0.635	0.816	CLDN4 Low
INPP5K	17p13.3	9.25	9.21	0.7	0.71	0.04	0.635	0.816	CLDN4 High
URI1	19q12	11.14	11.1	0.83	0.78	0.04	0.635	0.816	CLDN4 High
SPACA4	19q13.33	2.27	2.21	1.18	1.19	0.06	0.635	0.816	CLDN4 High
GRIK5	19q13.2	8.34	8.46	2.44	2.21	-0.13	0.635	0.816	CLDN4 Low
BNIP1	5q35.1	7.29	7.26	0.67	0.54	0.03	0.636	0.816	CLDN4 High
POTEG	14q11.2	0.72	0.78	1.01	1.17	-0.06	0.636	0.816	CLDN4 Low
OR5B3	11q12.1	0.01	0	0.06	0.04	0	0.636	0.816	CLDN4 High
ART3	4q21.1	0.87	0.92	0.84	0.97	-0.05	0.636	0.816	CLDN4 Low
HIGD2B	15q24.1	0.52	0.56	0.61	0.54	-0.03	0.636	0.816	CLDN4 Low
MEX3C	18q21.2	9.91	9.94	0.54	0.63	-0.03	0.636	0.816	CLDN4 Low
FAM43A	3q29	9.44	9.52	1.43	1.32	-0.07	0.636	0.816	CLDN4 Low
CFAP46	10q26.3	4.13	4.22	1.74	1.68	-0.09	0.636	0.816	CLDN4 Low
CRYBB3	22q11.23	2.05	1.98	1.29	1.32	0.07	0.636	0.816	CLDN4 High
FOXR2	Xp11.21	0.17	0.13	0.79	0.7	0.04	0.636	0.816	CLDN4 High
TMEM230	20p13-p12.3	11.63	11.6	0.55	0.53	0.03	0.636	0.816	CLDN4 High
PTPRE	10q26.2	7.96	8.01	0.71	0.84	-0.04	0.636	0.816	CLDN4 Low
AICDA	12p13.31	0.45	0.48	0.59	0.6	-0.03	0.636	0.816	CLDN4 Low
SMOC2	6q27	8.93	8.86	1.26	1.41	0.07	0.636	0.816	CLDN4 High
EPB41L4A-AS1	5q22.1	8.31	8.26	1.05	1.03	0.06	0.636	0.816	CLDN4 High
TRIM13	13q14.2	9.1	9.12	0.51	0.51	-0.03	0.636	0.816	CLDN4 Low
TAS2R40	7q34	0.22	0.24	0.4	0.36	-0.02	0.636	0.816	CLDN4 Low
POLRMT	19p13.3	9.55	9.51	0.57	0.56	0.03	0.636	0.816	CLDN4 High
FGFBP3	10q23.32	5.5	5.55	0.9	0.99	-0.05	0.637	0.816	CLDN4 Low
CACTIN	19p13.3	9.09	9.07	0.46	0.39	0.02	0.637	0.816	CLDN4 High
LINC00471	2q37.1	3.41	3.36	0.99	1.07	0.06	0.637	0.816	CLDN4 High
TCERG1L	10q26.3	2.05	1.95	1.79	1.96	0.1	0.637	0.816	CLDN4 High
MIR1915HG	10p12.31	7.23	7.13	1.83	1.91	0.1	0.637	0.816	CLDN4 High
MICU3	8p22	5.38	5.44	1.23	1.16	-0.06	0.637	0.816	CLDN4 Low
GLYCTK	3p21.2	6.23	6.29	1	1	-0.05	0.637	0.816	CLDN4 Low
C9ORF85	9q21.13	7.02	7.05	0.54	0.53	-0.03	0.637	0.816	CLDN4 Low
CERKL	2q31.3	5.21	5.16	1.06	1.04	0.06	0.637	0.816	CLDN4 High
TMEM242	6q25.3	8.18	8.15	0.49	0.58	0.03	0.637	0.816	CLDN4 High
CYCSP52	1q23.1	0.38	0.41	0.45	0.47	-0.02	0.637	0.816	CLDN4 Low
ATG16L1	2q37.1	9.21	9.19	0.47	0.46	0.03	0.637	0.816	CLDN4 High
BCAN	1q23.1	3.66	3.56	1.73	2.08	0.1	0.637	0.816	CLDN4 High
CCL15-CCL14	17q12	0.11	0.08	0.61	0.53	0.03	0.637	0.816	CLDN4 High
CD70	19p13.3	3.21	3.11	1.91	1.6	0.1	0.637	0.816	CLDN4 High
ALG1L2	3q22.1	1.68	1.6	1.54	1.43	0.08	0.637	0.816	CLDN4 High
UGT2B10	4q13.2	0.15	0.13	0.44	0.31	0.02	0.637	0.816	CLDN4 High
AXDND1	1q25.2	1.2	1.14	1.12	0.97	0.06	0.637	0.816	CLDN4 High
KLKP1	19q13.33	0.16	0.18	0.36	0.41	-0.02	0.637	0.816	CLDN4 Low
H2AB1	Xq28	2.39	2.32	1.53	1	0.07	0.637	0.816	CLDN4 High
STXBP1	9q34.11	10.02	10.06	0.77	0.61	-0.04	0.637	0.816	CLDN4 Low
B4GALNT4	11p15.5	9.36	9.43	1.3	1.19	-0.07	0.637	0.816	CLDN4 Low
CD68	17p13.1	10.89	10.95	1.16	1.15	-0.06	0.637	0.816	CLDN4 Low
MFN1	3q26.33	10.07	10.1	0.49	0.57	-0.03	0.637	0.816	CLDN4 Low
MYG1	12q13.13	9.96	9.93	0.58	0.52	0.03	0.638	0.816	CLDN4 High
TPD52L3	9p24.1	1.3	1.38	1.34	1.5	-0.08	0.638	0.816	CLDN4 Low
LIFR	5p13.1	9.21	9.26	0.88	0.91	-0.05	0.638	0.817	CLDN4 Low
KLK15	19q13.33	0.32	0.3	0.52	0.47	0.03	0.638	0.817	CLDN4 High
FNBP1	9q34.11	10.74	10.78	0.77	0.7	-0.04	0.638	0.817	CLDN4 Low
NKX3-2	4p15.33	3.63	3.74	2.18	2.11	-0.12	0.638	0.817	CLDN4 Low
PPEF2	4q21.1	0.3	0.32	0.46	0.48	-0.03	0.638	0.817	CLDN4 Low
EEF1AKMT2	10q26.13	8.3	8.33	0.6	0.55	-0.03	0.638	0.817	CLDN4 Low
CCT5	5p15.2	12.4	12.43	0.51	0.6	-0.03	0.638	0.817	CLDN4 Low
EXOSC8	13q13.3	8.39	8.35	0.63	0.61	0.03	0.639	0.817	CLDN4 High
RBP1	3q23	11.06	10.99	1.14	1.19	0.06	0.639	0.817	CLDN4 High
LPIN1	2p25.1	9.59	9.62	0.73	0.67	-0.04	0.639	0.817	CLDN4 Low
ANKRD54	22q13.1	8.55	8.52	0.55	0.61	0.03	0.639	0.817	CLDN4 High
D2HGDH	2q37.3	8.93	8.88	0.84	0.8	0.04	0.639	0.817	CLDN4 High
TEKT2	1p34.3	6.5	6.4	1.75	1.76	0.09	0.639	0.817	CLDN4 High
ARAP2	4p14	8.04	7.98	0.87	1.13	0.05	0.639	0.817	CLDN4 High
DAXX	6p21.32	10.46	10.48	0.46	0.46	-0.02	0.639	0.817	CLDN4 Low
TRA2A	7p15.3	9.99	9.96	0.49	0.47	0.03	0.639	0.817	CLDN4 High
RASL11A	13q12.2	7.24	7.16	1.57	1.43	0.08	0.639	0.817	CLDN4 High
SULT1C2	2q12.3	6.02	6.14	2.18	2.1	-0.11	0.639	0.817	CLDN4 Low
LAIR1	19q13.42	8.51	8.58	1.31	1.35	-0.07	0.639	0.817	CLDN4 Low
DARS1	2q21.3	11.23	11.21	0.41	0.49	0.02	0.639	0.817	CLDN4 High
KRT34	17q21.2	0.41	0.37	0.86	0.71	0.04	0.64	0.817	CLDN4 High
PBOV1	6q23.3	0.29	0.32	0.46	0.48	-0.03	0.64	0.817	CLDN4 Low
HMGN1	21q22.2	11.45	11.42	0.52	0.52	0.03	0.64	0.817	CLDN4 High
CRTAC1	10q24.2	8.25	8.39	2.58	2.51	-0.14	0.64	0.817	CLDN4 Low
DUSP29	10q22.2	0.2	0.22	0.47	0.48	-0.03	0.64	0.818	CLDN4 Low
OR7A17	19p13.12	0.01	0.01	0.14	0.05	0.01	0.64	0.818	CLDN4 High
HMGN5	Xq21.1	6.88	6.93	0.99	1.15	-0.06	0.64	0.818	CLDN4 Low
CIITA	16p13.13	9	9.08	1.61	1.58	-0.09	0.64	0.818	CLDN4 Low
MST1L	1p36.13	4.13	4.21	1.58	1.59	-0.08	0.641	0.818	CLDN4 Low
VCX3B	Xp22.31	0.77	0.82	1	1.05	-0.05	0.641	0.818	CLDN4 Low
TRIOBP	22q13.1	10.54	10.51	0.57	0.61	0.03	0.641	0.818	CLDN4 High
ABHD10	3q13.2	9.45	9.43	0.48	0.46	0.03	0.641	0.819	CLDN4 High
WBP4	13q14.11	7.93	7.9	0.59	0.51	0.03	0.641	0.819	CLDN4 High
ATXN3L	Xp22.2	0.01	0	0.06	0.05	0	0.641	0.819	CLDN4 High
COL11A2	6p21.32	5.37	5.27	1.89	1.75	0.1	0.641	0.819	CLDN4 High
TMEM145	19q13.2	1.94	2.01	1.42	1.41	-0.08	0.641	0.819	CLDN4 Low
SLC38A6	14q23.1	7.24	7.2	0.62	0.63	0.03	0.642	0.819	CLDN4 High
AK3	9p24.1	10.69	10.65	0.69	0.7	0.04	0.642	0.819	CLDN4 High
BAP1	3p21.1	10.86	10.88	0.47	0.52	-0.03	0.642	0.819	CLDN4 Low
GADL1	3p24.1-p23	0.37	0.41	0.86	0.73	-0.04	0.642	0.819	CLDN4 Low
OGFOD2	12q24.31	8.23	8.2	0.55	0.49	0.03	0.642	0.819	CLDN4 High
GPR142	17q25.1	0.4	0.44	0.81	0.72	-0.04	0.642	0.819	CLDN4 Low
ZCCHC13	Xq13.2	0.02	0.02	0.11	0.12	0.01	0.642	0.82	CLDN4 High
FZD10	12q24.33	8.02	8.11	1.79	1.86	-0.1	0.642	0.82	CLDN4 Low
PLEKHA3	2q31.2	9.02	9.04	0.42	0.44	-0.02	0.642	0.82	CLDN4 Low
ANKRD24	19p13.3	3.74	3.67	1.2	1.34	0.07	0.642	0.82	CLDN4 High
HCK	20q11.21	7.82	7.89	1.27	1.29	-0.07	0.642	0.82	CLDN4 Low
ZDHHC20	13q12.11	7.68	7.72	0.75	0.67	-0.04	0.642	0.82	CLDN4 Low
CGRRF1	14q22.2	7.63	7.66	0.54	0.62	-0.03	0.643	0.82	CLDN4 Low
RPS6KB2	11q13.2	10.31	10.28	0.55	0.53	0.03	0.643	0.82	CLDN4 High
TCFL5	20q13.33	8.89	8.85	0.65	0.57	0.03	0.643	0.82	CLDN4 High
TXNDC11	16p13.13	10.17	10.14	0.57	0.54	0.03	0.643	0.82	CLDN4 High
PHACTR4	1p35.3	11.08	11.11	0.61	0.63	-0.03	0.643	0.82	CLDN4 Low
OSMR	5p13.1	9.52	9.58	1.04	1.21	-0.06	0.643	0.82	CLDN4 Low
POTEC	18p11.21	0.85	0.92	1.27	1.3	-0.07	0.643	0.82	CLDN4 Low
GEMIN8	Xp22.2	8.47	8.43	0.69	0.74	0.04	0.643	0.82	CLDN4 High
SYT10	12p11.1	1.41	1.49	1.55	1.44	-0.08	0.643	0.82	CLDN4 Low
TMEM215	9p21.1	3.73	3.83	1.9	2.07	-0.1	0.643	0.82	CLDN4 Low
MAGEA3	Xq28	0.74	0.66	1.51	1.49	0.08	0.643	0.82	CLDN4 High
SEC22B	1p12	10.25	10.27	0.41	0.51	-0.02	0.643	0.82	CLDN4 Low
ACTR3BP2	2p11.1	0.01	0.01	0.05	0.07	0	0.643	0.82	CLDN4 Low
ALPK1	4q25	8.46	8.42	0.72	0.75	0.04	0.644	0.82	CLDN4 High
B3GNT6	11q13.5	0.36	0.32	0.79	0.63	0.04	0.644	0.82	CLDN4 High
EIF4A2	3q27.3	13.48	13.51	0.55	0.55	-0.03	0.644	0.82	CLDN4 Low
RNF2	1q25.3	9.58	9.56	0.51	0.53	0.03	0.644	0.82	CLDN4 High
MX2	21q22.3	10.19	10.25	1.3	1.2	-0.07	0.644	0.82	CLDN4 Low
PNKP	19q13.33	9.32	9.29	0.55	0.57	0.03	0.644	0.821	CLDN4 High
SPTSSA	14q13.1	10.11	10.14	0.57	0.65	-0.03	0.644	0.821	CLDN4 Low
ZMIZ2	7p13	11.74	11.71	0.57	0.63	0.03	0.644	0.821	CLDN4 High
WEE2	7q34	1.38	1.34	0.77	0.86	0.04	0.644	0.821	CLDN4 High
SC5D	11q23.3-q24.1	10.37	10.33	0.81	0.72	0.04	0.644	0.821	CLDN4 High
TMEM89	3p21.31	0.37	0.34	0.57	0.43	0.03	0.644	0.821	CLDN4 High
ZMYM5	13q12.11	7.59	7.62	0.6	0.51	-0.03	0.644	0.821	CLDN4 Low
IFNA8	9p21.3	0.05	0.06	0.21	0.19	-0.01	0.644	0.821	CLDN4 Low
SLC26A9	1q32.1	5.58	5.47	2.32	2.13	0.12	0.644	0.821	CLDN4 High
UPK1A	19q13.12	2.49	2.6	2.3	2.05	-0.11	0.645	0.821	CLDN4 Low
TECRL	4q13.1	0.36	0.42	0.97	1.09	-0.05	0.645	0.821	CLDN4 Low
CHST13	3q21.3	4.18	4.25	1.28	1.22	-0.07	0.645	0.821	CLDN4 Low
RGS21	1q31.2	0.02	0.03	0.15	0.19	-0.01	0.645	0.821	CLDN4 Low
HBM	16p13.3	0.21	0.24	0.5	0.65	-0.03	0.645	0.821	CLDN4 Low
ZNF585A	19q13.12	7.26	7.29	0.67	0.68	-0.04	0.645	0.821	CLDN4 Low
GNAI1	7q21.11	8.4	8.34	1	1.03	0.05	0.645	0.821	CLDN4 High
SLC25A40	7q21.12	7.5	7.53	0.59	0.58	-0.03	0.645	0.821	CLDN4 Low
CILP	15q22.31	8.03	8.13	1.73	2	-0.1	0.645	0.821	CLDN4 Low
C6	5p13.1	2.43	2.32	2.05	1.94	0.11	0.645	0.821	CLDN4 High
POT1	7q31.33	9.3	9.33	0.54	0.58	-0.03	0.645	0.821	CLDN4 Low
PDGFRL	8p22	8.15	8.21	1.29	1.16	-0.06	0.645	0.821	CLDN4 Low
KCNS3	2p24.2	6.86	6.79	1.5	1.28	0.07	0.645	0.821	CLDN4 High
RAMP1	2q37.3	7.15	7.23	1.43	1.59	-0.08	0.645	0.821	CLDN4 Low
ACRV1	11q24.2	2.09	2.14	1.07	0.98	-0.05	0.645	0.821	CLDN4 Low
ARL6IP6	2q23.3	9.47	9.44	0.59	0.6	0.03	0.646	0.822	CLDN4 High
DNAJB8	3q21.3	0.08	0.09	0.29	0.27	-0.01	0.646	0.822	CLDN4 Low
GRHL3	1p36.11	6.83	6.74	1.54	1.56	0.08	0.646	0.822	CLDN4 High
FCGR2A	1q23.3	9.57	9.63	1.25	1.19	-0.06	0.646	0.822	CLDN4 Low
TSPEAR	21q22.3	2.26	2.36	1.81	1.86	-0.1	0.646	0.822	CLDN4 Low
CTNNA1	5q31.2	12.79	12.81	0.54	0.48	-0.03	0.646	0.822	CLDN4 Low
PNLIPRP3	10q25.3	0.05	0.08	0.32	0.59	-0.03	0.646	0.822	CLDN4 Low
KRTAP4-7	17q21.2	0.02	0.01	0.14	0.12	0.01	0.646	0.822	CLDN4 High
RPP30	10q23.31	9.23	9.26	0.5	0.48	-0.03	0.646	0.822	CLDN4 Low
NKX2-1	14q13.3	0.32	0.38	1.15	1.23	-0.06	0.646	0.822	CLDN4 Low
PSTK	10q26.13	6.41	6.37	0.72	0.76	0.04	0.646	0.822	CLDN4 High
FZD4	11q14.2	10.22	10.27	1.09	0.96	-0.05	0.646	0.822	CLDN4 Low
SSTR1	14q13	2.45	2.53	1.24	1.49	-0.07	0.647	0.822	CLDN4 Low
PTP4A1	6q12	11.32	11.29	0.58	0.57	0.03	0.647	0.822	CLDN4 High
KRTAP5-11	11q13.4	0.1	0.08	0.26	0.26	0.01	0.647	0.822	CLDN4 High
HOXC12	12q13.13	0.09	0.12	0.64	0.62	-0.03	0.647	0.822	CLDN4 Low
PWRN1	15q11.2	0.3	0.33	0.62	0.76	-0.04	0.647	0.822	CLDN4 Low
NUBP1	16p13.13	8.88	8.85	0.56	0.53	0.03	0.647	0.822	CLDN4 High
FAM149A	4q35.1	5.98	5.91	1.31	1.24	0.07	0.647	0.822	CLDN4 High
SRRM3	7q11.23	5.27	5.2	1.47	1.51	0.08	0.647	0.822	CLDN4 High
CNTNAP5	2q14.3	0.82	0.9	1.41	1.66	-0.08	0.647	0.822	CLDN4 Low
SLC33A1	3q25.31	9.5	9.53	0.5	0.47	-0.03	0.647	0.823	CLDN4 Low
CDIP1	16p13.3	8.87	8.82	0.91	0.89	0.05	0.647	0.823	CLDN4 High
MINDY3	10p13	8.49	8.51	0.48	0.53	-0.03	0.647	0.823	CLDN4 Low
PDLIM5	4q22.3	10.44	10.4	0.7	0.79	0.04	0.648	0.823	CLDN4 High
TMPRSS12	12q13.12	0.95	0.91	0.81	0.79	0.04	0.648	0.823	CLDN4 High
SIGLEC10	19q13.41	6.57	6.65	1.47	1.58	-0.08	0.648	0.823	CLDN4 Low
STEAP1	7q21.13	7.74	7.67	1.22	1.28	0.07	0.648	0.823	CLDN4 High
MRPL3	3q22.1	11.86	11.84	0.45	0.48	0.02	0.648	0.823	CLDN4 High
H4C1	6p22.2	0.76	0.73	0.78	0.67	0.04	0.648	0.823	CLDN4 High
APCDD1	18p11.22	9.91	9.97	1.08	1.23	-0.06	0.648	0.823	CLDN4 Low
IFIH1	2q24.2	9.4	9.34	1.18	1.13	0.06	0.648	0.823	CLDN4 High
SLCO6A1	5q21.1	1.09	1.03	1.19	1.21	0.06	0.648	0.823	CLDN4 High
ANKRD36B	2q11.2	5.18	5.23	0.93	1.11	-0.05	0.648	0.823	CLDN4 Low
SLC12A6	15q14	8.89	8.92	0.61	0.64	-0.03	0.648	0.823	CLDN4 Low
SASH1	6q24.3-q25.1	9.24	9.28	0.8	0.77	-0.04	0.649	0.823	CLDN4 Low
ACTL9	19p13.2	0.02	0.03	0.12	0.15	-0.01	0.649	0.824	CLDN4 Low
TRIM53AP	11q14.3	0.19	0.16	0.82	0.51	0.04	0.649	0.824	CLDN4 High
INPP5D	2q37.1	8.45	8.51	1.22	1.26	-0.06	0.649	0.824	CLDN4 Low
TBL3	16p13.3	10.08	10.05	0.52	0.53	0.03	0.649	0.824	CLDN4 High
NPR3	5p13.3	6.33	6.42	1.73	1.85	-0.09	0.649	0.824	CLDN4 Low
CCT7	2p13.2	12.36	12.38	0.39	0.45	-0.02	0.649	0.824	CLDN4 Low
MRPL16	11q12.1	9.62	9.6	0.54	0.54	0.03	0.65	0.824	CLDN4 High
HHLA2	3q13.13	2.02	1.93	1.69	1.57	0.08	0.65	0.824	CLDN4 High
GALR1	18q23	0.44	0.39	0.96	0.78	0.05	0.65	0.824	CLDN4 High
ARC	8q24.3	4.85	4.76	2.1	1.69	0.1	0.65	0.824	CLDN4 High
AMZ2P1	17q24.1	6.94	6.9	0.67	0.69	0.04	0.65	0.824	CLDN4 High
TRIQK	8q22.1	9.51	9.48	0.7	0.67	0.04	0.65	0.824	CLDN4 High
USHBP1	19p13.11	4.33	4.4	1.3	1.37	-0.07	0.65	0.824	CLDN4 Low
SRPRB	3q22.1	9.78	9.75	0.55	0.58	0.03	0.65	0.825	CLDN4 High
TAS2R30	12p13.2	0.18	0.2	0.38	0.35	-0.02	0.65	0.825	CLDN4 Low
ZNF562	19p13.2	8.62	8.65	0.64	0.68	-0.03	0.65	0.825	CLDN4 Low
UBAP2L	1q21.3	12.66	12.68	0.37	0.41	-0.02	0.65	0.825	CLDN4 Low
AUTS2	7q11.22	10.05	10.09	0.86	0.75	-0.04	0.65	0.825	CLDN4 Low
NEK3	13q14.3	6.88	6.84	0.86	0.74	0.04	0.65	0.825	CLDN4 High
FKBP3	14q21.2	10.01	10.04	0.55	0.63	-0.03	0.65	0.825	CLDN4 Low
OR2AG2	11p15.4	0.19	0.21	0.4	0.42	-0.02	0.651	0.825	CLDN4 Low
TFAP2A	6p24.3	8.56	8.44	2.25	2.25	0.12	0.651	0.825	CLDN4 High
SLC66A1L	3q25.32	3.99	4.1	2.43	1.97	-0.11	0.651	0.825	CLDN4 Low
SATB2	2q33.1	4.92	4.85	1.34	1.39	0.07	0.651	0.825	CLDN4 High
PTGR1	9q31.3	9.59	9.64	0.81	0.85	-0.04	0.651	0.825	CLDN4 Low
OR2B3	6p22.1	0.01	0	0.05	0.04	0	0.651	0.825	CLDN4 High
RGS8	1q25.3	0.14	0.17	0.48	0.44	-0.02	0.651	0.825	CLDN4 Low
ETV6	12p13.2	10.69	10.72	0.57	0.53	-0.03	0.651	0.825	CLDN4 Low
ZNF276	16q24.3	8.48	8.44	0.72	0.78	0.04	0.651	0.825	CLDN4 High
WDR59	16q23.1	9.14	9.11	0.55	0.61	0.03	0.651	0.825	CLDN4 High
MROH2B	5p13.1	0.04	0.05	0.16	0.15	-0.01	0.651	0.825	CLDN4 Low
STN1	10q24.33	8.65	8.68	0.56	0.51	-0.03	0.651	0.825	CLDN4 Low
ARHGAP39	8q24.3	10.17	10.21	0.77	0.75	-0.04	0.651	0.825	CLDN4 Low
NTM	11q25	5.28	5.42	2.72	2.7	-0.14	0.651	0.825	CLDN4 Low
VN1R5	1q44	0.29	0.31	0.46	0.48	-0.02	0.651	0.825	CLDN4 Low
DBF4	7q21.12	8.22	8.26	0.63	0.68	-0.03	0.651	0.825	CLDN4 Low
SPINK13	5q32	0.31	0.34	0.76	0.6	-0.04	0.651	0.825	CLDN4 Low
UBE2Z	17q21.32	11.63	11.61	0.49	0.48	0.02	0.652	0.825	CLDN4 High
TBX6	16p11.2	5.41	5.36	0.99	1.02	0.05	0.652	0.825	CLDN4 High
RIN3	14q32.12	9.32	9.36	0.73	0.79	-0.04	0.652	0.825	CLDN4 Low
ZNF440	19p13.2	8.56	8.51	0.94	1.01	0.05	0.652	0.825	CLDN4 High
NAP1L3	Xq21.32	5.6	5.67	1.25	1.26	-0.06	0.652	0.826	CLDN4 Low
CCDC113	16q21	8.08	8.13	0.96	1.09	-0.05	0.652	0.826	CLDN4 Low
