sample	TACSTD2	CLDN4	CD8	CYT	GEP18	CD8_AB	ESTIMATE_StromalScore	ESTIMATE_ImmuneScore	ESTIMATE_Score	ESTIMATE_purity_raw	ESTIMATE_purity	ESTIMATE	ABSOLUTE_purity	LEUK
TCGA-34-7107-01	12.5842	10.2468	7.0395	6.5179	0.05586073909404051	5.89265	517.17	71.84	589.01	0.7703241148208357	0.7703241148208357	71.84	0.59	0.137384017606093
TCGA-34-8454-01	14.2974	10.38	8.8276	9.562899999999999	0.8031766852136715	7.7091	357.59	1478.61	1836.2	0.6413651577108659	0.6413651577108659	1478.61	0.45	0.398694630875622
TCGA-34-8455-01	13.9164	10.2471	7.2571	7.0691500000000005	-0.328468036943567	6.68355	-178.23	-30.34	-208.57	0.8395339122544737	0.8395339122544737	-30.34	0.46	0.256017156175266
TCGA-34-8456-01	12.4055	12.6846	7.4813	6.09415	-0.4845790464023882	6.24435	-576.61	-73.06	-649.67	0.8729283996675904	0.8729283996675904	-73.06	0.64	0.184523427555156
TCGA-34-A5IX-01	14.563	11.716	7.3601	7.24695	-0.47773752067045927	5.94055	-1107.57	195.53	-912.04	0.8910648948129849	0.8910648948129849	195.53	0.36	0.439841472816528
TCGA-37-3783-01	13.7986	13.2442	10.2384	9.42715	0.7773876027770933	9.48525	144.89	1659.91	1804.8	0.644894641711281	0.644894641711281	1659.91	0.36	0.423309875182508
TCGA-37-3789-01	13.548	12.4551	9.066	9.013	0.591956227523236	8.6362	-365.68	952.57	586.89	0.7705225095093526	0.7705225095093526	952.57	0.62	0.0584994190652451
TCGA-37-3792-01	14.6427	12.7436	9.3907	10.013349999999999	1.437212405091417	8.2688	576.58	2540.27	3116.85	0.4866856262420895	0.4866856262420895	2540.27	0.4	0.374927667083697
TCGA-37-4129-01	4.7682	11.9873	7.8615	3.3754	-1.8814753743531323	7.03545	-1314.84	-1336.39	-2651.23	0.9768016793571603	0.9768016793571603	-1336.39	0.45	0.0381438763857976
TCGA-37-4130-01	5.7891	10.5265	11.9444	11.63405	1.5898227436266454	11.591000000000001	-199.83	2523.93	2324.1	0.5848200552687269	0.5848200552687269	2523.93	0.4	0.349493431377545
TCGA-37-4132-01	10.9051	11.5484	9.794	8.750499999999999	0.5943232652047293	11.6419	-279.74	848.97	569.23	0.7721722731569601	0.7721722731569601	848.97	0.62	0.749132899985837
TCGA-37-4133-01	15.6711	14.1927	8.5694	7.8210500000000005	0.23000812146334346	7.50045	-537.65	592.12	54.47	0.8179356446689738	0.8179356446689738	592.12	0.67	0.078262910066817
TCGA-37-4135-01	13.0046	13.2415	7.7678	6.8161000000000005	0.004669343267849463	8.38645	-724.63	393.85	-330.77	0.849143928544594	0.849143928544594	393.85	0.91	0.0297978147671907
