gene	contrast	mean_KO	mean_WT	log2FC	cohens_d	t_stat	p_welch	q_welch_BH	p_mannwhitney	n_a	n_b
Cxcl9	Trop2_KO_vs_WT	11.1197	10.0382	1.08151	2.34192	3.7029	0.00621311	0.712889	0.015873	5	5
Tal1	Trop2_KO_vs_WT	4.86161	5.49515	-0.633538	-2.33122	-3.68598	0.00628392	0.712889	0.00793651	5	5
Tgm4	Trop2_KO_vs_WT	3.61271	4.18032	-0.567611	-2.36096	-3.73301	0.00628453	0.712889	0.00793651	5	5
Slc25a37	Trop2_KO_vs_WT	10.3322	9.96373	0.368514	2.6328	4.16282	0.00632366	0.712889	0.031746	5	5
Krt80	Trop2_KO_vs_WT	5.3064	6.7602	-1.4538	-2.77289	-4.38432	0.0063331	0.712889	0.00793651	5	5
Fhod3	Trop2_KO_vs_WT	6.57801	7.41493	-0.836919	-2.39465	-3.78628	0.00633548	0.712889	0.00793651	5	5
Aktip	Trop2_KO_vs_WT	8.74536	9.17105	-0.425693	-2.33185	-3.68697	0.00638058	0.712889	0.00793651	5	5
Gm20300	Trop2_KO_vs_WT	6.96264	7.56647	-0.603832	-2.33143	-3.68632	0.00642704	0.712889	0.00793651	5	5
Kif16b	Trop2_KO_vs_WT	8.75036	9.18458	-0.434228	-2.3114	-3.65464	0.00645146	0.712889	0.015873	5	5
Alkbh3	Trop2_KO_vs_WT	8.22977	8.01988	0.209887	2.35012	3.71587	0.0064729	0.712889	0.015873	5	5
Arfgef3	Trop2_KO_vs_WT	5.061	6.64353	-1.58252	-2.62364	-4.14834	0.00647857	0.712889	0.015873	5	5
Gm2423	Trop2_KO_vs_WT	3.87267	3.20447	0.6682	2.59085	4.09649	0.00660608	0.712889	0.00793651	5	5
Nsdhl	Trop2_KO_vs_WT	7.60281	8.07977	-0.476955	-2.73766	-4.32862	0.0066401	0.712889	0.00793651	5	5
Depdc7	Trop2_KO_vs_WT	7.99114	8.40328	-0.412139	-2.30983	-3.65216	0.00666029	0.712889	0.00793651	5	5
Slain1	Trop2_KO_vs_WT	6.19968	7.37698	-1.1773	-2.62592	-4.15194	0.0068129	0.712889	0.00793651	5	5
Apobec1	Trop2_KO_vs_WT	10.3714	9.79825	0.573192	2.71147	4.2872	0.00683104	0.712889	0.015873	5	5
Cfap68	Trop2_KO_vs_WT	6.95507	6.47983	0.47524	2.35534	3.72412	0.00695233	0.712889	0.031746	5	5
Iigp1	Trop2_KO_vs_WT	12.5627	11.5549	1.0078	2.28399	3.61131	0.00697643	0.712889	0.015873	5	5
Emp2	Trop2_KO_vs_WT	10.27	10.7256	-0.455575	-2.64978	-4.18967	0.00700251	0.712889	0.00793651	5	5
Gngt2	Trop2_KO_vs_WT	5.90651	5.20758	0.69893	2.27375	3.59512	0.00704772	0.712889	0.00793651	5	5
