accession	entrytype	taxon	n_samples	gds_type	gpl	pdat	title	summary	suppfile	gene_mentioned	matched_queries
GSE318406	GSE	Mus musculus	11		34290	2026/04/13	H3K9me3 controls epidermis development by repressing RNA Pol II activity on key promoters and enhancers [CUT&Run - Temporal]	Histone H3 lysine 9 trimethylation (H3K9me3) is a heterochromatin mark important for silencing repetitive DNA elements and for repressing lineage-inappropriate genes during early murine development, but its role in later organogenesis remains understudied. Here, we simultaneously target three histone methylases, Suv39h1, Suv39h2 and Setdb1, to deplete H3K9me3 specifically in developing epidermis. H3K9me3 loss blocks epidermis morphogenesis, resulting in defective cell differentiation, impaired barrier function, disrupted hair follicle formation, and failed Merkel cell specification. Single cell transcriptomic analysis reveals epidermal cells with mixed lineage identity and perturbed cell-type specific gene programs, including cell cycle, extracellular matrix, cytoskeleton, and metabolism. Using our recently developed approach, PReCIS-seq, we present the first cell-type specific, genome-wide landscape of transcriptionally engaged RNA polymerase II (RNA Pol II) in intact tissue following H3K9me3 depletion. We find that H3K9me3-enriched islands restrict inappropriate RNA Pol II activity at select developmentally regulated enhancers and promoters. This work highlights the indispensable role of H3K9me3, mediated by its three major histone methyltransferases, in regulating lineage diversification and developmental progression during mouse organogenesis.	BW	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE325698	GSE	Mus musculus	6		19057	2026/03/31	The chromatin remodeling complex PRC2 safeguards cell fate in alveolar epithelial type 2 cells	Maintenance of the gas exchange surface throughout life and regeneration of the lung after injury requires tight regulation of epithelial cell fate and function. Alveolar epithelial type 2 (AT2) cells serve as the progenitors of the distal epithelium, differentiating into alveolar epithelial type 1 (AT1) cells or proliferating to maintain the quorum of AT2 cells. Here we describe the role of the chromatin regulator polycomb repressive complex 2 (PRC2) in the maintenance of AT2 cell fate in the adult alveolus. Cross-species single-cell transcriptomic analyses identified PRC2 activation in proliferative AT2 populations. PRC2 loss of function in human iPSC-derived AT2 (iAT2) cells and primary murine AT2 cells in vitro resulted in loss of AT2 cell state and emergence of programs reminiscent of alveolar-basal intermediate (ABI) cell states, while overexpression of the PRC2 enzymatic component EZH2 in human iAT2 cells augmented the AT2 cell program. Genetic loss of PRC2 function in the AT2 lineage in adult mice in vivo led to emphysematous remodeling of the lung and induced a time-dependent series of transitions of AT2 cells through an ABI state into Krt5+ basal-like cells. Comparison of murine ABI cells to human ABI cells demonstrates de-repression of canonical PRC2 targets during transition to ABI and basal-like states in humans, implicating PRC2 as a conserved regulator of AT2 cell fate. Together, these findings define PRC2 complex function during AT2 cell self-renewal as a critical guardrail for maintaining epithelial cell fate in the adult lung.	RDS	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"");Tacstd2 AND lung AND mouse"
GSE325756	GSE	Mus musculus	8		24247	2026/05/17	The IL-10/IL-10Ra axis in fibroblasts limits large intestinal pathology by suppressing type I interferon signaling	In the intestines, stromal cells are essential for epithelial homeostasis, supplying both stem cell niche signals and differentiation factors. Recent studies have shown that they play crucial roles not only in epithelial maintenance, but also in the immune system. However, the molecular mechanisms that control inflammatory response by stromal cells are poorly understood. We showed that stromal cells from Rag2 knock out (KO) mice highly express inflammatory cytokines and chemokines, and the IL10-IL10R axis is a key suppressor for those inflammatory mediators in fibroblasts. Fibroblast-specific Il10ra KO mice developed spontaneous colitis in aged mice. We performed (sc)RNA-seq on stromal cells from these mice and 16s rDNA-seq on the feces from those mice.	TXT	False	TACSTD2 AND interferon
GSE330007	GSE	Homo sapiens	19		29480	2026/05/10	Transcriptomic Analysis Reveals Molecular Signatures Distinguishing Vocal Fold Leukoplakia from Benign Lesions: Synergistic Dysregulation of Chronic Inflammation, Immune Dysfunction, and Epithelial Barrier Disruption	Objective: Vocal cord leukoplakia (VCL) represents a precancerous laryngeal lesion with a risk of malignant transformation. By employing transcriptomic analysis, this research sought to ascertain the key signatures and regulatory networks capable of distinguishing VCL from benign lesions. Methods: Surgically resected tissues from 8 individuals with VCL and 11 individuals with vocal cord polyps (VCP) were included for RNA sequencing and bioinformatics analysis. Core genes were identified through differential expression analysis, and functional enrichment analyses were utilized to characterize the associated biological processes. Results: The transcriptomic profile of VCL was characterized by abnormalities in three primary aspects: activation of inflammation-related pathways (e.g., NF-κB), downregulation of immune function-related genes (e.g., CD8A, CD19), and downregulation of epithelial barrier-related molecules (e.g., CLDN4). Conclusion: The transcriptomic signatures of VCL are linked to the coordinated dysregulation of pathways related to inflammation, immunity, and the epithelial barrier.	XLS	True	CLDN4[Description]
GSE330206	GSE	Mus musculus	23		28457	2026/07/21	Effects of NTHi on lung epithelial regeneration mechanisms in mouse-derived air-liquid interface cultures	Bulk RNA sequencing was performed in mouse-derived EpCAM-positive lung epithelial cells cultured at air-liquid interface to assess NTHi-associated transcriptional changes during lung epithelial regeneration.	TXT	False	Tacstd2 AND lung AND mouse
GSE33348	GSE	Mus musculus	15		6246	2012/10/03	The Rho Exchange Factors Vav2 and Vav3 Control a Lung Metastasis–Specific Transcriptional Program in Breast Cancer Cells	The guanosine triphosphatases of the Rho and Rac subfamilies regulate protumorigenic pathways and are activated by guanine nucleotide exchange factors (Rho GEFs), which could be potential targets for anticancer therapies. We report that two Rho GEFs, Vav2 and Vav3, play synergistic roles in breast cancer by sustaining tumor growth, neoangiogenesis, and many of the steps involved in lung-specific metastasis. The involvement of Vav proteins in these processes did not correlate with Rac1 and RhoA activity or cell migration, implying the presence of additional biological programs. Microarray analyses revealed that Vav2 and Vav3 controlled a vast transcriptional program in breast cancer cells through mechanisms that were shared between the two proteins, isoform-specific or synergistic. Furthermore, the abundance of Vav regulated transcripts was modulated by Rac1-dependent and Rac1-independent pathways. This transcriptome encoded therapeutically targetable proteins that played non redundant roles in primary tumorigenesis and lung-specific metastasis, such as integrin-linked kinase (Ilk), the transforming growth factor–b family ligand inhibin bA, cyclooxygenase-2, and the epithelial cell adhesion molecule Tacstd2. It also contained gene signatures that predicted disease outcome in breast cancer patients. These results identify possible targets for treating breast cancer and lung metastases and provide a potential diagnostic tool for clinical use.	CEL	True	TACSTD2 AND lung AND (knockdown OR knockout OR shRNA OR siRNA OR CRISPR);TACSTD2[Description]
GSE334497	GSE	Mus musculus	10		21103	2026/06/09	TROP2/claudin program mediates immune exclusion to impede checkpoint blockade in breast cancer	To investigate TROP2-dependent transcriptomic changes in breast cancer, we performed RNA-seq on frozen tumor sections from 4T1 Trop2 wild-type and Trop2 knockout tumors. This dataset was generated to define transcriptional programs regulated by TROP2 in the tumor microenvironment and to determine how TROP2 contributes to immune exclusion and resistance to immune checkpoint blockade. Analysis of these tumors identified TROP2-associated enrichment of cell-cell contact and tight-junction pathways, while inflammatory, antitumor immune response, and T-cell cytotoxicity programs were relatively increased in Trop2 knockout tumors. These findings supported the conclusion that TROP2 promotes a claudin/tight-junction-mediated barrier that limits T-cell infiltration and impairs response to anti-PD-1 therapy in triple-negative breast cancer.	CSV	True	TROP2 AND checkpoint blockade;TROP2 AND immune AND exclusion;TROP2[Title];claudin AND immune exclusion
GSE342290	GSE	Mus musculus	4		24247	2026/08/11	Inflammasome Hyperactivation Disrupts Construction of the Gas Exchange Surface through the NLRP3-IL-18-TNFa Axis [scRNA-seq]	Inflammation is a prominent feature of tissue injury, and a driver of chronic disease. However, the precise molecular mechanisms underlying the impact of inflammation remains unclear in many injury settings including in alveolar development to build the gas exchange surface in lung. Here we show that in mice, overexpression of patient-derived activated variants of Nlrp3 (Nlrp3act), a central sensor within the inflammasome, resulted in severe simplification of alveoli. Such histology is accompanied by a striking decrease of cell proliferation and marker expression of secondary crest myofibroblasts (SCMFs) whose contractility is essential for septa formation. Such a drastic effect on lung structure was only observed when the variants were overexpressed in the first two weeks after birth, but not later. While both downstream proinflammatory cytokines IL-1β and IL-18 are upregulated, inactivation of Il18, but not Il1b in the Nlrp3act background reversed simplification. Also unlikely in other tissue settings where Mmp9 is a critical mediator downstream of the inflammasome, inactivation of Mmp9 also did not reverse Nlrp3act phenotypes, suggesting context-dependent mechanisms. scRNAseq followed by validation revealed IL-18-dependent increase of Tnfα in myeloid cells, capable of signaling through its widely-expressed receptors to all structural cells including SCMFs. Addition of recombinant TNFα to mesenchymal cells enriched for SCMFs led to reduced contractile gene expression. Finally, inactivation of Tnfα in the Nlrp3act background led to a robust reversal of simplification. These findings together demonstrate an inflammasome-IL-18-TNFα axis that dictate lung mesenchymal cell states, thereby control the building of the gas exchange surface.	H5	False	Tacstd2 AND lung AND mouse
GSE42112	GSE	Homo sapiens	13		13497	2013/05/02	Comparison of extravillous trophoblast cells derived from human embryonic stem cells and from first trimester human placentas	The goal of the present study was to characterize HLA-G-positive cells derived from human embryonic stem cells treated with BMP4 for five days and compare them to HLA-G positive cells derived from human first trimester placentas	TXT	False	TACSTD2[Description];TROP2[Title]
GSE42379	GSE	Mus musculus	28		8321;8759	2012/12/20	Defining a molecular roadmap of cellular reprogramming into iPS cells [mRNA profiling]	Factor induced reprogramming is a slow and inefficient process with only rare cells progressing towards induced pluripotent stem cells (iPSCs). Owing to these restraints, mechanistic studies have been limited to analyses of heterogeneous bulk populations undergoing reprogramming and partially reprogrammed cell lines. Here, by combining surface markers (Thy1, SSEA1) and an Oct4-GFP fluorescent reporter allele, we analyzed defined intermediate cell populations poised to becoming iPSCs at the transcriptional and epigenetic levels using genome-wide and single cell technologies. We found that factor-induced reprogramming elicits two discernible transcriptional waves that are characterized by the initial extinction of the somatic gene expression program and the concomitant acquisition of an ESC-like proliferative and metabolic state, followed by the activation of an embryonic pluripotent state primed for differentiation. The first wave is mostly driven by gene activation through c-Myc and gene repression by Klf4, whereas the second wave is a result of gradually activated Oct4/Sox2 targets in cooperation with Klf4 targets and other downstream regulators. While microRNA expression and enrichment for individual histone modifications (H3K4me3 or H3K27me3 enriched promoters) mirrored the observed biphasic transcriptional pattern, the establishment of bivalent domains (H3K4me3/H3K27me3 enriched promoters) occurred more gradually. In contrast, changes in DNA methylation took place predominantly at the end of reprogramming when cells assumed a stable pluripotent state. Cells that became refractory to reprogramming activated the first but failed to initiate the second transcriptional wave. However, introduction of additional copies of the reprogramming transgenes into these cells rescued their ability to form iPSCs, indicating that suboptimal transcription factor levels are a limiting factor for efficient iPSC formation. This integrative analysis allowed us to identify novel genes and microRNAs that enhance reprogramming and surface markers that further subdivide intermediate cell populations. Collectively, our data offer new mechanistic insights into the nature and sequence of molecular events inherent to cellular reprogramming and provide a valuable resource of molecules that may act as roadblocks during iPSC formation.	CEL	False	TACSTD2 AND doxycycline
GSE42478	GSE	Mus musculus; Human alphaherpesvirus 1; Human betaherpesvirus 5; Murid betaherpesvirus 1; Human immunodeficiency virus 1; Rattus norvegicus; Human alphaherpesvirus 2; Merkel cell polyomavirus; Homo sapiens; Murid gammaherpesvirus 4; Betapolyomavirus hominis; human gammaherpesvirus 4; JC polyomavirus; Human gammaherpesvirus 8; Betapolyomavirus macacae	61		8759;8321;14957;10283;13112	2012/12/20	Defining a molecular roadmap of cellular reprogramming into iPS cells	This SuperSeries is composed of the SubSeries listed below.	BIGWIG, CEL, PAIR, TXT	False	TACSTD2 AND doxycycline
GSE46200	GSE	Mus musculus; Homo sapiens	42		7202;13497	2013/04/19	LGR5 positivity defines stem-like cells in colorectal cancer [Expression]	To further elucidate the role of the intestinal stem cell marker Leucine-rich-repeat-containing G-protein-coupled receptor 5 (LGR5) in colorectal cancer (CRC), we exposed Lgr5-EGFP-IRES-Cre-ERT2 mice to azoxymethane/dextrane sodium sulfate (AOM/DSS) which induces inflammation-driven colon tumors. Tumors were then flow-sorted into fractions of epithelial cells that expressed high or low levels of Lgr5 and were characterized using gene expression profiling. In the AOM/DSS-induced mouse colon tumors Lgr5 high cells showed higher levels of several stem cell-associated genes and higher Wnt signaling than Lgr5 low tumor cells and Lgr5 high normal colon epithelial cells. To further elucidate the role of the intestinal stem cell marker Leucine-rich-repeat-containing G-protein-coupled receptor 5 (LGR5) in colorectal cancer (CRC), we transduced SW480 CRC cells with lentiviral shRNA constructs to silence LGR5 expression. This resulted in a depletion of spheres but did not affect adherently growing cells. Spheres expressed higher levels of several stem cell-associated genes than adherent cells. Notch signaling was down-regulated upon LGR5 silencing. This was confirmed by immunohistochemistry against cleaved NOTCH1.	TXT	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE49803	GSE	Mus musculus	4		6943	2014/01/21	Identification of Lgr5-independent spheroid-generating progenitors of the mouse fetal intestinal epithelium	Immortal spheroids were generated from fetal mouse intestine using the culture system developed to culture organoids from adult intestinal epithelium. Spheroids are made of a monostratified polarized epithelium displaying a poorly differentiated intestinal phenotype. The proportion of spheroids generated from intestinal explants progressively decreases from fetal to postnatal period, with a corresponding increase in production of organoids. Spheroid cells show indefinite self-renewing properties but exhibit a transcriptome strikingly different from that of adult intestinal stem cells reminiscent of incompletely caudalized progenitors. The receptor Lgr4, but not Lgr5, is essential for their growth. Trop2/Tacstd2 and Cnx43/Gja1, two markers highly enriched in spheroids, are expressed throughout the E14 intestinal epithelium. Comparison of in utero and neonatal lineage tracing using Cnx43-CreER and Lgr5-CreERT2 mice identified spheroid-generating cells as developmental progenitors involved in generation of the prenatal intestinal epithelium. Ex vivo, spheroid cells have the potential to differentiate into organoids, thus qualifying them as a new type of intestinal stem-like cells.	GPR	True	TACSTD2[Description]
GSE50927	GSE	Mus musculus	5		13112	2014/11/04	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	WT mice and claudin 4 KO mice were exposed to ventilator-induced lung injury (VILI) for 2 hours. We found that in some Cldn4 KO mice, injury was similar to WT, while in others, injury was higher, as assessed by amount of protein leak into broncho-alveolar lavage fluid. We performed RNAseq to find which genes were responsible for higher injury in Cldn4 KO mice.	CSV	True	"""claudin 4""[Title];""claudin-4""[Title];CLDN4[Description];CLDN4[Title];Cldn4 AND lung AND mouse"
GSE52583	GSE	Mus musculus	201		16417;13112	2014/04/08	High throughput quantitative whole transcriptome analysis of distal mouse lung epithelial cells from various developmental stages (E14.5, E16.5, E18.5 and adult)	We used microfluidic single cell RNA-seq on 198 individual mouse lung epithelial cells at 4 different stages throughout development to measure the transcriptional states which define the developmental and cellular hierarchy of the distal mouse lung epithelium. We classified 80 cells comprising the distal lung epithelium at E18.5 into distinct populations using an unbiased genome-wide approach that did not require a priori knowledge of the underlying cell types or prior purification of cell types. This “reverse tissue engineering” approach confirmed the basic outlines of the conventional model of cell type diversity in the distal lung and led to the discovery of a large number of novel transcriptional regulators and cell type markers that discriminate between the different populations. Moreover, we reconstructed the steps during maturation of bipotential progenitors into both alveolar lineages based on the presence of undifferentiated, differentiated as well as differentiation intermediate cells at the single time point E18.5. Finally, we followed Sftpc-positive cells throughout their lifecycle (E14.5, E16.5, E18.5, adult) and identified 7 gene sets that differentiate between the multipotential, bipotential, mature, as well as intermediate states of the AT2 lineage.	FPKM_TRACKING	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"");TACSTD2 AND doxycycline"
GSE55737	GSE	Mus musculus	4		1261	2014/06/08	Expression data from chemically-induced skin squamous cell carcinomas	Cancer stem cells (CSCs) have been reported in various cancers including skin squamous cell carcinoma (SCC). The molecular mechanisms regulating tumour initiation and stemness are still poorly characterized. Here, we found that Sox2, a transcription factor expressed in various types of embryonic and adult stem cells (SCs), was the most upregulated transcription factor in CSCs of squamous skin tumours. Sox2 is absent in normal epidermis and begins to be expressed in the vast majority of mouse and human pre-neoplastic skin tumours and continues to be expressed in a heterogeneous manner in invasive mouse and human SCCs. In contrast to other SCCs, in which Sox2 is frequently genetically amplified, the expression of Sox2 in mouse and human skin SCCs is transcriptionally regulated. Conditional deletion of Sox2 in the mouse epidermis dramatically decreases skin tumour formation following chemical induced carcinogenesis. Using Sox2-GFP knockin mice, we showed that Sox2 expressing cells in invasive SCC are greatly enriched in tumour propagating cells (TPCs) that further increase upon serial transplantations. Lineage ablation of Sox2 expressing cells within primary benign and malignant SCCs leads to tumour regression, consistent with the critical role of Sox2 expressing cells in tumour maintenance. Conditional Sox2 deletion in pre-existing skin papilloma and SCC leads to their regression and decreases their ability to be propagated upon transplantation into immunodeficient mice, supporting the essential role of Sox2 in regulating CSC functions. Transcriptional profiling of Sox2-GFP expressing CSC and upon Sox2 deletion uncovered a gene network regulated by Sox2 in primary tumour cells in vivo. Chromatin immunoprecipitation identified several direct Sox2 target genes controlling tumour stemness, survival, proliferation, adhesion, invasion, and paraneoplastic syndrome. Altogether, our study demonstrates that Sox2, by marking and regulating the functions of skin tumour initiating cells and CSCs, establishes a continuum between tumour initiation and progression in primary skin tumours. We used microarrays to profile Sox2-GFP expressing CSC to uncover a gene network regulated by Sox2 in primary tumour cells in vivo.	CEL	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE55738	GSE	Mus musculus	6		1261	2014/06/08	Expression data from chemically-induced skin papillomas (benign tumours)	Cancer stem cells (CSCs) have been reported in various cancers including skin squamous cell carcinoma (SCC). The molecular mechanisms regulating tumour initiation and stemness are still poorly characterized. Here, we found that Sox2, a transcription factor expressed in various types of embryonic and adult stem cells (SCs), was the most upregulated transcription factor in CSCs of squamous skin tumours. Sox2 is absent in normal epidermis and begins to be expressed in the vast majority of mouse and human pre-neoplastic skin tumours and continues to be expressed in a heterogeneous manner in invasive mouse and human SCCs. In contrast to other SCCs, in which Sox2 is frequently genetically amplified, the expression of Sox2 in mouse and human skin SCCs is transcriptionally regulated. Conditional deletion of Sox2 in the mouse epidermis dramatically decreases skin tumour formation following chemical induced carcinogenesis. Using Sox2-GFP knockin mice, we showed that Sox2 expressing cells in invasive SCC are greatly enriched in tumour propagating cells (TPCs) that further increase upon serial transplantations. Lineage ablation of Sox2 expressing cells within primary benign and malignant SCCs leads to tumour regression, consistent with the critical role of Sox2 expressing cells in tumour maintenance. Conditional Sox2 deletion in pre-existing skin papilloma and SCC leads to their regression and decreases their ability to be propagated upon transplantation into immunodeficient mice, supporting the essential role of Sox2 in regulating CSC functions. Transcriptional profiling of Sox2-GFP expressing CSC and upon Sox2 deletion uncovered a gene network regulated by Sox2 in primary tumour cells in vivo. Chromatin immunoprecipitation identified several direct Sox2 target genes controlling tumour stemness, survival, proliferation, adhesion, invasion, and paraneoplastic syndrome. Altogether, our study demonstrates that Sox2, by marking and regulating the functions of skin tumour initiating cells and CSCs, establishes a continuum between tumour initiation and progression in primary skin tumours. We used microarrays to profile tumour epithelial cells upon Sox2 deletion to uncover a gene network regulated by Sox2 in primary tumour cells in vivo.	CEL	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE56764	GSE	Mus musculus	4		1261	2014/08/01	Gene expression in reprogramming MEF fractions FACS-sorted by Oct4, Klf4 and EpCAM expression	After 8 days of OKSM induction via doxycycline, Nanog-Neo secondary MEFs (Wernig et al. Nature Biotechnology 2008) were FACS sorted by KLF4, Oct4, and EpCAM expression. Four major subsets of MEFs have been sorted and analysed for gene expression.	CEL	False	TACSTD2 AND doxycycline
GSE60885	GSE	Homo sapiens	17		13534	2015/04/07	Genome-wide DNA methylation identifies trophoblast invasion-related genes: Claudin-4 and Fucosyltransferase IV control mobility via altering matrix metalloproteinase activity	Previously we have shown that extravillous cytotrophoblast (EVT) outgrowth and migration on a collagen gel explant model were restricted by exposure to decidual natural killer cells (dNK). This study investigates the molecular causes behind this phenomenon. Genome wide DNA methylation of exposed and unexposed EVT was assessed using the Illumina Infinium HumanMethylation450 BeadChip array (450K array). The array identified 444 differentially methylated CpG loci in dNK-treated EVT compared to medium control (P<0.05). The represented genes from these loci had critical biological roles in cellular development, cellular organization and maintenance by Ingenuity Pathway Analysis (IPA). Furthermore, 23 mobility-related genes were identified by IPA from dNK-treated EVT. Among these genes, CLDN4 (encoding claudin-4) and FUT4 (encoding fucosyltranferase IV) were chosen for follow-up studies because of the biological relevance found in the research on tumor cells. The results showed that the mRNA and protein expressions of both CLDN4 and FUT4 in dNK-treated EVT were significantly reduced, and were inversely correlated with DNA methylation. Knocking down CLDN4 and FUT4 by siRNA reduced trophoblast invasion, possibly through the altered MMP-2 and/or MMP-9 expression and activity. Taken together, dNK alter EVT mobility at least partially in association with an alteration of DNA methylation profile. Hypermethylation of CLDN4 and FUT4 reduce protein expressions. CLDN4 and FUT4 are representative genes that participate in modulating trophoblast mobility.	TXT	True	"""claudin 4""[Title];""claudin-4""[Title];CLDN4 AND (depletion OR ablation OR ""loss of function"");CLDN4[Description]"
GSE61582	GSE	Mus musculus	8		6246	2015/01/01	Microarray of Mst1/2 deleted epithelial cells from E18.5 mouse lungs	ShhCre;Mst1/2flx/flx (Mst1/2 D/D) mice were generated to conditionally delete Mst1 and Mst2 from epithelial progenitors during lung morphogenesis. Lungs from E18.5 control and Mst1/2 D/D mice were mechanically and enzymatically dissociated to generate single cell suspension. Epcam(+) cells were isolated using magnetic microbeads. Microarray analysis of mRNAs isolated from Epcam(+) epithelial cells from E18.5 control and Mst1/2 D/D mice was performed to identify transcriptional changes following deletion of the mammalian Hippo kinases (Mst1 and Mst2) from the embryonic lung.	CEL	False	TACSTD2 AND lung AND (knockdown OR knockout OR shRNA OR siRNA OR CRISPR)
GSE61628	GSE	Homo sapiens; Mus musculus	14		6246;13112;11154	2015/01/01	Mst1/2-Yap in lung epithelial progenitor cells	This SuperSeries is composed of the SubSeries listed below.	CEL, TXT	False	TACSTD2 AND doxycycline;TACSTD2 AND lung AND (knockdown OR knockout OR shRNA OR siRNA OR CRISPR)
GSE62957	GSE	Mus musculus	11		16570	2015/01/31	Early reprogramming stages and regulators identified by prospective isolation and single cell mass cytometry	In the context of most induced pluripotent stem (iPS) cell reprogramming methods, heterogeneous populations of nonproductive and staggered productive intermediates arise at different reprogramming time points1-11. Despite recent reports claiming substantially increased reprogramming efficiencies using genetically modified donor cells12,13 prospectively isolating distinct reprogramming intermediates remains an important goal to decipher reprogramming mechanisms. Previous attempts to identify surface markers of intermediate cell populations were based on the assumption that during reprogramming the cells progressively lose donor cell identity and gradually acquire iPS cell properties1,2,7,8,10. Here, we report that iPS cell and epithelial markers, such as SSEA1 and EpCAM, respectively, are not predictive of reprogramming during early phases. Instead, in a systematic functional surface marker screen we find that early reprogramming-prone cells express a unique set of surface markers, including CD73, CD49d and CD200 that are absent in fibroblasts and iPS cells. Single cell mass cytometry and prospective isolation show that these distinct intermediates are transient and bridge the gap between donor cell silencing and pluripotency marker acquisition during the early, presumably stochastic reprogramming phase2. Expression profiling revealed that the transcriptional regulators Nr0b1 and Etv5 are specifically expressed in this early reprogramming state, preceding activation of key pluripotency regulators such as Rex1, Dppa2, Nanog and Sox2. Both factors are required for the generation of the early intermediate state and fully reprogrammed iPS cells, and thus mark some of the earliest known regulators of iPS cell induction. Our study shows an ordered sequence of transitions during the earliest steps of iPS cell reprogramming that deconvolutes the first steps in a hierarchical series of events that lead to pluripotency acquisition.	CEL	False	TACSTD2 AND doxycycline
GSE65107	GSE	Homo sapiens	8		16791	2016/01/19	Diarrhea in lymphocytic colitis: ERK1/2-dependent ENaC dysregulation and claudin-4-, -5- and -8-related barrier defects	Background: Lymphocytic colitis (LC) causes watery diarrhea. This study aimed to identify the inherent pathomechanisms of epithelial transport and barrier dysfunction and regulatory inputs. Methods: 8 (4 LC samples and 4 unrelated control samples) biopsies of fresh sigmoid colon were analysed by paired end sequencing (Illumina High Seq 2500) Conclusions: ENaC-mediated Na+ malabsorption via ERK1/2 and epithelial barrier dysfunction from tight junction downregulation through claudin-4, -5, and -8 are mechanisms causing malabsorptive and leak flux diarrhea in LC resulting from the key effector cytokines TNFa and INFg.	TXT	True	"""claudin 4""[Title];""claudin-4""[Title]"
GSE65395	GSE	Mus musculus	17		18480	2016/05/11	Compared gene expression profile of gastric and intestinal progenitors grown as spheroids in the ex vivo culture system	In adult stomach, Lgr5 is a marker of epithelial glandular stem cells that grow in the three dimensional ex vivo culture system as organoids. However, little is known about the markers that characterize fetal progenitors before cytodifferentiation and their potential involvement in regenerative processes in adults. Using the ex vivo culture system, we isolated epithelial progenitors from the fetal stomach. These cells generated stable undifferentiated immortal spheroids showing lower growth factor requirements as compared to the adult-type gastric Lgr5-expressing organoids. Although very similar in their gene expression profiles, cultured fetal gastric and intestinal spheroids differentially expressed Sox2/Cdx2 genes involved in regional pre-patterning. Accordingly, gastric but not intestinal spheroids, spontaneously converted into the cell lineages of the adult glandular stomach ex vivo. In vivo, the Trop2 marker enriched in the fetal gastric spheroids was transiently expressed in the gastric epithelium before cytodifferentiation while it remained barely detectable under glandular homeostasis in adults. However, upon specific ablation of the Lgr5 stem cell pool, highly proliferative Trop2-expressing cells rapidly emerged in the adult epithelium, qualifying Trop2 as a marker of Lgr5-independent gastric stem cells. Together, these data indicate that the Trop2 receptor identifies gastric fetal progenitors and adult stem/progenitor cells involved in regeneration of glandular stomach.	XLSX	True	TROP2[Title]
GSE65402	GSE	Mus musculus	18		1261	2015/05/15	Identification and Targeted Inhibition of a Fibroblast Lineage Responsible for Scarring and Cancer Stroma	Dermal fibroblasts represent a heterogeneous population of cells with diverse features that remain largely undefined due to a lack of functional subclasses. Here we reveal the presence of multiple lineages of dermal fibroblasts within the dorsal back. Genetic lineage tracing and transplantation assays demonstrate that the bulk of connective tissue deposition during embryonic development, cutaneous wound healing, radiation fibrosis, and cancer stroma formation is carried out by a single, somitic-derived fibroblast lineage. Reciprocal transplantation of distinct fibroblast lineages between the dorsal back and oral cavity induced ectopic dermal architectures that mimic their place–of-origin. These studies demonstrate that intra and inter-site diversity of dermal architectures are set embryonically and maintained postnatally by distinct lineages of fibroblasts. Lineage-specific cell ablation using transgenic-mediated expression of the simian diphtheria toxin receptor in conjunction with localized administration of diphtheria toxin led to diminished connective tissue deposition in wounds and significantly reduced melanoma growth in the dorsal skin of mice. Using flow cytometry and in silico approaches, we identify CD26/DPP4 as a surface marker that allows for the isolation of this fibrogenic, scar-forming lineage. Small molecule-based inhibition of CD26/DPP4 enzymatic activity during wound healing results in diminished cutaneous scarring. The identification and prospective isolation of these lineages holds promise for translational medicine aimed at in vivo modulation of their fibrogenic behavior.	CEL	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE69715	GSE	Homo sapiens	103		570	2018/03/01	Infection with Hepatitis C Virus Depends on TACSTD2, a Regulator of Claudin-1 and Occludin Highly Downregulated in Hepatocellular Carcinoma [patient]	Our study identifies TACSTD2 as a novel regulator of two major HCV entry factors, CLDN1 and OCLN, which is strongly downregulated in malignant hepatocytes. These results provide new insights into the complex process of HCV entry into hepatocytes and may assist in the development of more efficient cellular systems for HCV propagation in vitro.	CEL	True	TACSTD2[Description];TACSTD2[Title]
GSE71255	GSE	Mus musculus	18		1261	2017/03/09	Expression data from induced pluripotent stem cells (iPSCs), mouse embryonic stem cells (mESCs), and mouse embryonic fibroblast (MEFs)	During reprogramming of mouse embryonic fibroblast, pluripotent genes are up-regulated. Once iPSCs are successfully reprogrammed, the global gene profiles of iPSCs are comparable to mouse ESC. We used microarrays to detail the global programme of gene expression in iPSCs, mESCs, MEFs.	CEL, TXT	False	TACSTD2 AND doxycycline
GSE71585	GSE	Mus musculus	1809		16417;17021;13112	2016/01/04	Adult mouse cortical cell taxonomy by single cell transcriptomics	Nervous systems are composed of numerous cell types, but the extent of cell type diversity is poorly understood. Here, we construct a cellular taxonomy of one cortical region, primary visual cortex, in adult mice based on single cell RNA-sequencing. We identify 49 transcriptomic cell types including 23 GABAergic, 19 glutamatergic and 7 non-neuronal types.	CSV	False	TACSTD2[Description]
