accession	title	gdstype	n_samples	pdat	suppfile	ftplink	summary
GSE301076	Targeting LINC01711 in FAP+ cancer-associated fibroblasts in lung adenocarcinoma	Expression profiling by high throughput sequencing	12	2025/07/01	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE301nnn/GSE301076/	The limited response rate to immune checkpoint inhibitors (ICIs) remains a significant challenge in the treatment of lung adenocarcinoma (LUAD). In our study, we identified a lactate-based chemical barrier surrounding FAP+ cancer-associated fibroblasts (CAFs) within the LUAD microenvironment (TME), which may hinder the infiltration and function of CD8+ T cells. Further investigation revealed that FAP+ CAFs specifically overexpress LINC01711. Hence, we performed RNA-seq in FAP+ CAFs, FAP- CAFs and FAP+ CAFs-siLINC01711, FAP+ CAFs-siNC cells.
GSE302113	Clonal lineage tracing of innate immune cells in human cancer	Genome binding/occupancy profiling by high throughput sequencing	38	2025/09/08	TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE302nnn/GSE302113/	Innate immune cells constitute the majority of the tumor microenvironment (TME), where they mediate both natural anti-tumor immunity and immunotherapy responses. While single-cell T- and B-cell receptor sequencing has provided fundamental insights into the clonal dynamics of human adaptive immunity, the lack of appropriate tools has precluded similar analysis of innate immune cells. Here, we developed a method leveraging somatic mitochondrial DNA (mtDNA) mutations to reconstruct clonal lineage relationships between single cells across native human tissues. We jointly sequenced single-cell transposase-accessible chromatin and mtDNA to profile 124,958 cells from matched tumor, non-involved lung tissue (NILT) with peripheral blood of early-stage non-small cell lung cancer (NSCLC) patients, as well as 93,757 cells from matched tumor and peripheral blood of ovarian cancer patients. Our single-cell concomitant profiling of lineage and cell states of thousands of immune cells resolved clonality across cell types, tissue sites, and malignancies. By resolving clonal populations across innate immune subtypes, we demonstrated that TME-resident myeloid subsets, including macrophages and type 3 dendritic cells (DC3), are clonally linked to both circulating and tissue-infiltrating monocytes. Further, we identified distinct DC-biased and macrophage-biased myeloid clones, enriched in the tumor and NILT, respectively, and found that their circulating monocyte precursors exhibit distinct epigenetic profiles, suggesting that myeloid differentiation fate may be predetermined before TME infiltration. These results delineate the clonal pathways of intratumoral myeloid cell recruitment and differentiation in human cancer and suggest that remodeling of the tumor myeloid compartment may be peripherally programmed.
GSE302247	Dipeptidyl peptidase 4 restoration facilitates anti-tumor immunity in KRAS–LKB1–mutant lung cancer	Expression profiling by high throughput sequencing	4	2025/11/18	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE302nnn/GSE302247/	KRAS proto-oncogene, GTPase (KRAS)-liver kinase B1 (LKB1)-mutant (KL) non-small cell lung cancer (NSCLC), characterized by a profoundly immunosuppressive tumor microenvironment (TME), is highly resistant to immune checkpoint inhibitors (ICIs). Despite their high tumor mutation burden, KL tumors exhibit low programmed cell death ligand 1 (PD-L1) expression, reduced immune cell infiltration, and suppressed immune signaling pathways. Through systematic genomic analyses, we found that LKB1 loss suppresses dipeptidyl peptidase 4 (DPP4) expression and activity in KRAS-mutant lung cancer. Therefore, we evaluated the therapeutic potential of restoring DPP4 function to improve the immune response in KL lung cancer using patient-derived tumor samples and syngeneic mouse models. Restoration of DPP4 expression reprogrammed the TME and significantly increased immune-related gene signatures, including those involved in T cell migration and natural killer (NK) cell activation. Indeed, DPP4 restoration in three-dimensional microfluidic models enhanced NK cell chemotaxis and activity in targeting tumor spheroids. Furthermore, DPP4 restoration in syngeneic KL murine models synergized with anti-PD-1 therapy to achieve significant tumor regression. These findings suggest that LKB1 loss suppresses DPP4 expression, contributing to the immunosuppressive characteristics of the TME in KL-NSCLC cells, whereas, restoring DPP4 expression promotes NK cell recruitment, facilitates immune activation, and enhances the effects of anti-PD-1 therapy. These results highlight DPP4 as a key immune modulator and a promising therapeutic target, offering a novel strategy to overcome immune resistance and enhance immunotherapy outcomes in this challenging subset of lung cancer.
GSE303043	UHRF1 drives subtype-independent aggressiveness and immune evasion in small cell lung cancer through GATA2-ST6GALNAC5 and PRC2 interactions	Expression profiling by high throughput sequencing	30	2026/02/26	TXT, XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE303nnn/GSE303043/	Small cell lung cancer (SCLC) is an aggressive neuroendocrine carcinoma characterized by early metastasis, immune evasion, and limited therapeutic progress. While its genomic landscape is well defined, the epigenetic programs sustaining its lineage fidelity, metastatic potential, and immune evasion remain incompletely understood. We used inducible CRISPR-Cas9 knockout models, transcriptomic and epigenetic profiling, immune-competent allografts, and genetically engineered mouse models (GEMMs) to investigate the role of the chromatin regulator UHRF1 in SCLC progression. We identify the chromatin remodeler UHRF1 as a subtype-independent oncogenic driver in SCLC, with high expression correlating with poor survival. UHRF1 loss impaired proliferation, invasion, and metastasis across ASCL1-, NEUROD1-, and POU2F3-driven subtypes. Mechanistically, UHRF1 maintained neuroendocrine lineage identity and suppressed immune gene expression via DNA methylation and interaction with PRC2. UHRF1-deficient tumors displayed increased infiltration of CD8⁺ T cells, monocytes, neutrophils, and dendritic cells, along with a higher CD8⁺/Treg ratio. Secretome profiling revealed upregulation of chemokines, linking UHRF1 loss to active recruitment of immune effector cells. In parallel, UHRF1 regulated the pro-metastatic sialyltransferase ST6GALNAC5 via the transcription factor GATA2. UHRF1 loss downregulated GATA2 and ST6GALNAC5, impairing tumor dissemination. Lastly, UHRF1 depletion increased expression of cancer/testis antigens such as MAGE-A4, without altering DLL3 levels, suggesting compatibility with both antigen-specific and DLL3-targeted immunotherapies. In conclusion, UHRF1 is a master regulator of tumor progression in SCLC, promoting lineage stability, immune evasion, and metastatic spread. Its inhibition reprograms tumors toward an inflamed, less metastatic, and more immunogenic state. These findings establish UHRF1 as a compelling therapeutic target for overcoming the epigenetic and immune resistance barriers in small cell lung cancer.
GSE303680	PD1-targeted cis-delivery of an IL-2 variant induces a multifaceted anti-tumoral T cell response in human lung cancer	Expression profiling by high throughput sequencing	10	2025/07/30	H5, RDS	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE303nnn/GSE303680/	Antibody-cytokine fusion proteins are being developed as next-generation cancer immunotherapies, aiming to deliver activation signals to targeted immune populations. Among these, PD1-IL2v - an engineered interleukin-2 variant (IL-2v) lacking CD25 binding, fused to a high affinity programmed cell death protein-1 (PD-1) blocking antibody - has shown promising results in murine tumor models. Here, using human model systems, we show that PD1-IL2v elicits a multifaceted anti-tumor T cell response by targeting both CD8⁺ and conventional CD4⁺ T cells (Tconv). Single cell RNA sequencing (scRNAseq) on a lung cancer patient-derived tumor fragment (PDTF) platform revealed that PD1-IL2v drives the expansion of proliferative, cytotoxic CD8⁺ T cells exhibiting features of tumor reactivity. This was accompanied by upregulation of CXCR6, enhancing their migratory capacity. In Tconv cells, PD1-IL2v upregulated CXCL13 expression and promoted a Tfh/Th1-like transcriptional program associated with anti-PD1 responsiveness. Our findings provide mechanistic insights into the effects of IL-2v targeted delivery to PD-1⁺ cells within human tumors, supporting the clinical development of next-generation immunocytokines.
GSE304741	Cytotoxic CD39+ tumor-associated NK cells respond to NKG2A blockade in lung cancer (10X Multiome)	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing	22	2026/06/05	H5, RDS, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE304nnn/GSE304741/	Natural killer (NK) cell–targeting immunotherapies are emerging, yet the differentiation and functional states of tumor-infiltrating NK cells remain poorly understood. Using matched single-nucleus RNA and ATAC sequencing of samples from patients with non–small cell lung cancer (NSCLC), we resolved the transcriptional and epigenetic landscape of intratumoral NK cells. We identified two tumor-associated NK (taNK) cell subsets marked by expression of ITGAE (CD103) and ITGA1 (CD49a) that display features of tissue residency and dysfunction while preserving cytotoxic function. Trajectory and regulon analyses revealed an inflammation-driven transition from early granzyme K (GZMK)+ NK cells toward an ENTPD1+ (CD39+) effector state characterized by interferon-stimulated gene (ISG) programs. Functional profiling established CD39+ taNK cells as the dominant cytotoxic NK cell population with superior killing capacity that was further potentiated by NKG2A blockade. This study offers mechanistic insights into NK cell differentiation in NSCLC and establishes CD39+ taNK cells as a targetable effector population for immunotherapy.
GSE305086	Blood gene expression under immunotherapy as potential biomarker for immune checkpoint blockade in non-small-cell lung cancer	Expression profiling by array	173	2026/08/03	CEL, CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305086/	Abstract Introduction: PD-(L)1 immunotherapy (IO) is a mainstay first-line (1L) treatment for advanced non-small-cell lung cancer without actionable alterations (aNSCLC), but reliable biomarkers are lacking. This study explored the potential utility of longitudinal blood gene expression profiling in this setting. Methods: 165 patients with aNSCLC and 1LIO as monotherapy (n=60), or combined with chemotherapy (CHTIO, n=71) were prospectively analyzed along with patients receiving 2LIO (n=34) and age-matched controls (n=21). PAXgene blood RNA was analyzed by quantitative PCR (qPCR) and Affymetrix U133 Plus 2.0 microarrays, including median fold changes [FC] and odds ratio (OR) between groups, with control of the false discovery rate (FDR). Progression-free survival (PFS) was verified through review of radiological images based on RECIST v1.1. Routine blood cell counts and PD L1 tumor proportion score (TPS) were available from the patients’ records. Results: Significantly higher neutrophil (FC 1.66, p<0.001) and lower lymphocyte counts (FC 0.65, p<0.001) in the blood of untreated patients vs. age-matched controls were significantly associated with shorter PFS (hazard ratio [HR] 1.94 for neutrophil/lymphocyte ratio [NLR] ≥5, p<0.001) and reduced expression of GATA3, FOXP3 and other T-cell specific genes (p<0.01). After 4 cycles of 1L treatment, blood neutrophil counts normalized (FC 0.59 vs. baseline, p<0.001), but lymphopenia persisted. Furthermore, IO monotherapy, but not CHTIO, was accompanied by an upregulation of T cell specific genes, like PD1, GATA3 and FOXP3, whose higher expression after 4 cycles showed stronger associations with longer PFS (HR 0.28-0.31, p<0.05) and long-term responses (LTR) >1year (OR 12-19x, p<0.01) than NLR and PD L1 TPS. Affymetrix profiling revealed profound deregulation of many immunologic pathways in the patients’ blood before and during treatment, whose prognostic value was linked to IO monotherapy, but not CHTIO, and more pronounced after 4 treatment cycles (n=19285 genes associated with LTR, p<0.05, FDR <0.1) compared to baseline (n=610 genes). Gene expression changes, NLR and PD-L1 TPS were independent IO biomarkers in multivariable analyses.  Conclusions: Transcriptomic perturbations are pronounced and readily detectable by qPCR in the blood of NSCLC patients. While the prognostic utility of immunologic gene expression alterations at baseline in the blood was limited by the patients’ initial leucocytosis, an upregulation of PD1, GATA3, FOXP3 and other T-cell related genes specifically under IO monotherapy was strongly associated with clinical benefit and could serve as a novel IO biomarker independent of blood cell counts and tumor PD L1 expression.  
GSE305372	Human lungs maintain tissue-resident memory T cells against a broad spectrum of pathogens.	Expression profiling by high throughput sequencing	91	2026/06/07	CSV, RDS	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305372/	Immune responses in the lungs are essential for the prevention and control of a wide range of infections. Tissue-resident memory T (TRM) cells are critical for frontline immunity, yet in murine lungs they undergo rapid attrition, raising questions about their durability in the human lung. Here, using a T-cell receptor (TCR)-guided approach integrating single-cell transcriptomics with paired TCR repertoire profiling, we mapped over 87,000 pathogen-specific T cells from human lung tissue across 40 donors, many of whom harbored substantial TRM populations specific to multiple respiratory viruses. These findings suggest, contrary to observations in murine infection models, that the human lung is likely to serve as a reservoir of clonally expanded TRM cells specific to a broad spectrum of pathogens. Although the lung-associated lymph nodes (LLN) contained a small population of TRM cells, most TCRs from highly expanded TRM clones in the lungs were absent in the LLN, suggesting that LLNs are unlikely to serve as a major reservoir for lung TRM cells. While acquisition of the TRM phenotype in the lung was not biased towards specific pathogens, pathogen specificity influenced the transcriptional profiles of CD8+ TRM cells. Notably, influenza A virus (IAV)-specific CD8+ TRM cells expressed significantly higher levels of transcripts linked to tissue residence and effector properties compared to TRM cells specific to other pathogens. Overall, our findings reveal that the human lung retains a stable, yet diverse compartment of pathogen-specific TRM cells, with implications for understanding tissue-resident memory responses that persist after infections and vaccinations.
GSE306542	Circulating cell populations as response predictors and targets to improve immunotherapy in metastatic lung cancer	Expression profiling by high throughput sequencing	2	2026/04/02	MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE306nnn/GSE306542/	Immunotherapy efficacy varies among patients with advanced non-small cell lung cancer (NSCLC). Here, we profiled baseline systemic immunity in patients with stage IV NSCLC treated with anti-PD-1 plus chemotherapy to identify immune mechanisms and circulating biomarkers associated with response. We prospectively enrolled 33 treatment-naive patients, including 22 responders and 11 non-responders at week 9, and 17 responders and 16 non-responders at 6 months. Responders showed increased frequencies of circulating T cells expressing CD69, TCF-1, and CXCR3. In contrast, non-responders exhibited higher frequencies of CTLA-4-, CD161-, and IL-10-expressing CD4+ and CD8+ T cells. These systemic immune profiles were mirrored in the tumor microenvironment in an independent cohort. Importantly, combined CTLA-4 and PD-1 blockade reactivated anti-tumor T cell features in non-responders in vitro, highlighting CTLA-4 as a potential driver of resistance. Together, these findings support personalized immunotherapy strategies guided by systemic immune biomarkers in advanced NSCLC.
GSE306693	ImmuniT Platform for Improved Neoantigen Prediction in Lung Cancer	Expression profiling by high throughput sequencing; Other	9	2025/08/28	CSV, PNG, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE306nnn/GSE306693/	Background: Lung cancer remains the leading cause of cancer-related mortality, with many patients responding poorly to immunotherapy due to limited tumor recognition. Neoantigen-based strategies offer a promising solution, but current discovery methods often miss key targets, particularly those with low or heterogeneous expression. To address this, we developed ImmuniT, a three-phase platform for enhanced neoantigen discovery and validation. Methods: Under an IRB-approved protocol, patients with lung cancer consented to tumor collection for ex vivo processing to modulate antigen expression. Autologous T cells from matched blood were co-cultured with treated cancer cells to expand tumor-reactive populations. The nextneopi pipeline integrated mutational, transcriptomic, and HLA data to predict candidate neoantigens, which were validated using MHC epitope tetramer staining. Results: In five patient samples, ImmuniT identified a broader spectrum of neoantigens and induced stronger T cell activation in vitro compared to conventional approaches. Notably, in one case, two neoantigens missed by standard methods were confirmed to elicit tumor-specific T cell responses in both the tumor-infiltrating and peripheral compartments. Conclusions: These findings highlight ImmuniT’s potential to expand the repertoire of actionable tumor antigens and improve personalized immunotherapy strategies, particularly for patients with limited response to existing treatments. Note: This submission provides de-identified, summary-level results from NSCLC patient samples, including normalized RNA-seq counts, differential expression (DE) results, and copy number variation (CNV) calls. Raw sequencing files (FASTQ/BAM/VCF) are not deposited due to informed consent limitations; see README.
GSE307029	Multi-omics reveals heterogeneity in  advanced small cell lung cancers	Methylation profiling by genome tiling array	80	2026/05/15	CSV, IDAT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE307nnn/GSE307029/	Small cell lung cancer (SCLC) is an aggressive disease, that is often diagnosed at advanced stage, when surgery is no longer feasible. The introduction of immunotherapy has provided benefit to a small proportion of patients; however overall survival has improved only marginally for most patients. Recent studies have started to unravel the molecular heterogeneity of SCLCs including tumour microenvironment. Here we demonstrated the suitability of EBUS-TBNA aspirates for multi-omics characterization  of SCLCs, 82 samples underwent methylation profiling (EPIC arrays) with  a subset of those also subjected whole genome sequencing (n=76), RNAseq (n=69) and cfDNA (n=67). Methylation profiling identified four sub-groups associated with distinct survival (p=0.075) and intrinsic and extrinsic features. Genomics did not identify molecular features associated with methylation-define sub-groups. Blood cfDNA sequencing detected 92.5% of TP53 and RB1 point mutations detected in tissue (n=67). Methylation and transcriptome further characterized distinct molecular features of the sub-groups. Tumours in Group 1 harbour expression of ASCL1 and high proportion of CD8 T cell (p<0.0001) and patients had better survival (p=0.0075). Group 2 was the largest, with tumours also expressing ASCL1, but CD8 T cells did not associate with the variable patient survival observed within this group. Tumours in group 3 had high expression of NEUROD1 (p=0.0004) and high proportion of fibroblasts (p<0.0001). Group 4 tumour harbour expression of POU2F3 and/or YAP1 and higher expression of non-neuroendocrine genes (p<0.0001). Groups 3 and 4 had patients with worse survival (p=0.0075).  Methylation-define sub-groups presented differential expression of SLFN11(p=0.0014), TACSTD2 (p<0.0001), DLL3 (p<0.0001) and SEZ6 presented a higher expression in most SCLC (p<0.0001) when compared to other lung cancers. Supporting those as  potential novel therapeutic vulnerabilities in SCLCs. Our results highlight the need for large multi-omic studies to better characterise less frequent SCLCs sub-groups that could be facilitated by EBUS-TBNA specimens and DNA methylation. Our study also supports biomarker-driven trials due SCLCs heterogeneity and distinct therapeutic vulnerabilities.
GSE308745	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[PB cohort2]	Expression profiling by high throughput sequencing; Other	87	2026/02/05	CSV, MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE308nnn/GSE308745/	The priming, expansion, and function of CD8⁺ T cells are helped by CD4⁺ T cells via dendritic cells. Precursor exhausted T cells (Tpex) maintain self-renewal and supply cytotoxic CD8⁺ T cells in the tumor microenvironment (TME), but the identity of their CD4⁺ T-cell partners remains unclear. Here, we perform scRNA-seq, scTCR-seq, and mass cytometry analysis on peripheral blood, tumor, and lymph nodes derived from lung cancer patients and identify a population of IL-7Rhigh CCR6⁺ Th1-like CD4⁺ T cells, namedTh7R, that is numerically and spatially partnered with Tpex cells. Th7R cells express lymphotoxin-β and CXCL13, correlate with high endothelial venules, and co-localize with Tpex in tertiary lymphoid structures. Furthermore, Th7R cell abundance correlates with Tpex numbers in the TME and lymph nodes, and adoptive transfer of Th7R increases Tpex in a preclinical mouse model of skin cancer. In lung cancer patients, Th7R and Tpex in TME are associated with better response to neoadjuvant PD-1 blockade therapy. Thus, these results suggest that Th7R cells act as partners of Tpex CD8 T cells to sustain antitumor T-cell immunity.
GSE309446	A phase II study of sitravatinib combined with tislelizumab plus docetaxel for acquired resistance to PD-(L)1 in patients with advanced/metastatic non-small cell lung cancer	Other	32	2025/12/17	TSV, XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309446/	In this phase Ⅱ study, 13 patients with stage III/Ⅳ immune checkpoint inhibitors (ICIs) - acquired resistant non-small cell lung cancer (NSCLC) were treated with tislelizumab, sitravatinib, and docetaxel. The primary endpoint is a 6-month progression-free survival (PFS) rate. Although the target enrollment was not reached, the 6-month PFS rate among the enrolled patients was 58.9% (95% CI 0.234 - 0.825), with a median PFS of 7.589 months (95% CI 1.873 - 14.423) and a median OS of 17.150 months (95% CI 1.873 - not reached). The ORR was 58.3% (7 of 12 patients, 1 not evaluable), and the DCR was 100% (12 of 12 patients). Following treatment with sitravatinib, T-cell diversity (+0.435, p = 0.5) and the PSI of CD4⁺ T cells tend to increase (+21.948, p = 0.8438), whereas the PSI of CD8+ T cells declines (-174.16, p = 0.0938). High CD4⁺ T cells ΔPSI (>40) was associated with a strong trend of longer PFS (14.400 vs 7.6 months, p = 0.0499). In conclusion, sitravatinib combination therapy demonstrated promising clinical benefit and manageable safety in NSCLC patients with acquired resistance to ICIs.
GSE309452	EBV infection in epithelial malignancies induces resistance to the anti-tumor function of natural killer cells via CD73-mediated metabolism of AMP [cell line]	Expression profiling by high throughput sequencing	12	2026/07/23	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309452/	CD73 is a metabolic immune checkpoint that regulates the homeostatic balance of adenosine levels in the tumor microenvironment (TME). However, the regulation of CD73 abnormal expression by Epstein-Barr virus (EBV) in EBV-associated malignancies and its immune editing mechanism on natural killer (NK) cells remains unclear. In this study, we demonstrate that CD73 is upregulated in EBV-associated malignancies and is negatively correlated with the anti-tumor activity of NK cells. Mechanistically, the EBV latent protein LMP2A upregulates CD73 expression through the PI3K/AKT signaling pathway, and the metabolic product of CD73, adenosine, negatively regulates the anti-tumor function of NK cells through multiple signaling pathways. Furthermore, targeted knockout of CD73, small molecule inhibitor, or neutralizing antibody combined with adoptive transfer of NK cells significantly improved the treatment efficacy for EBV-positive nasopharyngeal carcinoma (NPC). Importantly, we also found abnormal upregulation of CD73 in EBV-positive lymphoma, gastric cancer and lung cancer. In summary, our research identifies the mechanism of immune evasion of NK cell anti-tumor function in EBV-associated malignancies through the abnormal expression of CD73, and targeting CD73 combined with adoptive transfer of NK cells may provide a new strategy for immunotherapy of EBV-related malignancies.
GSE309453	EBV infection in epithelial malignancies induces resistance to the anti-tumor function of natural killer cells via CD73-mediated metabolism of AMP [NK cells]	Expression profiling by high throughput sequencing	18	2026/07/23	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309453/	CD73 is a metabolic immune checkpoint that regulates the homeostatic balance of adenosine levels in the tumor microenvironment (TME). However, the regulation of CD73 abnormal expression by Epstein-Barr virus (EBV) in EBV-associated malignancies and its immune editing mechanism on natural killer (NK) cells remains unclear. In this study, we demonstrate that CD73 is upregulated in EBV-associated malignancies and is negatively correlated with the anti-tumor activity of NK cells. Mechanistically, the EBV latent protein LMP2A upregulates CD73 expression through the PI3K/AKT signaling pathway, and the metabolic product of CD73, adenosine, negatively regulates the anti-tumor function of NK cells through multiple signaling pathways. Furthermore, targeted knockout of CD73, small molecule inhibitor, or neutralizing antibody combined with adoptive transfer of NK cells significantly improved the treatment efficacy for EBV-positive nasopharyngeal carcinoma (NPC). Importantly, we also found abnormal upregulation of CD73 in EBV-positive lymphoma, gastric cancer and lung cancer. In summary, our research identifies the mechanism of immune evasion of NK cell anti-tumor function in EBV-associated malignancies through the abnormal expression of CD73, and targeting CD73 combined with adoptive transfer of NK cells may provide a new strategy for immunotherapy of EBV-related malignancies.
GSE309652	Clinically relevant metabolic subtypes of lung cancer for immunotherapy	Expression profiling by array	72	2025/09/30	RCC	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309652/	The metabolic pathway subtypes (MPSs) showed distinct differences in outcomes from anti-PD-(L)1 treatment. Using metabolic pathway–based clustering, we identified clinically relevant metabolic signatures that may be used to determine the efficacy of immuno-oncology drugs in non-small cell lung cancer (NSCLC). These findings suggest that metabolic features play a critical role in shaping the response to immuno-oncology therapies. To establish these relationships, we integrated individual clinical data, including clinicopathologic and genomic variables, as well as survival information, into the transcriptional analysis.
GSE310370	Expression data of microRNAs captured by OAA from plasma of NSCLC patients treated with nivolumab	Non-coding RNA profiling by array	4	2026/04/01	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE310nnn/GSE310370/	Background: Predictive biomarkers for immune checkpoint inhibitors (ICIs) in non-small cell lung cancer (NSCLC) are limited. High-mannose glycans, enriched in tumors, can be selectively captured using OAA1 (recombinant OAA), a novel lectin. This study investigates whether plasma microRNAs (miRNAs) enriched by OAA1 serve as predictive markers of response to anti-PD-1 therapy.  Methods: Pre-treatment plasma samples from 48 NSCLC patients treated with nivolumab were processed using OAA1 lectin columns. Levels of circulating miR-320a, miR-320b, and miR-3613-5p , which were identified as resistance associated miRNAs by microarray, were quantified with and without OAA1 enrichment. Associations with therapeutic response and overall survival were analyzed.  Results: The three miRNAs were significantly upregulated in patients with stable or progressive disease compared to partial responders, but only after OAA1 enrichment. ROC and survival analyses showed improved predictive and prognostic power with OAA1-enriched miRNAs. For example, miR-3613-5p’s AUC improved from 0.837 to 0.897, and its hazard ratio increased from 3.386 to 7.815.  Conclusion: OAA1-captured plasma miRNAs are associated with resistance to nivolumab and poor prognosis in NSCLC. This glycan-based enrichment strategy enhances the clinical value of circulating miRNAs and may complement tissue-based ICI biomarkers.
GSE311200	Comprehensive analysis of the correlation between circulating biomarkers and tumor-immune microenvironment in advanced or recurrence non-small cell lung cancer in various treatment options, i.e., immunotherapy, EGFR TKI, and chemotherapy	Expression profiling by high throughput sequencing	41	2026/07/01	XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE311nnn/GSE311200/	The prospective cohort of advanced or recurrence non-small cell lung cancer in 2 academic centers in Bangkok, Thailand. We enrolled participants who received systemic treatment based on biomarker results, for example, EGFR TKI for sensitizing EGFR mutations. Pretreatment specimens and blood were collected and analyzed for circulating biomarkers, including TIME, i.e., CD8, Treg/FOXP3, and PD-L1 (22C3). Advanced omics platforms, such as RNA sequencing and whole-exome sequencing, are also employed to explain biologic meaningful.
GSE312336	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[renal cancer]	Expression profiling by high throughput sequencing; Other	9	2026/02/05	CSV, MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE312nnn/GSE312336/	The priming, expansion, and function of CD8⁺ T cells are helped by CD4⁺ T cells via dendritic cells. Precursor exhausted T cells (Tpex) maintain self-renewal and supply cytotoxic CD8⁺ T cells in the tumor microenvironment (TME), but the identity of their CD4⁺ T-cell partners remains unclear. Here, we perform scRNA-seq, scTCR-seq, and mass cytometry analysis on peripheral blood, tumor, and lymph nodes derived from lung cancer patients and identify a population of IL-7Rhigh CCR6⁺ Th1-like CD4⁺ T cells, namedTh7R, that is numerically and spatially partnered with Tpex cells. Th7R cells express lymphotoxin-β and CXCL13, correlate with high endothelial venules, and co-localize with Tpex in tertiary lymphoid structures. Furthermore, Th7R cell abundance correlates with Tpex numbers in the TME and lymph nodes, and adoptive transfer of Th7R increases Tpex in a preclinical mouse model of skin cancer. In lung cancer patients, Th7R and Tpex in TME are associated with better response to neoadjuvant PD-1 blockade therapy. Thus, these results suggest that Th7R cells act as partners of Tpex CD8 T cells to sustain antitumor T-cell immunity.
GSE313827	Dysregulation of the Hippo Pathway in Cancer Associated Fibroblasts is Associated with anti-PD-L1 atezolizumab Resistance	Expression profiling by high throughput sequencing	18	2026/02/20	TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE313nnn/GSE313827/	The use of immunotherapy in solid tumors has significantly improved the outcomes and quality of life for cancer patients. However, a substantial fraction of patients remain unresponsive, highlighting the urgent need to identify novel mechanisms of resistance to enhance immune-centric, chemo-free treatment regimens. In this study, we investigate associations with immunotherapy resistance by integrating RNAseq data from 2800 bladder cancer patients enrolled in the IMvigor trials, focusing on resistance to the anti-PD-L1 therapy atezolizumab, along with single-cell data from 200 patient samples and healthy donors. To expand the analysis to a massive collection of over 100M cells from hundreds of diverse single cell studies, we present Firmament, a newly developed method to efficiently identify cell populations that show enrichment for expression of gene signatures. Through these analyses, we identify the Hippo pathway as critically associated with immunotherapy resistance in bladder cancer and other solid tumors. Our findings indicate that Hippo dysregulation in stromal cells, rather than cancer cells, drives the high YAP/TAZ signal in these tumors. We specifically identify dysregulated Hippo signaling in cancer-associated fibroblasts compared to healthy donor fibroblasts. These insights will be important for developing novel therapeutic combinations to improve outcomes for patients with solid tumors treated with immune checkpoint inhibitors.
GSE315010	Abrogation of Oncogenic RAS Signaling by a RAS(ON) Inhibitor Doublet Primes Immune-refractory KRASG12C-mutant NSCLC for Immune Checkpoint Blockade	Expression profiling by high throughput sequencing	44	2025/12/29	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE315nnn/GSE315010/	To address RAS pathway hyperactivation and targeted therapy resistance in KRASG12C-mutant NSCLC, we evaluated the potential of the RAS(ON) G12C-selective covalent inhibitor elironrasib and the RAS(ON) multi-selective inhibitor daraxonrasib combination to maximize RAS pathway suppression and forestall pathway reactivation in a series of preclinical models. We demonstrate that the RAS(ON) inhibitor doublet induces profound and sustained tumor regressions and overcomes the increased RAS pathway oncogenic flux that underlies resistance to inactive state–selective KRASG12C inhibitors in NSCLC. Additionally, in immune-competent preclinical models, the RAS(ON) inhibitor doublet enhances tumor immune recognition by boosting antigen presentation and remodeling the suppressive tumor microenvironment, thus promoting immune-dependent complete regressions and sensitization of an immuno-refractory model to checkpoint blockade. Collectively these findings provide a preclinical rationale for the evaluation of a targeted RAS(ON) inhibitor doublet therapy regimen in combination with immune checkpoint blockade in patients with KRASG12C-mutant NSCLC.
