accession	uid	queries	title	taxon	gdstype	n_samples	gpl	pubmed	pdat
GSE62631	200062631	dna_repair	Single-base resolution analysis of active DNA demethylation using methylase-assisted bisulfite sequencing	Mus musculus	Methylation profiling by high throughput sequencing	16	GPL19057	25362244	2014/11/02
GSE52217	200052217	dna_repair,dna_repair_title	Inhibition of zygotic DNA repair in trout: transcriptome analysis of the offspring	Oncorhynchus mykiss	Expression profiling by array	22	GPL15840	25433028	2014/10/29
GSE53070	200053070	dna_repair	Replication timing of control and overexpressed PolQ fibroblast cells	Homo sapiens	Other	4	GPL10123	24989122	2014/10/28
GSE33181	200033181	dna_repair	Feasibility and Interpretation of the Genome-wide Infinium Methylation Data Derived from Ligated Formalin Fixed Paraffin Embedded Paired Tumor and Normal Tissue.	Homo sapiens	Methylation profiling by array	48	GPL8490	22357164	2014/10/23
GSE32563	200032563	dna_repair	Differential Gene Expression in Angelman syndrome deletion vs. int dup(15) Human Lymphocytes	Homo sapiens	Expression profiling by array	6	GPL6244		2014/10/09
GSE62026	200062026	dna_repair	Transcriptomics Analysis and Hormonal Changes of Male and Female Rats Treated Chronically with a Low Dose of Acrylamide in their Drinking Water	Rattus norvegicus	Expression profiling by array	24	GPL15084		2014/10/06
GSE59214	200059214	dna_repair	Comparison of transcriptomes of pre-ameloblasts (PAB) and secretory ameloblasts (SAB) in tooth development	Homo sapiens	Expression profiling by array	6	GPL6244	26265206	2014/10/01
GSE58041	200058041	dna_repair	Activating c-KIT mutations confer oncogenic cooperativity and rescue RUNX1-ETO-induced DNA damage in human cells	Homo sapiens	Expression profiling by array	4	GPL13497		2014/09/30
GSE58068	200058068	dna_repair	Gene expression profile of fibroblasts derived from CS patient	Homo sapiens	Expression profiling by array	8	GPL18734	25249633	2014/09/22
GSE56986	200056986	dna_repair	Tet proteins in DNA demethylation and cell fate restriction	Mus musculus	Methylation profiling by high throughput sequencing; Expression profiling by high throughput sequencing	4	GPL17021	25223896	2014/09/22
GSE61378	200061378	dna_repair	Hepatitis B virus pre-S2 mutant LHBS induced DNA breakages and genomic instability.	Mus musculus	Genome variation profiling by genome tiling array	11	GPL4092		2014/09/13
GSE42306	200042306	dna_repair	H2A.X native ChIP-Seq in ESC and iPSC: Histone Variant H2A.X Mediated Epigenetic Mechanisms are Critical for Maintaining Genome Stability and Pluripotency in ES and iPS Cells	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	33	GPL11002	25192463	2014/09/07
GSE42266	200042266	dna_repair	CNV analysis of iPS cell lines and H2A.X knockout ES cell	Mus musculus	Genome variation profiling by genome tiling array	9	GPL15225	25192463	2014/09/07
GSE59030	200059030	dna_repair,dna_repair_title	PCR array analysis of DNA repair gene expression in human vascular smooth muscle cells	Homo sapiens	Expression profiling by RT-PCR	9	GPL18888		2014/09/01
GSE51348	200051348	dna_repair	UV-B dose and time range finding study on mouse biopsy skin samples	Mus musculus	Expression profiling by array	57	GPL17736		2014/09/01
GSE50930	200050930	dna_repair	UV-C dose and time range finding study on Mouse Embryonic Fibroblasts (MEFs)	Mus musculus	Expression profiling by array	48	GPL17736		2014/09/01
GSE60852	200060852	dna_repair	TP53 mutational status is a potential marker for risk stratification in Wilms tumour with diffuse anaplasia [aCGH]	Homo sapiens	Genome variation profiling by array	32	GPL19133		2014/08/30
GSE60850	200060850	dna_repair	TP53 mutational status is a potential marker for risk stratification in Wilms tumour with diffuse anaplasia [expression]	Homo sapiens	Expression profiling by array	36	GPL19130		2014/08/30
GSE51107	200051107	dna_repair	Gene expression profiles of murine Runx1;Runx3 double deficient cKit+Sca1+Lin- hematopoietic stem/progenitor cells	Mus musculus	Expression profiling by array	6	GPL6246	25066130	2014/08/26
GSE60662	200060662	dna_repair	Effect of Helicobacter pylori on ATM-dependent DNA damage responses [biopsy]	Homo sapiens	Expression profiling by array	16	GPL13497	25069978,28111844,30700829	2014/08/23
GSE60661	200060661	dna_repair	Effect of Helicobacter pylori on ATM-dependent DNA damage responses [cell lines]	Homo sapiens	Expression profiling by array	8	GPL17077	25069978,28111844	2014/08/23
GSE50180	200050180	dna_repair	Gene expression profiles of NIH3T3 cells stably transfected with the plasmids encoding the wild type PreS/S gene or the nonsense mutant gene (sW182*) of HBV.	Mus musculus	Expression profiling by array	5	GPL6885	24662304	2014/07/30
GSE57658	200057658	dna_repair	Activating c-KIT mutations confers oncogenic cooperativity and rescue RUNX1-ETO induced DNA-damage in human cells	Homo sapiens	Expression profiling by array	12	GPL6244	24897507	2014/07/29
GSE52789	200052789	dna_repair	UVB induces a major genome-wide rearrangement of RNA polymerase II at transcribed human genes	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	7	GPL11154	25058334	2014/07/25
GSE59678	200059678	dna_repair	Affymetrix SNP 250K array data for paediatric high grade gliomas	Homo sapiens	SNP genotyping by SNP array	35	GPL3718	25100205	2014/07/24
GSE59445	200059445	dna_repair	Whole Genome Expression Profiling shows that BRG1 Transcriptionally Regulates UV Inducible Genes and other Novel Targets in Human Cells	Homo sapiens	Expression profiling by array	12	GPL570	25157878	2014/07/21
GSE47877	200047877	dna_repair	Transcriptome analysis of Germinal Center and naïve B cells from miR-217TG and control mice by RNAseq	Mus musculus	Expression profiling by high throughput sequencing	8	GPL11002	24850757	2014/07/15
GSE55605	200055605	dna_repair	Role of Polycomb group proteins in the DNA damage response – a reassessment	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	6	GPL16791	25057768	2014/07/06
GSE58670	200058670	dna_repair	Gene expression in natural subyearling fall Chinook salmon in the Snake and Clearwater Rivers	Oncorhynchus tshawytscha; Salmo salar	Expression profiling by array	16	GPL7097		2014/06/20
GSE49693	200049693	dna_repair	Replication timing of siRNA control and siRNA PolQRKO cells	Homo sapiens	Other	4	GPL10123	24989122	2014/06/19
GSE49577	200049577	dna_repair	Chemotherapy induced dynamic gene expression changes in vivo are prognostic in ovarian cancer	Homo sapiens	Expression profiling by array	101	GPL10558	24867692,26964739	2014/06/16
GSE52157	200052157	dna_repair	Expression data from WT, E2f8 KO, Rb KO and Rb;E2f8 DKO spleen Ter19+CD71high sorted cells	Mus musculus	Expression profiling by array	12	GPL6246	24865965	2014/05/30
GSE51361	200051361	dna_repair	High resolution mapping of modified nucleobases in DNA using excision repair enzymes	Escherichia coli; Saccharomyces cerevisiae	Other	11	GPL13821	25015380	2014/05/15
GSE55525	200055525	dna_repair	Hematopoietic stem cell quiescence attenuates DNA damage repair and response contributing to age-dependent DNA damage accumulation	Mus musculus	Expression profiling by array; Third-party reanalysis	71	GPL1261	24813857	2014/05/08
GSE50433	200050433	dna_repair	Global gene expression analysis of canine cutaneous mast cell tumor	Canis lupus familiaris	Expression profiling by array	51	GPL13605	24748173	2014/05/06
GSE46559	200046559	dna_repair	Effects of methylprednisolone on Aspergillus fumigatus 293 gene expression	Aspergillus fumigatus Af293	Expression profiling by high throughput sequencing	6	GPL17108		2014/05/01
GSE57187	200057187	dna_repair	Genome wide characterization reveals complex interplay between TP53 and TP63 in response to genotoxic stress [Affymetrix]	Homo sapiens	Expression profiling by array	12	GPL18627	24823795	2014/04/30
GSE47817	200047817	dna_repair	Epigenetic and genetic changes during mouse hematopoietic stem cell aging [RNA-Seq]	Mus musculus	Expression profiling by high throughput sequencing	8	GPL13112	24792119	2014/04/30
GSE54385	200054385	dna_repair	A comparison of gene expression between human dermal fibroblasts and neurons infected by varicella zoster virus	Homo sapiens	Expression profiling by array	8	GPL10332	24741086	2014/04/22
GSE56674	200056674	dna_repair	Genome wide characterization reveals complex interplay between TP53 and TP63 in response to genotoxic stress [ChIP-Seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	13	GPL9115	24823795	2014/04/11
GSE56058	200056058	dna_repair	RNA-seq and Proteogenomics Reveal the Importance of Leaderless mRNAs in the Radiation-tolerant Bacterium Deinococcus deserti	Deinococcus deserti	Expression profiling by high throughput sequencing	4	GPL18445	24723731	2014/04/08
GSE48244	200048244	dna_repair	Gene expression data from human NSCLC U1810 residual clones 9 days after a one-hour pulse treatment with cisplatin	Homo sapiens	Expression profiling by array	6	GPL6244		2014/04/04
GSE54741	200054741	dna_repair	Microarray analysis comparing yeast Eco1 mutant W216G to mutants of FOB1 and RAD61	Saccharomyces cerevisiae; Schizosaccharomyces pombe	Expression profiling by array	27	GPL2529	24631914	2014/04/03
GSE53047	200053047	dna_repair	Gene networks and putative toxicity pathways induced by acute exposure to low dose cadmium in largemouth bass (Micropterus salmoides)	Micropterus salmoides	Expression profiling by array	16	GPL13229		2014/04/02
GSE51268	200051268	dna_repair	Genome-wide analysis of p53 binding protein	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	1	GPL10999	24810057	2014/04/01
GSE44309	200044309	dna_repair	Whole-genome landscape of histone H2AX and γ-H2AX along with related factors in activated cells	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	12	GPL11154	24163101	2014/04/01
GSE50947	200050947	dna_repair	Expression data from Saccharomyces cerevisiae strains carrying the rna14-1 or the rna15-1 allele	Saccharomyces cerevisiae; Schizosaccharomyces pombe	Expression profiling by array	11	GPL2529	24603480	2014/03/31
GSE56267	200056267	dna_repair	The age and genomic integrity of neurons after cortical stroke in humans	Homo sapiens	Expression profiling by high throughput sequencing	13	GPL11154	24747576	2014/03/28
GSE56049	200056049	dna_repair	Transcriptional effects of CSB and the CSB-PGBD3 fusion protein in CSB-null UVSS1KO cells	Homo sapiens	Expression profiling by array	12	GPL570	22483866	2014/03/20
GSE53603	200053603	dna_repair	Expression data from SKOV3 cells treated with SAHA or vehicle control	Homo sapiens	Expression profiling by array	8	GPL570	24631446	2014/03/19
GSE55081	200055081	dna_repair	Expression data from yeast wild type (WT) and sod1Δ strains after treatment with hydrogen peroxide (H2O2)	Schizosaccharomyces pombe; Saccharomyces cerevisiae	Expression profiling by array	4	GPL2529	24647101	2014/03/18
GSE55723	200055723	dna_repair	Modulation of gene expression induced by cylindrospermopsin in human intestinal Caco-2 cells	Homo sapiens	Expression profiling by array	11	GPL4133	24921660	2014/03/11
GSE55481	200055481	dna_repair	DNA damage signaling gene array on SMA mouse skeletal muscle	Mus musculus	Expression profiling by RT-PCR	6	GPL18359	24667816	2014/03/03
GSE55337	200055337	dna_repair	Global transcriptome analysis of fungal genes affected by a novel antifungal agent KR-72, a 13-(4-isopropylbenzyl)berberine derivative   a 13-(4-isopropylbenzyl)berberine derivative	Cryptococcus neoformans; Cryptococcus neoformans H99	Expression profiling by array	6	GPL18333	25302492	2014/02/26
GSE44849	200044849	dna_repair	Genome binding profile of TFIIH helicases XPB and XPD in HT1080 cells	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	3	GPL11154	24609361	2014/02/18
GSE54506	200054506	dna_repair	Comparative Transcriptomic Response from Fathead Minnow Liver and Blood Exposed to Environmentally Relevant Perfluorochemicals Concentrations	Pimephales promelas	Expression profiling by array	30	GPL10259		2014/01/30
GSE54269	200054269	dna_repair,dna_repair_title	A Molecular Portrait of the Homologous Recombination DNA Repair via Genome-wide Transcriptome Profiling	Homo sapiens	Expression profiling by array	80	GPL7363	24553445	2014/01/24
GSE54268	200054268	dna_repair	Expression data of ATM, ATR, CHK1, CHK2, and 53BP1 shRNA knockdown and control shRNA in MCF-10A cells	Homo sapiens	Expression profiling by array	36	GPL10558	24553445	2014/01/24
GSE54267	200054267	dna_repair	Expression data of CHK1 shRNA knockdown and control shRNA in U2OS cells	Homo sapiens	Expression profiling by array	9	GPL10558	24553445	2014/01/24
GSE54266	200054266	dna_repair	Expression data of BRCA1 shRNA and Rad51 shRNA knockdown and control shRNA in MCF-10A cells	Homo sapiens	Expression profiling by array	12	GPL13376	24553445	2014/01/24
GSE54265	200054265	dna_repair	Expression data of BRCA1 shRNA and PTEN shRNA single knockdown, BRCA1_PTEN shRNA double knockdowns and control shRNA in MCF-10A cells	Homo sapiens	Expression profiling by array	16	GPL6884	24553445	2014/01/24
GSE54264	200054264	dna_repair	Expression data of Brti1 shRNA knockdown and control shRNA in MCF-10A cells	Homo sapiens	Expression profiling by array	7	GPL7363	24553445	2014/01/24
GSE42589	200042589	dna_repair	Susceptibility to DNA damage as a molecular mechanism for non-syndromic cleft lip and palate	Homo sapiens	Expression profiling by array	13	GPL6244	23776525	2014/01/01
GSE33075	200033075	dna_repair	Imatinib therapy of chronic myeloid leukemia restores the expression levels of key genes for DNA damage and cell cycle progression	Homo sapiens	Expression profiling by array	27	GPL570	22388797	2014/01/01
GSE52598	200052598	dna_repair	PRDM14 promotes active DNA demethylation through the Ten-eleven translocation (TET)–mediated base excision repair pathway in embryonic stem cells	Mus musculus	Expression profiling by array	4	GPL11180	24335252	2013/12/31
GSE43981	200043981	dna_repair	Depletion of PARP-2 in HepG2 cells	Homo sapiens	Expression profiling by array	6	GPL6244	24365238,37188809	2013/12/31
GSE47030	200047030	dna_repair,dna_repair_title	Systems analysis of the prostate tumor suppressor NKX3.1  substantiates roles in DNA repair and a transcriptional program that drives luminal cell differentiation	Homo sapiens	Expression profiling by array	8	GPL6171		2013/12/25
GSE53250	200053250	dna_repair	The DNA Double-Strand Break Response Is Abnormal in Myeloblasts From Patients With Therapy-Related Acute Myeloid Leukemia [NimbleGen]	Homo sapiens	Genome variation profiling by genome tiling array	30	GPL18053	24304937	2013/12/13
GSE53055	200053055	dna_repair	Low-level Gamma Ray Exposure to Rice Seedlings in Iitate Village (Fukushima) Activates Self-defense Responses Unraveled by DNA Microarray Analysis	Oryza sativa	Expression profiling by array	8	GPL7252	25124817	2013/12/07
GSE52478	200052478	dna_repair	The DNA Double-Strand Break Response Is Abnormal in Myeloblasts From Patients With Therapy-Related Acute Myeloid Leukemia [Affymetrix]	Homo sapiens	Expression profiling by array	14	GPL570	24304937	2013/11/19
GSE48923	200048923	dna_repair	CpG island-specific demethylation pathway in ES cells	Mus musculus	Methylation profiling by array	8	GPL7099	24336222	2013/11/17
GSE34420	200034420	dna_repair	HOXC9-induced neuronal differentiation in human neuroblastoma BE(2)-C cells [Gene expression profiling]	Homo sapiens	Expression profiling by array	6	GPL6244	24274069	2013/11/03
GSE34419	200034419	dna_repair	HOXC9-induced neuronal differentiation in human neuroblastoma BE(2)-C cells [ChIP-seq analysis]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	3	GPL10999	24274069	2013/11/03
GSE51993	200051993	dna_repair	microRNA differential regulations gradually mediate genomic instability during cervical intraepithelial neoplasia progression.	Homo sapiens	Non-coding RNA profiling by array; Expression profiling by array	48	GPL10558		2013/11/02
GSE47126	200047126	dna_repair	Spaceflight Modulates Gene Expression in Astronauts	Homo sapiens	Expression profiling by array	13	GPL140	28725744	2013/10/15
GSE41072	200041072	dna_repair	Rocaglamide selectively inhibits the G1-S-phase transition in cancer cells by activation of the ATM/ATR-mediated Chk1/2 cell cycle checkpoints	Homo sapiens	Expression profiling by array	40	GPL6883	24150948	2013/10/12
GSE43594	200043594	dna_repair	Genome-wide localization of Smc1, Smc3 and CTCF in mouse B cells.	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	8	GPL11002	24145512	2013/10/11
GSE49658	200049658	dna_repair	Human inositol polyphosphate multikinase regulates transcript-selective nuclear mRNA export to preserve genome integrity	Homo sapiens	Expression profiling by array	12	GPL6947	24074953	2013/09/27
GSE39145	200039145	dna_repair,dna_repair_title	Multiple DNA repair pathways collectively protect against DNA damage-induced replicative aging.	Caenorhabditis elegans	Expression profiling by array	8	GPL200	24013725	2013/09/15
GSE50824	200050824	dna_repair	The identification and tumorigenecity of neuronal progenitors in developing cerebellum	Mus musculus	Expression profiling by array	19	GPL1261	24141309	2013/09/13
GSE45994	200045994	dna_repair	Cell transcriptional state alters genomic patterns of DNA double-strand break repair in human astrocytes	Homo sapiens	Expression profiling by array	6	GPL6244	25517576	2013/09/01
GSE31616	200031616	dna_repair	microRNA expression of cancer and matched adjacent tissues from 7 testicular germ cell tumors and 10 transitional cell carcinomas of bladder	Homo sapiens	Non-coding RNA profiling by high throughput sequencing	34	GPL9115	21799901	2013/09/01
GSE31614	200031614	dna_repair	mRNA expression of cancer and matched adjacent tissues of 7 testicular germ cell tumors and 10 transitional cell carcinomas of bladder	Homo sapiens	Expression profiling by high throughput sequencing	34	GPL9115	21799901	2013/09/01
GSE49847	200049847	dna_repair	A comparative encyclopedia of DNA elements in the mouse genome	Mus musculus	Expression profiling by high throughput sequencing; Genome variation profiling by genome tiling array; Genome binding/occupancy profiling by high throughput sequencing	588	GPL15225	25409824	2013/08/14
GSE48763	200048763	dna_repair	Cohesin-based chromatin interactions enable regulated gene expression within pre-existing architectural compartments.	Mus musculus	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Other	13	GPL9250	24002784	2013/08/13
GSE45832	200045832	dna_repair	KB001-Gene expression profiling of histiocytic sarcomas in a canine model: the predisposed Flatcoated retriever dog	Canis lupus familiaris	Expression profiling by array	38	GPL15184	23936488,24886914	2013/08/07
GSE30700	200030700	dna_repair	The Bromodomain protein Brd4 Insulates Chromatin from DNA Damage Signaling through Acetyl-Lysine Binding	Homo sapiens	Expression profiling by array	4	GPL571	23728299	2013/07/14
GSE34378	200034378	dna_repair	Aging Experiment	Mus musculus	Expression profiling by array	90	GPL14996	23795901	2013/07/10
GSE48570	200048570	dna_repair	The ATP-dependent chromatin remodeling enzyme Fun30 represses transcription by sliding promoter proximal nucleosomes [array]	Saccharomyces cerevisiae	Expression profiling by array	3	GPL9294	23779104	2013/07/08
GSE48562	200048562	dna_repair	The ATP-dependent chromatin remodeling enzyme Fun30 represses transcription by sliding promoter proximal nucleosomes [seq]	Saccharomyces cerevisiae	Genome binding/occupancy profiling by high throughput sequencing	2	GPL9134	23779104	2013/07/08
GSE39062	200039062	dna_repair	Genome-wide expression profiling analysis of a Hmgn1, 3 and 5 mutant mouse model	Mus musculus	Expression profiling by array	94	GPL6885	23620591	2013/07/03
GSE47980	200047980	dna_repair	Cisplatin treated melanoma and melanocyte cell lines	Homo sapiens	Expression profiling by array	36	GPL6883	23940574	2013/07/01
GSE45958	200045958	dna_repair	Radiation-induced epigenetic DNA methylation modification of radiation-response pathways	Homo sapiens	Methylation profiling by array	24	GPL13534	23880508	2013/07/01
GSE46902	200046902	dna_repair	FANCD2 Activates Transcription of TAp63 and Suppresses Tumorigenesis	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	2	GPL11154	23806336	2013/06/27
GSE46372	200046372	dna_repair	Genome-wide analysis of the effects of the rs4919510C>G genotypes on the miRNA-608 target genes expression	Homo sapiens	Expression profiling by array	3	GPL10558		2013/05/15
GSE44293	200044293	dna_repair	Distribution, functional impact and origin mechanisms of copy number variation in the barley genome	Hordeum vulgare subsp. vulgare	Genome variation profiling by genome tiling array	19	GPL16680	23758725	2013/05/09
GSE46700	200046700	dna_repair	AID stabilizes a stem cell phenotype by removing epigenetic memory of secondary pluripotency network genes	Mus musculus	Methylation profiling by high throughput sequencing; Expression profiling by high throughput sequencing	14	GPL13112	23803762	2013/05/08
GSE39252	200039252	dna_repair	Expression changes in Caenorhabditis elegans xpa-1 mutant	Caenorhabditis elegans	Expression profiling by array	10	GPL200	23580547	2013/05/03
GSE39156	200039156	dna_repair	A transcriptionally induced antioxidant program is elicited in thyroid cells after exposure to hydrogen peroxide	Homo sapiens	Expression profiling by array	64	GPL570	23666977	2013/05/03
GSE43052	200043052	dna_repair	The whole genome transcription analysis reveals the regulatory network for Listeria monocytogenes biofilm formation is modified in the prfA deletion mutant	Listeria monocytogenes EGD-e	Expression profiling by array	15	GPL16415		2013/05/01
GSE41419	200041419	dna_repair	Lipoic acid prevents Cr6+ induced cell transformation and the associated genomic dysregulation.	Mus musculus	Expression profiling by array	3	GPL7202	23608068	2013/05/01
GSE38737	200038737	dna_repair	Genome-wide expression profiling analysis of a SMC6 mutant mouse model	Mus musculus	Expression profiling by array	24	GPL6885	23518413	2013/04/22
GSE46112	200046112	dna_repair	Genome-wide analysis reveals TET- and TDG-mediated 5-methylcytosine oxidation dynamics [Expression]	Mus musculus	Expression profiling by array	6	GPL6246	23602152	2013/04/18
GSE46111	200046111	dna_repair	Genome-wide analysis reveals TET- and TDG-mediated 5-methylcytosine oxidation dynamics [MeDIP-Seq]	Mus musculus	Methylation profiling by high throughput sequencing	24	GPL11002	23602152	2013/04/18
GSE42250	200042250	dna_repair	Genome-wide analysis reveals TET- and TDG-mediated 5-methylcytosine oxidation dynamics	Mus musculus	Methylation profiling by high throughput sequencing; Expression profiling by array	30	GPL6246	23602152	2013/04/18
GSE43935	200043935	dna_repair	A histone acetylation switch regulates H2A.Z deposition by the SWR-C remodeling enzyme	Saccharomyces cerevisiae W303	Genome binding/occupancy profiling by high throughput sequencing	3	GPL16574	23580526	2013/04/15
GSE40351	200040351	dna_repair	DNA damage checkpoint kinases regulate a global network of transcription factors	Saccharomyces cerevisiae	Expression profiling by array	72	GPL7293	23810556	2013/03/31
GSE45626	200045626	dna_repair	Expression data from IGF-1R targeting in 33 NCI-H526 SCLC (small-cell lung cancer) xenografts	Homo sapiens	Expression profiling by array	33	GPL570	23640142	2013/03/30
GSE45393	200045393	dna_repair	Facilitates chromatin transcription complex is a marker and target of aggressive cancers with lower survival rates	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	12	GPL11154	23831030,32498018	2013/03/22
GSE36546	200036546	dna_repair	Genome-wide maps of CtBP binding profile in breast cancer cell line MCF-7	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	2	GPL9052	23385593	2013/03/20
GSE16077	200016077	dna_repair	Effects of far-infrared rays to human prostate cancer cell line PC-3	Homo sapiens	Expression profiling by array	4	GPL6480		2013/03/14
GSE39702	200039702	dna_repair	Histone variant, H2B.Z demarcates the AT-rich promoter regions of the Plasmodium falciparum genome	Plasmodium falciparum 3D7	Genome binding/occupancy profiling by high throughput sequencing	6	GPL15857	23320541	2013/03/05
GSE42298	200042298	dna_repair	Rif1 Prevents Resection of DNA Breaks and Promotes Immunoglobulin Class Switching	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	7	GPL13112	23306439	2013/03/01
GSE23066	200023066	dna_repair	Comparative gene expression analysis of mesenchymal stem cells (MSC) derived  from non-small cell lung cancer (NSCLC) and corresponding normal lung tissue (NLT)	Homo sapiens	Expression profiling by array	10	GPL570	23294501	2013/02/07
GSE38203	200038203	dna_repair	Identification of downstream targets of Ezh2 histone methyltransferase	Mus musculus	Expression profiling by array	12	GPL6887	23375371	2013/02/06
GSE43504	200043504	dna_repair	Genome-wide mapping of early replication fragile sites (ERFS)	Mus musculus	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	24	GPL13112	23352430	2013/02/04
GSE43318	200043318	dna_repair	Gene expression changes in mouse embryonic fibroblasts (MEF cells) deficient for Ing1 and Gadd45a	Mus musculus	Expression profiling by array	8	GPL6887	23388825	2013/02/04
GSE43317	200043317	dna_repair	Gene expression changes in HEK293T cells upon overexpression of ING1b and GADD45a	Homo sapiens	Expression profiling by array	12	GPL10558	23388825	2013/02/04
GSE38593	200038593	dna_repair,dna_repair_title	MicroRNA-182-5p targets a network of genes involved in DNA repair	Homo sapiens	Expression profiling by array	5	GPL6947	23249749	2013/01/29
GSE39976	200039976	dna_repair	Determination of molecular markers for BRCA1 and BRCA2 heterozygosity using gene expression profiling	Homo sapiens	Expression profiling by array	26	GPL571	23341570	2013/01/10
GSE26600	200026600	dna_repair	Cycad Genotoxin Methylazoxymethanol (MAM) Modulates Cellular Pathways Involved in Cancer and Neurodegenerative Disease	Mus musculus	Expression profiling by array	94	GPL1261	21731631	2013/01/10
GSE40402	200040402	dna_repair	Clostridium thermocellum Transcriptomic Profiles after Exposure to Furfural or Heat Stress	Acetivibrio thermocellus ATCC 27405	Expression profiling by array	43	GPL15992	24028713	2013/01/01
GSE42702	200042702	dna_repair	Stress response in the yajL (DJ-1 homolog) mutant of Escherichia coli	Escherichia coli	Expression profiling by array	4	GPL3154	23292772	2012/12/04
GSE36243	200036243	dna_repair	Transcriptomic response to benzo[a]pyrene treatment in HepG2 cells (Affymetrix)	Homo sapiens	Expression profiling by array	8	GPL13695	22889811	2012/11/16
GSE36242	200036242	dna_repair	Transcriptomic response to benzo[a]pyrene treatment in HepG2 cells (RNA-Seq)	Homo sapiens	Expression profiling by high throughput sequencing	8	GPL9052	22889811	2012/11/16
GSE39218	200039218	dna_repair	Functional MYCN signature predicts outcome of neuroblastoma irrespective of MYCN amplification. 	Homo sapiens	Expression profiling by array	11	GPL570	23091029	2012/11/05
GSE41840	200041840	dna_repair,dna_repair_title	DNA repair genes: Alternative transcription and gene expression at the exon level in response to the DNA damaging agent, ionizing radiation	Homo sapiens	Expression profiling by array	132	GPL5175	23285288	2012/10/26
GSE41627	200041627	dna_repair,dna_repair_title	DNA damage and eIF4G1 in breast cancer cells reprogram translation for survival and DNA repair mRNAs	Homo sapiens	Expression profiling by array	12	GPL570	23112151	2012/10/17
GSE33520	200033520	dna_repair	Whole genome expression profile of lung epithelial cells following chronic arsenic exposure	Homo sapiens	Expression profiling by array	7	GPL6480	22521957	2012/09/26
GSE34741	200034741	dna_repair	Vibrio campbellii bioluminescence and its effect on gene expression and virulence	Vibrio campbellii; Vibrio campbellii CAIM 519 = NBRC 15631 = ATCC 25920	Expression profiling by array	6	GPL10230		2012/08/31
GSE40148	200040148	dna_repair	Genome-wide distribution of 5-formylcytosine in ES cells is associated with transcription and depends on TDG	Mus musculus	Methylation profiling by high throughput sequencing	7	GPL11002	22902005	2012/08/17
GSE35150	200035150	dna_repair	Toxicogenomic Responses of Nanotoxicity in Daphnia magna Exposed to Silver Nitrate and Coated Silver Nanoparticles	Daphnia magna	Expression profiling by array	60	GPL15139		2012/08/05
GSE13546	200013546	dna_repair	Genome-wide transcriptional response of the archaeon Thermococcus gammatolerans to cadmium	Thermococcus gammatolerans	Expression profiling by array	24	GPL6958	22848664	2012/08/01
GSE39607	200039607	dna_repair	Expression data from QdNOs treated Escherichia coli	Escherichia coli	Expression profiling by array	15	GPL3154	26296207	2012/07/25
GSE38890	200038890	dna_repair	Histone variant H2A.Bbd is associated with active transcription and mRNA processing in human cells [mRNA]	Homo sapiens	Expression profiling by array	2	GPL8971	22795134	2012/07/16
GSE38771	200038771	dna_repair	Histone variant H2A.Bbd is associated with active transcription and mRNA processing in human cells	Homo sapiens	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by array	13	GPL11154	22795134	2012/07/16
GSE38770	200038770	dna_repair	Histone variant H2A.Bbd is associated with active transcription and mRNA processing in human cells [RNA-Seq]	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL11154	22795134	2012/07/16
GSE38284	200038284	dna_repair	Histone variant H2A.Bbd is associated with active transcription and mRNA processing in human cells [ChIP-Seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	5	GPL9052	22795134	2012/07/16
GSE36648	200036648	dna_repair,dna_repair_title	Expression data in induced pluripotent stem cells (iPSCs) derived from a DNA repair deficient fibroblast	Homo sapiens	Expression profiling by array	24	GPL6244	22661500	2012/07/13
GSE39114	200039114	dna_repair	UNG shapes the specifity of AID-induced somatic hypermutation in B cells	Mus musculus	Other	10	GPL11002	22665573	2012/07/05
GSE39108	200039108	dna_repair	UNG shapes the specifity of AID-induced somatic hypermutation in non B cells	Mus musculus	Other	18	GPL11002	22665573	2012/07/05
GSE33944	200033944	dna_repair	Transcriptional responses in Enchytraeus albidus (Oligochaeta): comparison between cadmium and zinc exposure and linkage to reproduction effects	Enchytraeus albidus	Expression profiling by array	48	GPL14928		2012/07/01
