names,scores,logfoldchanges,pvals,pvals_adj
HEXIM2,1.8112361,0.0014384494,0.07010430484576081,0.12649605351129636
POFUT2,1.808913,0.09459998,0.07046452247509152,0.12713332243082423
GABARAPL2,1.8083322,0.169003,0.07055481373480077,0.12727078860455218
LRFN4,1.8082492,-0.10526778,0.0705677202298217,0.12728135211399452
GPANK1,1.8072536,0.021026405,0.0707227492758085,0.12754823103658053
ANKRD52,1.8055112,0.1133216,0.0709947221566134,0.12802594337162537
PPCS,1.8048475,-0.0010241054,0.07109855617950836,0.12820038301125294
ZSWIM4,1.8042667,-0.09318263,0.07118951304724294,0.12832593899569414
VPS52,1.8042667,0.16017579,0.07118951304724294,0.12832593899569414
SPDL1,1.8016117,0.66976476,0.07160653134864185,0.1290390008421872
NXNL2,1.8014457,0.4069162,0.07163266131423417,0.12907320438226066
