gene	spearman_r	spearman_p	n_expr	padj
SCN7A	-0.027932665598091745	0.004818657169226079	13	0.009171882677595868
MRPS21P3	-0.027934513911064177	0.004815856708967982	22	0.00916731296185125
RPS27AP18	-0.027935085014329834	0.004814991703126209	22	0.009166427063350403
BIRC3	-0.027935189541174747	0.004814833399636679	2344	0.009166427063350403
AC010969.2	-0.027936496427697435	0.004812854547657968	810	0.009163879606057813
AC021224.1	-0.027959389913904363	0.004778308988905336	23	0.009100369610387795
WWC2-AS2	-0.027964704587332436	0.004770321470177036	57	0.009085911640199357
HSF2	-0.02797346764979281	0.0047571776865568145	1951	0.009061629444796562
LRRC20	-0.027973656700430297	0.004756894489566953	940	0.009061629444796562
GPR108	-0.027979791291703308	0.004747713175551515	3953	0.009045103390431948
AC012615.1	-0.027980732060140526	0.004746306596961771	510	0.00904317474218034
ADGRB2	-0.027981454265285532	0.004745227056532753	146	0.009041868933605937
LAMB3	-0.027984345240906594	0.004740907898215147	3858	0.00903438941341356
RPLP1P13	-0.027994257000072142	0.004726126586780689	24	0.009008466980852206
YPEL2	-0.027995733760423525	0.004723927881897007	1228	0.009005024329340442
AC104695.3	-0.027998296729927007	0.0047201141497817956	240	0.008998502191464
ST18	-0.027998936113314207	0.004719163173351399	37	0.008997437026875107
PRR26	-0.027999259599192874	0.004718682107980327	108	0.008997267680203884
WDR62	-0.027999842295194206	0.004717815675586352	292	0.008996363452207144
MTMR14	-0.028008804505360096	0.004704507557806006	935	0.008971732155051062
MUC19	-0.02800975608175164	0.004703096545252933	32	0.008969787025443732
MTCO1P54	-0.02801655174697373	0.004693030955845567	44	0.008952337596756265
AC139768.1	-0.028017018001843273	0.004692341064772008	182	0.008952251463340291
IGSF6	-0.02802294084346109	0.004683585355744333	244	0.008937033598707554
MBD5	-0.028025671210118244	0.004679554049889755	1317	0.00893008409287614
TIGD5	-0.028027973422235602	0.004676157342652252	967	0.00892434454827834
LSP1P4	-0.02802870672523829	0.004675075888683594	199	0.008923023026678672
VDAC1P2	-0.028030941469613723	0.004671781548774723	140	0.008917477337587968
MCM5	-0.028046126004105207	0.004649452918026968	2976	0.008875595125973917
HNRNPA3P12	-0.028046198579628232	0.004649346429196461	43	0.008875595125973917
AC084756.1	-0.02805009929809852	0.004643626218890211	200	0.008865947911511874
ZNF66	-0.028051130012518716	0.004642115791891825	106	0.00886380188416005
MTCO3P13	-0.028055982129639008	0.004635011388028752	44	0.008850973294922038
EEF1A1P10	-0.028071627909680263	0.004612170046534704	51	0.00880882235865221
